,join_col,VTD
2252,6 Holly Creek Fire Hall,9406
2253,08 Martin First United Methodist Church,9505
2254,05  Martin Church of Christ,9508
2255,01B Latham Vol. Fire Dept.,9503
2256,01A Palmersville Fire Station,9501
2257,02 Gleason Community Building,9502
2258,04 Sharon First Baptist Church,9506
2259,06 Martin Trinity Presbyterian Church,9510
2260,03 Greenfield First Baptist Church,9507
2261,09 Dresden First United Methodist Church,9504
2262,07 Martin Shepardsfield Church,9509
2263,"4-1 Woodland Park School, County",9605
2264,"1-1 Sparta Civic Center, City",9608
2265,303 Creekside Fellowship,8607
2266,502 Guild Elementary,8608
2267,103 Corinth Church of Christ,8636
2268,03 S.E. Covington,8705
2269,01 N. E. Covington,8708
2270,19 Austin Peay,8703
2271,21 W. Wilkinsville,8701
2272,22 Brighton,8702
2273,14 Southwest Tipton,8706
2274,12 Munford,8707
2275,06 Tipton West,8704
2276,11 Atoka,8709
2277,2 Cato,8802
2278,"5-1 Doyle Civic Center Hall, County",9603
2279,"6-2 Cassville School, County",9601
2280,"6-1 Central View School, County",9602
2281,"2-2 Woodland Park School, County",9610
2282,"2-1 Ag Fair Complex, City",9611
2283,"4-2 Bondecroft School, County",9606
2284,"3-1 Ag Fair Complex, County",9607
2285,"7-1 Northfield School, County",9604
2286,"1-2 Sparta Civic Center, County",9609
2287,6-3 Holy Family Catholic Church,9721
2288,11-3 Winstead Elementary School,9737
2289,11-1 Franklin Elementary School,9735
2290,9-3 Westhaven Clubhouse,9730
2291,1-1 Westwood Elementary School,9701
2292,1-2 Fairview Recreation Center,9702
2293,9-2 Benton Hall School,9729
2294,5-4 Nolensville Baptist Church,9718
2295,9-5 Independence High School,9741
2296,4 Halltown,8804
2297,3 Beech Grove,8803
2298,1 Senior Center,8801
2300,6 Walnut Grove,8806
2301,6-1 Brentwood Library,9719
2302,7-3 New Hope Community Church,9724
2303,5 Templow,8805
2305,8 Willard,8808
2306,9 City,8809
2314,7-2 Baptist Children's Home,9723
2315,7-1 Brenthaven Church,9722
2316,3-3 Brock Community Center,9001
2317,2-2 Luttrell Elementary School,9002
2318,1-1 Union County High School,9003
2319,3-2 Cedar Grove Community Cen.,9004
2320,4-7 Big Ridge Elementary Sch.,9005
2321,6-6 Paulette Elementary School,9006
2322,7-1 Plainview Community Center,9007
2323,10-1 Franklin Recreation Complex,9732
2324,10-2 Liberty Elementary School,9733
2325,11-2 Robert Ring Indoor Soccer Complex,9736
2326,5-13 Braden Chapel Church,9008
2327,5-10 Sharps Chapel Elementary,9009
2329,Fall Creek Falls Comm. Center,9103
2330,Cedar Grove Community Cntr.,9101
2331,Piney Fire Hall,9102
2332,Cummingsville Community Cntr,9106
2333,White Hill Community Cntr.,9107
2335,08-3 Bonner Church of Christ,9213
2336,11-1 Midway Community Center,9218
2337,07-1 Friendship The Baptist Church,9210
2338,04-1 TSU Nursery Res. Center,9206
2339,11-2 Hwy 56 N Church of Christ,9219
2340,12-2 Lucky Community Center,9221
2341,10-1 Centertown United Methodist Church,9216
2342,8-3 Episcopal Church,9727
2343,9-1 Walnut Grove Elementary School,9728
2344,05-2 Beersheba Towers,9208
2345,02-1 Courthouse,9202
2346,10-3 Hunter's Bend Elementary School,9734
2347,5-1 Sunset Elementary School,9715
2348,8-2 First Presbyterian Church,9726
2349,8-1 Grassland Middle School,9725
2350,1-5 The Church of Spring Hill,9742
2351,02-2 Warren County Airport,9203
2352,12-2 The Church of the City-Franklin,9739
2353,2-3 Oakview Elementary School,9707
2354,2-1 Bethesda Recreation Center,9705
2355,03-1 Westwood Church of Christ,9204
2356,08-1 Fairview Community Center,9211
2357,05-1 Three Star Mall,9207
2358,06-1 Caney Fork Electric Auditorium,9209
2359,10-2 Centertown Comm. Ctr.,9217
2360,09-2 Viola Valley Comm. Center,9215
2361,09-1 Morrison Ruritan Club,9214
2362,03-2 Smartt First Baptist Church,9205
2363,2-5 Conduit Church,9743
2364,5-3 Triune Baptist Church,9717
2365,9-4 Grace Chapel Church,9731
2366,1-4 Burwood Community Center,9704
2367,3-1 Heritage Elementary School,9709
2368,2-4 College Grove Community Center,9708
2369,3-2 Longview Recreation Center,9710
2370,1-3 Old Pinewood School,9703
2371,12-1 Northside Baptist Church,9220
2372,01-1 Civic Center,9201
2373,12-1 Franklin Community of Faith Church,9738
2374,2-2 Thompson Station Baptist Church,9706
2375,3-3 Chapman's Retreat Elementary School,9711
2376,12-3 The Gate Community Church,9740
2377,603 Jack Anderson Elementary,8602
2378,901 Hendersonville High School,8603
2379,East Chattanooga 1,3300
2380,Murray Hills 1,3301
2381,Lake Hills,3302
2382,Kingspoint 3,3303
2383,Concord 2,3304
2384,Concord 7,3305
2385,East Ridge 2,3306
2386,Mowbray,3307
2387,Dalewood,3308
2388,Tyner 1,3309
2389,North Chattanooga 1,3310
2390,East Brainerd 2,3311
2391,Eastgate 1,3312
2392,East Ridge 3,3313
2393,East Ridge 1,3314
2394,Concord 1,3315
2395,Brainerd Hills,3316
2396,Courthouse 2,3317
2397,Downtown 2,3318
2398,Sale Creek,3319
2399,Woodmore 2,3320
2400,Dallas 2,3321
2401,Birchwood,3322
2402,Courthouse 1,3323
2403,Valdeau,3324
2404,Eastgate 2,3325
2405,Lookout Valley 1,3326
2406,East Ridge 4,3327
2407,Soddy Daisy 1,3328
2408,Bakewell 2,3329
2409,Concord 5,3330
2410,Northwoods 2,3331
2411,Eastside 2,3332
2412,Soddy Daisy 3,3333
2413,Soddy Daisy 2,3334
2414,DuPont,3335
2415,Missionary Ridge,3336
2416,Harrison 5,3337
2417,Lakesite,3338
2418,Dallas 1,3339
2419,Tyner 2,3340
2420,Harrison 2,3341
2421,Concord 4,3342
2422,Bakewell 1,3343
2423,Collegedale 4,3344
2424,Collegedale 5,3345
2425,Collegedale 1,3346
2426,Apison 1,3347
2427,Riverview,3348
2428,Collegedale 2,3349
2429,Mountain Creek 1,3350
2430,Red Bank 3,3351
2431,Ganns,3352
2432,Pleasant Grove 1,3353
2433,Hixson 3,3354
2434,Hixson 2,3355
2435,Murray Hills 2,3356
2436,Harrison 1,3357
2437,Ooltewah 3,3358
2438,Snowhill 2,3359
2439,Ooltewah 5,3360
2440,Ooltewah 1,3361
2441,Snowhill 1,3362
2442,Ooltewah 4,3363
2443,Lookout Valley 2,3364
2444,Signal Mountain 1,3365
2445,Kingspoint 2,3366
2446,St Elmo 2,3367
2447,Alton Park 2,3368
2448,Lookout Mountain,3369
2449,Walden,3370
2450,Fairmount,3371
2451,Amnicola,3372
2452,Bushtown,3373
2453,Summit 1,3374
2454,Apison 3,3375
2455,Stuart Heights,3376
2456,Ridgedale 1,3377
2457,Eastside 1,3378
2458,Collegedale 3,3379
2459,Lupton City,3380
2460,Harrison 3,3381
2461,Summit 4,3382
2462,Summit 2,3383
2463,East Brainerd 1,3384
2464,Westview 3,3385
2465,Westview 2,3386
2466,Westview 1,3387
2467,Summit 3,3388
2468,Airport,3389
2469,Brainerd,3390
2470,Woodmore 1,3391
2471,Mountain Creek 2,3392
2472,Apison 2,3393
2473,Avondale,3394
2474,East Lake,3395
2475,Kingspoint 1,3396
2476,Red Bank 1,3397
2477,Ooltewah 2,3398
2478,Northwoods 1,3399
2479,Collegedale 6,3400
2480,Pleasant Grove 2,3401
2481,Signal Mountain 2,3402
2482,Downtown 1,3403
2483,Harrison 4,3404
2484,North Chattanooga 2,3405
2485,Mountain Creek 3,3406
2486,St Elmo 1,3407
2487,Northgate 1,3408
2488,Ridgeside,3409
2489,Eastdale,3410
2490,Soddy Daisy 4,3412
2491,Northgate 2,3413
2492,Red Bank 2,3414
2493,Moccasin Bend,3415
2494,Flat Top Mountain,3416
2495,Middle Valley 2,3417
2496,Hixson 1,3418
2497,Alton Park 1,3419
2498,Ridgedale 2,3420
2499,East Chattanooga 2,3421
2500,Bonny Oaks,3422
2501,Falling Water,3423
2502,Ooltewah 6,3424
2503,Concord 6,3425
2504,Meadowview,3426
2505,Concord 3,3427
2506,Harrison 6,3428
2507,Middle Valley 1,3429
