,join_col,VTD
719,4-1 Thorn Hill Comm. Blg.,2956
720,2-1 Bean Station Ele. School,2957
721,3-2 Indian Ridge Comm. Blg.,2954
722,5-2 Senior Citizens Center,2959
723,South Greene,3077
724,Baileyton,3067
725,Chuckey Doak,3072
726,Chuckey,3073
727,Mosheim,3082
728,Ottway,3080
729,Nolachuckey,3053
733,7-5,1835
734,7-6,1836
759,Scotts Hill,2051
760,4th Decaturville,2052
761,3rd Decaturville,2053
762,Dunbar,2054
763,5th Parsons,2055
764,6th Parsons,2056
766,8th Parsons,2058
768,Liberty,2060
769,Liberty,5358
770,Perryville,2062
771,1-3 Edgar Evins State Park,2151
774,Tusculum View,3063
775,Middle School,3066
776,McDonald,3054
777,Debusk,3059
778,West Pines,3076
779,Doak,3069
783,9th Beacon,2061
784,3rd Beacon,2063
785,3 Church of God,2153
789,Camp Creek,3052
797,7 Church of Christ Annex,2156
806,7-1 Pomona Baptist Church,2255
807,3-1 Calvary Chapel,2258
808,12-2 Greater Things Baptist Church,2253
809,10-1 First Baptist Church,2265
810,1-2 Sylvia Baptist Church,2262
811,4-1 Jackson Chapel,2260
812,2-2 TN City Fire Hall,2257
813,12-1 White Bluff Community Center,2254
814,9-1 Restoration Church,2264
815,3-2 Vanleer Town Hall,2259
820,Gruetli,3163
822,Beersheba,3152
827,Tracy,3156
881,8-1 Senior Citizens,2267
882,1-1 Collier House,2263
883,6-2 Porter Community Center,2251
884,6-1 Burns Church of Christ,2252
885,2-1 Eno Community Center,2256
886,5-1 White Bluff Civic Center,2261
887,I - Hurricane Hill,2365
888,D - Millsfield,2358
889,J-N Dyersburg,2366
890,E - Lenox,2360
891,D-Bogota,2357
892,B - Newbern,2353
893,E - Finley,2359
894,A - Fowlkes,2352
895,H - E. Dyersburg,2363
896,I - Community Center,2364
939,11-1 Tennsco Community Center,2266
940,G - Courthouse,2362
941,C-Tatumville,2354
942,A - Bonicord,2351
1050,C - Trimble,2356
1051,F - Dyer County Central,2361
1070,C - Roellen,2355
1071,10 Rossville,2455
1072,12 Williston,2458
1073,8 Elba,2453
1074,1 Somerville,2465
1075,4 Braden,2462
1076,14 Parks,2460
1077,13 Moscow,2457
1088,9 Piperton,2454
1089,3 Garnett,2464
1090,15 La Grange,2459
1091,5 Gallaway,2463
1092,6 Oakland,2451
1093,7 Hickory White,2452
1094,2 Fayette Corner,2461
1095,11 Macon,2456
1097,Crossroad,2558
1106,Banner,2552
1111,33,4884
1112,74,4885
1113,61,4886
1114,59,4887
1115,72,4888
1116,56,4890
1117,58-S,4891
1118,73,4892
1119,19-W,4894
1131,02-3 East Bank,4204
1132,07-4 Coble,4214
1133,06-1 Justice Center,4209
1134,07-1 Nunnelly,4213
1135,01-2 Pinewood,4201
1136,03-1 East Community Center,4202
1137,07-2 Pleasantville,4211
1138,05-1 Mt. Pleasant,4206
1139,Erin Elementary School,4305
1140,Erin City Hall,4303
1141,Arlington Sr. Citizens Cntr,4302
1142,Houston Co. Middle School,4306
1143,Griffin Chapel Church,4307
1144,Stewart Community Center,4304
1146,1-1 Jera Building,4408
1147,58-N,4895
1148,69-E,4807
1149,70-E,4828
1150,23,4859
1166,4-5 Safe Room,4402
1168,7-8 CCC,4407
1180,7th New Market City Hall,4608
1181,3rd White Pine School,4603
1182,2nd Piedmont Elementary School,4601
1183,4th Jefferson Elementary School,4602
1184,65-E,4841
1185,69-W,4896
1192,10th Jefferson City Fire Dept,4605
1193,9th Talbott Elementary School,4610
1194,8-2 Old Swannsylvania School,4611
1195,5th Jefferson Middle School,4606
1196,6th Rush Strong School,4607
1197,1st Dandridge Elementary School,4604
1198,8-1 Old Chestnut Hill School,4609
1199,5 Doe Valley,4705
1208,50-S,4860
1211,10-N,4862
1223,10-W,4893
1224,48,4801
1225,15,4867
1226,15,6468
1227,30,4868
1231,39,4802
1232,41,4803
1233,40,4806
1234,80,4813
1235,85,4814
1236,86,4815
1237,82,4816
1238,87,4817
1239,76,4818
1240,78,4819
1241,79,4820
1242,77,4821
1243,31,4870
1244,13,4871
1245,13,6458
1255,19-E,4804
1256,92,4822
1257,93,4823
1258,90,4824
1259,27,4827
1260,89,4829
1261,25,4831
1262,29,4826
1263,71,4835
1264,69-S,4839
1267,20,4863
1271,10-S,4832
1272,42,4856
1273,43,4857
1282,50-N,4858
1283,24-Q,4833
1301,49,4834
1302,51,4836
1335,8 North,3705
1336,2 Nixon,3708
1338,7 Walnut Grove,3715
1339,6 Rhodes,3712
1340,4 Crump,3710
1341,5 Morris Chapel,3717
1342,47,4837
1343,46,4838
1344,65-W,4897
1345,62,4844
1346,64,4846
1347,70-W,4847
1348,67,4852
1349,45,4854
1350,63,4848
1351,63-N,4849
1361,5 Saltillo,3718
1362,1 Olivet,3707
1363,10 Fairground,3704
1364,3 Counce,3714
1365,4 Shiloh,3716
1366,7 Whites,3709
1367,3 Southside,3713
1368,2 Walkers,3701
1369,1 Armory,3702
1370,6 Olive Hill,3711
1371,6 Cerro Gordo,3706
1376,2 Church Hill Outside,3810
1382,4 Kepler,3802
1383,4 Rogersville North Outside,3820
1384,69-N,4840
1385,66-S,4842
1392,4 Surgoinsville Outside,3821
1394,5 Rogersville North Inside,3814
1395,5 Rogersville South Inside,3804
1396,5 Rogersville South Outside,3815
1397,6 Alumwell,3812
1400,4 Surgoinsville Inside,3826
1402,65-N,4845
1403,68,4850
1416,7 Cherokee,3801
1417,10 Haywood Junior High,3905
1418,07 Delta Heritage Center,3912
1419,03 Jefferson Court Community Building,3903
1420,02 Parks & Recreation Dept,3901
1421,04 Chamber Basement,3902
1422,09B West Side Church of Christ,3914
1423,06 Wyatt-Duke National Guard Armory,3915
1424,05 Tibbs Fire Station,3906
1425,09A Stanton City Hall,3910
1426,68-E,4851
1427,55,4853
1435,01 Christ Temple Apostolic Church,3904
1436,08 Douglas Community Center,3913
1439,6-1 Broad Street,4003
1440,5-1 TN Technology Center,4004
1441,2-1 Westover,4005
1442,3-2 Fire Station #10,4006
1443,3-4 Pin Oak Fire Station #4,4007
1444,3-3 Darden,4008
1445,7-3 Scotts Hill,4009
1446,7-2 Reagan,4010
1447,4-1 Civic Center,4011
1448,3-1 Christian Chapel,4012
1449,2-2 South Haven,4013
1450,44,4855
1451,66-N,4805
1452,84,4808
1453,26,4809
1454,57,4810
1455,60,4811
1456,81,4812
1457,18,4877
1458,18,6463
1475,7-1 Middleburg,4014
1476,7-4 Sardis,4015
1482,5-1 HC High School,4105
1487,02-2 Fairfield,4205
1488,05-3 Shady Grove,4208
1489,04-1 Lake Benson Camp,4203
1490,01-1 Nunnelly,4212
1491,07-3 Brushy,4210
1492,05-2 Middle School,4207
1493,37,4879
1494,36,4880
1495,35,4881
1500,5-2 Vo-Tech,4109
1502,34,4882
1503,16,4883
1504,16,6470
1505,4-3 Oakland Middle School,7658
1506,4-2 North Boulevard Church of Christ,7657
1507,17-2 Kingwood Heights Church of Christ,7687
1515,Eatons,5463
1516,Riverside,5967
1517,Bigbyville,5968
1518,Culleoka,5969
1519,Spring Hill Middle,5970
1520,04 Englewood School,6051
1521,11 McMinn Courthouse,6052
1522,08 Niota School,6053
1523,601 Lobelville City Hall,6956
1524,401 Brush Creek,6957
1525,101 Cedar Creek,6954
1526,302 Flatwoods,6959
1527,Chanute,7053
1528,Travisville,7055
1529,Moodyville,7056
1530,Bolestown,7057
