join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
Ramer 5-4,508,125,1,6
9 Courthouse,508,157,0,11
1-Jun,508,167,0,17
Morris Chapel 5-2,510,83,2,14
Westside,511,119,1,10
27 Keystone,513,375,1,45
Library 9-1,514,112,1,14
5-1 Woodbury,514,240,3,20
6 Shady,515,84,0,5
2 McPheeter's Bend,515,116,1,8
7-1 Church of Christ,515,203,1,11
1-Jul,505,199,2,50
7-3 Walnut Grove,516,126,1,21
28-1,503,1343,8,43
4 Rogersville No Out,517,81,3,17
9 Fredonia,517,149,0,16
Pellissippi Campus,518,117,1,18
Lenoir City Outside,519,123,4,27
7B Rec Center,519,345,3,10
I2- Hurricane Hill,520,77,1,8
08-1 Krisle,512,114,0,12
1-Oct,507,187,2,17
3-1 Recreation Center,522,267,0,21
3 Big Lick,523,121,0,7
10B Sycamore,523,306,1,42
Cross Roads,524,80,0,6
32 Spring Hill,525,524,4,32
Smoky Mountain,526,145,3,7
5-1 Greenbrier,526,148,2,8
North Selmer 4-1,526,150,1,11
Northeast 3-2,527,227,0,10
6-1 Caney Fork,527,272,4,21
2 High School,528,88,0,16
16 Rutherford,528,155,2,6
1B Prospect,528,179,1,5
Fayette Corner,528,248,0,8
6-3 UTSI,529,142,2,12
Kimball,529,226,1,9
24-2,516,845,5,71
Tinchtown,531,86,0,17
14-1 Crawfish Valley,531,151,0,11
A2- Fowlkes,532,99,0,7
23 Woodland,532,200,1,29
171 Murray Hills 1,532,696,2,42
2-1 Ag Fair Complex,533,175,0,10
3-Nov,519,517,3,31
11-2 Moore's Chapel,534,98,2,13
2-2 Mansfield,535,167,0,6
Harold McCormick,535,219,1,24
Nixon 2-1,536,71,0,6
1-Jan,536,288,3,22
4 Meigs North,537,167,0,10
Davis,539,82,1,11
1-Nov,539,116,0,22
17-1 Bradford,539,153,2,12
7-1 Cumberland City,520,178,3,19
1-2 Sitka,541,89,2,11
4 Bakers,542,95,1,8
2-2 East LaFollette,542,185,5,13
1-Oct,543,93,0,7
Fairview,543,117,1,12
Northport,543,147,1,16
1-Apr,543,177,0,23
035 North Chattanooga 1,546,761,1,92
25-4,532,1153,0,132
Community Center,547,97,0,11
92 Gap Creek,547,111,1,35
Banner Springs,550,91,0,12
1A Polk Co High,550,152,0,15
2-Apr,550,463,0,29
5 Middle School,551,180,3,18
E1- Finley,552,108,0,8
39 Inskip Rec Center,553,344,3,47
032 Moccasin Bend,553,716,1,100
68E East Cedar Bluff,554,577,1,74
9-2 Waldens Ridge,555,90,2,11
6-2 Capitol Hill,555,145,1,18
11-2 Pittman Center,555,169,0,19
Renfro,556,136,0,14
11-2 Hwy 56 North,556,157,2,15
1 Delano,557,158,0,18
3-2 Montezuma,559,93,0,12
2-1 Boonshill,559,127,0,15
Red Boiling Springs,559,139,3,14
Memphis 89-1,559,735,5,21
5 Nolachuckey,561,98,0,11
Central 6,561,136,0,10
7-2 Fruitland,561,193,2,3
8 Lone Oak,562,137,1,20
2-1 Big Rock,541,131,1,17
006 Brainerd,565,744,3,77
5B Agri Park,566,146,0,9
1-Feb,567,164,1,17
08 Elmwood,567,183,2,15
5-2 Winfield,568,70,1,6
29-2,553,1312,5,57
4-4 Springdale,571,109,2,14
5-1 Calvary,571,124,2,14
2-Jan,571,142,0,9
3-2 Huntland,571,147,0,6
4-1 Church Street,550,138,0,21
3-3 Wilson,573,94,1,6
Gruetli-Laager,573,145,4,5
10-1 Centertown UMC,573,199,1,14
Maryville College,574,352,2,46
3-1 Board of Educ,574,580,2,19
3-1 CCHS,575,98,1,13
1A Laurel,576,107,1,14
5-1 Dayton North,576,184,1,25
3-1 Wolf Creek,578,73,1,11
6-1 Dayton West,578,188,6,20
Lucy 01,578,338,3,20
1B Cold Springs,579,109,2,9
C2- Trimble,583,88,3,11
1-1 Alexandria,583,160,0,16
2-Feb,583,191,1,15
194 Northgate 1,583,397,1,35
1-1 Bargerton,584,143,1,14
5-2 County Complex,584,176,3,14
4-Mar,569,1986,0,53
24-1,570,1488,3,128
5-1 Visitors Center,565,228,3,24
5 Lantana,587,163,1,21
26 North Side,587,674,6,43
6 TN Vocational Center,589,154,1,20
Clarksburg,591,85,0,9
Allardt,591,127,3,9
Walland,591,151,0,16
2 Courthouse,594,340,1,13
8-3 Mifflin,596,98,0,10
2 Humboldt Church,596,177,0,22
2-Apr,597,108,0,13
17-1 Sowell,598,199,0,13
Memphis 89-2,598,1020,1,35
13 Byrns Darden,598,1054,7,61
1B Latham,599,102,1,10
Parks,599,242,1,4
3-3 Fire Station #4,600,103,1,12
3A Richland Trace,602,138,1,10
1-1 Sparta Civic,602,237,4,15
3-Dec,586,767,7,53
Cordova 04,603,653,2,21
Memphis 87-4,603,1224,2,29
7-2 Flintville,605,110,1,13
2-3 Oakland,606,114,1,12
10-1 Howards,606,133,2,18
1-May,606,139,1,15
2-1 Luttrell,579,92,1,14
1-Feb,607,287,2,18
Memphis 02,608,1811,1,102
4B WR Event Center,609,396,0,42
5-3 Jellico,610,215,1,16
6-2 South Gate,611,62,2,10
3-2 Evensville North,611,116,4,10
Memphis 53-1,611,968,4,43
18 First Christian,614,233,1,32
Memphis 87-3,614,2141,1,39
1-2 Compassion Church,615,198,5,13
Memphis 16-1,615,1951,5,103
2-3 East Bank,616,250,1,12
1 Lewis Chapel,618,107,3,16
1 Eastview,619,104,1,16
07 South Carthage,619,211,1,23
27-1,604,945,7,66
1A Palmersville,621,117,2,8
8-2 Browns,621,219,1,19
8 Pleasant Hill,621,269,1,15
3-1 Huntsville,622,125,2,10
38 South Central,622,146,2,9
6-1 Public Library,599,181,4,18
41 Norwood,622,447,4,51
3 Linary,623,125,1,20
3,623,155,4,23
5-Sep,623,190,0,24
4-1 TSU,623,259,2,33
3-1 Broadview,624,156,0,16
2-Aug,625,216,2,27
1-1 Civic Center,628,269,3,24
7-1 Plainview,601,120,1,10
01 Fall Branch,631,115,0,21
Ripley 3,631,515,3,11
2-1 Courthouse,633,236,4,36
089 Ooltewah 2,633,373,2,37
27 South Knox,633,441,3,61
2-1 Eddie Cox Sr Ctr,634,194,0,16
037 Northwoods 1,636,367,0,37
7-2 TN Tech Ctr,637,433,4,17
37 Lamar,638,112,0,14
3 Wallace,638,134,0,14
Philadelphia,639,122,1,17
1 Ada Wright CC,639,261,3,24
1-Dec,639,465,3,45
2-1 Oakdale High,641,61,0,5
Hampton,641,73,1,9
Sequatchie,641,173,1,12
5-3 North Parkway,641,1054,1,32
5A Cookeville CC,642,186,1,24
Everett,643,307,2,47
Central,644,128,1,11
15 Milan Municipal,644,205,1,19
1-Mar,627,225,1,19
4-2 FNB,645,145,1,13
5-2 Museum,646,334,0,32
20 Sr Citizens Center,647,284,3,24
5 Vandever,648,98,1,13
18-1 E. O. Coffman,648,149,1,14
Fairground 10-1,648,185,3,12
25 Millennium,648,750,5,73
12,649,78,2,15
5-1 Hilham,649,210,0,9
D2- Bogota,650,106,1,8
10-3 DuPont,651,140,0,18
79 Dora Kennedy,651,175,3,31
1-Jan,651,228,0,25
076 Red Bank 1,651,643,1,90
10 Mt. Ararat,652,180,0,17
5-6 Wildwood,652,278,2,22
2-Jul,639,276,1,27
4 Surgoinsville In,653,139,1,10
5 Ten Mile,654,157,0,13
10 Agri-Plex,654,565,0,21
3 Lake Co Middle,655,216,4,5
3-1 East CC,655,219,3,19
2B St B CC,655,337,1,44
6-3 Malesus,656,139,0,12
074 Mowbray,656,144,0,22
2-2 Friendship,657,107,0,6
4-Aug,641,1008,5,39
5-5 Normandy,659,146,0,17
5-1 Sunbright,660,101,0,6
4 First Baptist,661,298,1,20
8-5 Lesters,663,172,2,8
3 Bailey Park,664,194,0,14
5C,666,98,0,22
Keenburg,666,139,0,17
3B Campbellsville,666,150,1,16
County Junior High,667,113,2,12
4-1 Eastside,667,160,1,10
4-1 Big Ridge,636,152,1,14
7D Twin Oak,668,124,0,21
11 Fredonia,668,177,0,30
21 Wilson Ave,668,296,1,34
1-Jan,669,92,3,11
5-2 Fairgrounds,669,203,3,12
Clarkrange,671,121,1,8
5 Rogersville So In,671,145,4,8
8-1 Fairview,671,183,1,23
1-Sep,672,117,0,10
A1- Bonicord,672,128,1,11
Memphis 95-7,672,929,4,41
5-1 Sharp Chapel,642,123,3,14
4 Surgoinsville Out,673,142,2,11
Cordova 05,673,1449,10,54
South Clinton,674,177,1,30
Gallaway,674,316,2,11
5 South Greene,676,118,0,12
086 Walden,676,350,1,47
Crossroads,679,114,0,8
Newport Grammar,680,185,0,30
20B Barksdale,680,486,3,56
4B Odd Fellows Hall,681,137,0,9
3B Neva,682,125,1,7
G- Courthouse,683,305,2,15
6-7 South McEwen,684,242,0,29
9-1 Morrison,684,261,2,21
2-3 WFCN,684,314,2,18
029 Lupton City,684,543,1,50
4-1 Lancing,685,113,4,10
E2- Lenox,687,59,0,9
Germantown 12,687,244,1,29
2-1 Clouds,688,94,1,12
Armory,688,122,0,10
2-3 Montessori,690,699,2,46
Unaka,691,134,1,12
4-4 Union,691,675,1,22
Grimsley,692,108,1,9
5 Chapel Hill,692,117,1,17
11-1 Summertown,693,124,0,11
5 Doe,693,124,3,12
3-2 Liberty,693,135,2,20
1-Aug,693,411,3,27
071 Lakesite,695,182,1,43
43 West Haven,695,557,2,74
7 City,696,159,1,23
052 Collegedale 1,698,270,0,81
Big Springs,699,113,1,22
02-1 Loretto Civ Ctr,701,207,1,20
6 Chestnut Hill,702,175,2,15
2-May,702,969,10,62
Dyllis,703,160,3,17
Crump 4-2,704,100,1,11
Santa Fe 6-1,704,140,2,13
6 Choptack,705,116,1,16
5-1 East Chester,706,330,0,24
Memphis 01,706,2057,5,104
County High School,707,82,1,7
42 Pleasant Ridge,709,487,3,79
4 Tabor,710,110,1,16
2 Meigs South,710,162,1,18
1-1 Blanche,712,110,1,13
Eastside,712,146,1,16
29 Anderson,712,466,2,66
3-1 Church of God,713,230,2,14
Counce 3-1,714,144,0,10
04 Rock City,715,168,0,29
Willette,716,79,1,6
1-2 Cottage Grove,716,169,3,27
2-Dec,719,218,0,19
4-3 Courthouse,719,265,0,25
3-Apr,719,482,1,37
Rally Hill 11-1,722,196,1,28
14-5,703,853,4,91
5 Hillsboro,723,217,1,11
4 Courthouse,723,237,3,28
Jones Chapel,725,92,2,8
3 Camden City Hall,725,228,2,15
8-2 Swannsylvania,727,146,2,18
33 Richard Yoakley,728,583,6,57
7 Forest Mill,732,192,1,19
Loudon Mt Zion,733,248,3,21
02 Tanglewood,733,263,0,30
2-Jan,734,111,0,5
19-1,716,1172,2,116
1-Dec,737,238,1,42
Parrottsville,739,141,1,15
193 Northgate 2,739,449,3,54
Memphis 96-1,739,1211,6,49
West Hills,740,574,2,70
17-1,743,971,2,105
8-1 Thomas,744,436,2,16
4-1 Maranatha,745,142,2,10
Cave Creek,747,166,5,29
27-2,728,895,1,125
Pine Valley,748,606,5,84
01 Defeated,749,170,0,24
213 Lookout Mountain,750,376,1,57
2-May,751,96,5,19
1A Ardmore,751,203,2,8
2D Shiloh Baptist,752,175,0,22
3-Jan,754,244,2,33
172 Dallas 2,755,173,2,41
1 Waynesboro,757,139,2,8
3-Feb,759,149,2,30
12B Algood Outside,759,173,1,17
33 Telford,760,160,1,22
5 Library,760,270,2,15
6 Parkview,760,319,3,29
1 Allandale Inside,761,291,1,43
5A Martin CoC,761,405,1,36
21-1,762,1227,5,95
19-1 Dyer,763,332,4,23
Glenwood,763,608,4,75
3-Aug,743,1484,6,74
2-Mar,764,270,4,22
2C South Polk,765,158,0,15
08-3 Owens Chapel,753,182,1,19
35 Shannondale,765,552,1,57
4-1 Fair Grounds,766,574,1,28
South Pittsburg,766,592,2,26
Whitwell,767,182,0,14
26 Dogwood,767,1116,5,103
Harriman Ward 1,768,316,5,29
34 New Victory,769,205,2,17
9 Outlaw,769,931,7,80
2-Dec,755,213,2,29
4-2 Bondecroft,772,178,0,15
2-1 Allons,772,281,4,12
H- E. Dyersburg,772,284,2,15
4-5 NJMC,773,293,3,25
32 Cherokee Out,775,177,4,24
South Harriman,776,208,3,24
1-Mar,777,153,1,19
18-1,777,1189,8,101
12 Milan CPC,778,140,0,22
07-1 Lawrenceburg,778,186,2,18
3 Trinity,778,262,4,25
4-Feb,781,185,0,24
5-4 Hornbeak,782,94,1,10
4 Camden Elementary,782,247,4,13
1-Mar,783,307,4,29
2 Camden Jr High,784,265,1,18
6-1 Oneida,787,138,1,5
14,790,130,0,10
4-2 Cowan,790,269,1,18
Welcome Center,792,106,1,11
Clinton High,792,279,2,33
Memphis 68-1,793,695,5,60
87 Thorngrove,794,158,0,17
1-2 Bell Buckle,794,213,1,42
3-3 J-CIL,795,374,0,27
1-1 Fairview,797,141,2,13
3-2 Woodland,797,153,2,23
6 McDonald,798,124,2,11
080 Sale Creek,799,132,0,16
7 Strahl/Cherokee,799,158,2,19
3-Sep,779,1617,4,43
14 Bowmantown,801,135,1,23
18 Fairmont,801,384,1,34
1 Baileyton,803,170,0,17
7-1 Friendship,803,309,3,16
7 St. Clair,804,129,1,12
2-Sep,804,131,0,16
Riverside 1-1,805,385,3,25
13-1 West End,806,117,0,17
1-3 Jones Cove,806,144,2,14
7 High School,806,451,3,42
6 Mooresburg,807,161,0,17
Bethel College,807,208,2,25
North Clinton,809,245,2,30
82 Ellistown,811,410,5,45
2-Mar,812,102,2,16
8 Lewisburg Gas,812,323,3,23
6-1 Paulette,776,166,3,21
Fairview,813,187,1,32
33-2,792,1715,6,49
10 Jeff City Fire Dp,816,336,3,52
Eureka,818,265,2,17
6-4 Black Fox,819,123,1,32
1 West Pines,819,149,2,23
6 Big Sandy,819,251,1,13
4-Dec,798,843,2,67
7 Mayland,820,160,1,16
04-1 Crossroads,821,122,0,12
12 North Coffee,821,176,2,21
180 Harrison 5,822,211,2,27
14 Hickerson,822,236,1,15
Powells Crossroad,823,188,2,28
25-2,809,299,4,32
4A Lynnville,826,177,1,16
11 Northwest,826,903,8,82
204 Collegedale 4,828,289,3,71
11B Cookeville High,829,325,0,38
3-1 New Center,830,178,1,25
1-1 Puryear,830,220,1,20
06-2 Mt. Sharon,818,177,3,25
096 Westview 3,831,334,4,36
4-1 Lake Benson,832,204,5,30
05 Gordonsville,832,246,1,21
15-2,811,717,2,93
15-1 David Crockett,835,161,2,18
2-Jun,835,234,3,30
Rossville,835,486,0,19
4-3 Jacksboro,836,168,4,27
Huntingdon,836,230,3,19
203 Summit 3,836,255,0,48
2-4 Woodland,837,118,1,14
7-1 Deery Eakin,837,445,1,34
Hampshire 7-2,838,168,0,17
1-Nov,839,460,3,41
Forest Hills 01,840,907,1,29
West End 1-2,842,429,3,65
Piperton,844,244,1,11
1 Holladay,846,213,2,9
5A TCAT,846,238,1,13
1-Dec,831,206,4,22
Tracy City,848,213,5,17
4-3 Sycamore,848,230,2,32
9,849,186,0,7
80 Corryton,849,199,2,18
3 Homestead,849,201,0,29
Hendrix Creek,849,784,3,77
E K Baker,853,125,4,12
2A Minor Hill,854,168,0,24
03 New Middleton,854,213,0,20
Halls 8,854,353,2,14
Friendsville,855,176,0,27
054 East Ridge 2,857,622,1,72
27-3,835,913,4,118
Glendale,859,172,0,23
03-1 Ebenezer,845,173,2,26
7-8 North McEwen,859,237,1,27
High School,859,249,2,35
2-2 Aldersgate,859,559,3,42
Oak Hills,859,779,5,81
1-1 NE Covington,860,1100,6,15
2-Oct,861,859,4,92
Memphis 95-6,861,996,3,44
40 Norwood,863,575,4,64
Mountain View,864,184,5,28
10A Pavilion,865,250,1,27
22-1,845,750,2,67
West Bolivar,867,1187,3,17
1-1 Spring City North,869,213,6,29
1-Sep,852,400,2,36
4-Oct,846,1204,3,40
Culleoka 8-2,871,193,0,16
1B Chilhowee,872,263,2,13
34-4,850,793,2,63
2-3 LaFollette ES,874,190,4,23
Love Chapel,876,167,1,21
30 Grace,876,682,1,63
3-Oct,854,715,5,52
24Q Sequoyah Hills,881,1125,4,107
Miser Station,883,291,1,40
8 New Union,885,187,1,42
Centerview,886,122,2,12
6-3 Waterville,886,193,0,26
8F Cornerstone,886,200,3,18
2,889,363,7,22
D1- Millsfield,891,105,0,11
1-1 UCHS,852,135,1,26
6-1 South Side,896,323,3,19
7 Woody,897,135,0,24
76 Sunnyview,897,301,1,38
15 Grace Baptist,897,323,3,28
Rockford,898,377,2,36
Somerville City,898,757,1,16
56 Heiskell,899,210,1,35
6-1 Justice Center,901,401,1,25
26-2,878,868,0,100
4A Burks,904,217,3,21
Courthouse,905,179,3,19
10 Minglewood,905,851,3,80
Orchard View,906,191,1,40
Edwina,907,133,1,14
4-1 Evensville South,909,174,2,19
4-Sep,911,335,0,50
33-3,887,2491,3,68
2-Feb,912,182,1,12
1-Jun,912,301,2,24
5-2 TN Tech Center,912,403,2,24
198 Stuart Heights,912,1019,2,124
Norwood,915,266,5,40
1 Ottway,919,167,0,21
Adamsville 2-1,920,174,1,20
North City,920,335,5,30
Middleton,922,191,0,10
6-2 Cassville,923,178,3,12
29-4,899,1810,2,79
8-1 Chestnut Hill,924,254,1,24
Elba,924,324,0,18
Rogers Creek,925,171,6,14
4-1 Caryville,928,199,2,32
08 B.C. West,928,243,0,34
3 Belfast,930,238,2,26
9 McKnight Center,932,396,4,30
Memphis 67-3,937,513,0,62
2-Nov,937,843,5,98
1-Dec,915,786,6,70
3-2 New Tazewell,940,229,4,31
2-1 Spring City South,941,268,3,23
6-1 Fayetteville CPC,943,286,2,31
4-1 Helenwood,944,137,0,9
2-1 Henry,944,231,0,19
8-2 Estill Springs,944,257,5,29
16-1,944,1108,2,117
08-1 New Prospect,947,186,2,19
5-5 TN Tech Center,912,248,1,18
Collierville 07,948,1479,4,46
Cosby,949,161,1,28
3-4 Rives,949,165,0,17
36 Gresham,953,731,7,86
25 South Knox CC,953,988,5,108
5 Rogersville So Out,954,180,1,23
William Blount HS,954,238,2,47
13 Stratton,954,620,3,55
4 Oak Hill,963,200,1,25
4-6 Civic Center,965,342,6,29
3-1 Wartburg,966,215,2,31
Rockwood Ward 2,968,355,2,34
23-2,943,1430,2,115
5-Jan,969,333,4,57
14-1,945,1167,4,93
Greenback,972,193,0,28
Morning Sun 01,972,2292,6,57
Michie 7-1,973,160,0,12
1-1 Wartrace,974,230,2,27
Rock Creek,975,215,2,17
26-3,950,1217,8,140
16 New Providence,979,898,13,64
Memphis 66,979,1230,3,106
24-6,956,1334,2,125
1-1 Coalfield,982,180,2,29
25-2,957,1093,0,95
16 Lion's Club,983,366,1,62
046 Tyner 1,983,892,2,55
Memphis 45-4,983,1946,7,141
Chilhowee View,984,290,3,30
5 Recreation Center,984,431,4,30
11 Indian Trail,984,501,4,55
Central,986,206,2,21
9A Dresden,986,307,2,18
8-3 Underwood,987,209,3,41
Eads,987,328,3,25
1 Livingston,988,499,3,27
Valley Forge,989,161,2,17
Morning Sun 02,990,783,4,35
Theta 6-3,994,303,0,47
25-1,969,1381,3,149
16-3,996,701,1,69
3-1 Lee University,998,518,3,79
15-3,972,813,6,88
2-Dec,999,608,3,56
23-3,975,1122,4,114
1-1 Westside,1003,231,0,25
North 8-1,1004,293,0,18
Beech Grove,1005,518,3,79
5-1 Henry Co High,1006,291,4,24
Memphis 95-5,1008,914,2,50
5-1 Doyle Civic,1009,220,3,13
7-1 North Lake,1010,257,1,34
9-2 Southside,1011,385,6,31
7C,1013,230,1,32
7-2 CG/Winchester Springs,1016,217,0,17
1-4 Valley View,1019,199,1,18
9-3 Three Way,1019,293,3,25
2-Oct,1020,191,1,26
12A Algood Inside,1020,373,1,38
12 Ringgold,1020,1165,5,119
Townsend,1021,336,2,35
4-3 Festivities,1022,460,2,28
85 Skaggston,1026,263,3,25
5-2 Senior Center,1028,279,2,35
1-Apr,1031,394,3,32
Neapolis 5-2,1033,332,2,47
Emory Valley,1034,894,1,88
Memphis 95-1,1037,1278,6,60
11-3 Millersville,138,388,5,53
1-Sep,1039,402,5,40
200 Signal Mountain 2,1039,690,2,95
Memphis 46-2,1039,1174,2,108
High School,1040,320,4,42
1-Jul,1042,349,4,42
Tiger Valley,1043,142,1,18
6,1046,241,1,23
1-May,1048,316,0,44
2-15 Westover,1049,143,0,28
3-1 Russwood,1049,260,0,15
Memphis 81-7,1049,1881,3,71
23-4,1024,627,2,107
9B,1053,405,3,64
3-2 Jacksboro Sta,1054,207,3,30
189 DuPont,1055,612,1,81
4-Aug,1058,380,2,61
3A Greenfield,1060,263,2,18
8A Martin FUMC,1063,381,6,25
4 Cornersville,1064,227,2,21
4-3 Cottontown,1065,250,4,31
16 Larry Cox Sr Center,1069,1484,9,126
Loudon Outside,1070,236,6,32
17 Grace,1070,1048,7,132
1-May,1071,755,8,88
86 Carter,1074,242,5,41
B- Newbern,1075,268,5,26
65N Concord North,1076,568,3,100
2 Henry Horton Park,1078,289,1,46
Lawnville,1081,255,3,55
170 Snowhill 1,1082,287,2,44
8 Pomona,1086,209,1,13
Louisville,1087,370,1,60
Spring Hill MS 6-2,1087,372,1,28
5C Prescott South,1089,275,1,35
Kingston Ward 2,1095,359,4,37
16-3,1068,2057,10,202
7-2 Catlettsburg,1100,238,0,44
Oak Street,1100,300,5,45
4-1 West Chester,1101,218,4,27
11A Bangham,1101,282,0,34
7-1 West Oneida,1110,124,2,16
Maryville Municipal,1114,480,2,64
5-1 FB Gallatin,1114,603,3,42
Bigbyville 9-1,1115,257,1,25
6-1 Harrogate,1116,242,1,24
2-2 Waldens Creek,1118,242,0,31
11-1 Beech,1119,305,0,36
24-1,1097,431,0,46
11B,1121,605,5,62
24 Henry Johnson,1121,641,5,61
1-1 McDonald,1122,195,1,39
05 B.C. East,1126,291,5,43
35-4,1097,979,2,94
Memphis 67-1,1127,877,4,112
Lanier,1128,222,2,27
7-1 Arthur,1128,247,3,26
Memphis 91-2,1128,1336,6,74
Courthouse SE 6-1,1130,329,0,27
03-2 Heritage,1115,195,1,45
2A Gleason,1134,203,4,16
4-1 West Cheatham,1134,307,2,41
8-1 Lincoln,1137,168,2,15
Germantown 08,1137,481,1,52
Westside,1139,293,1,26
25-3,1111,1406,6,123
25-1,1122,362,2,68
Memphis 95-8,1144,1631,2,48
44 Ridgedale,1145,861,1,122
02 Harmony,1146,206,1,22
8-1 Garrison,1146,245,1,34
181 Concord 4,1147,835,1,65
29 Fairhaven Inside,1148,591,4,58
Glen Alpine,1149,304,3,48
1-1 Tazewell,1153,330,1,20
7A Martin Shepherd's,1154,410,4,41
Lakeland 02,1155,417,8,46
14-2,1126,846,5,72
067 Fairmount,1159,454,1,84
11-1 Westside,1142,520,3,43
34-5,1134,972,2,106
18 Hazelwood,1167,1225,8,141
31-3,1137,1394,3,166
Porter,1169,259,0,44
1 Chapel Hill,1169,295,1,34
22-2,1140,1519,1,144
51 Deane Hill Rec Ctr,1173,749,2,100
19-1,1153,488,2,51
5-2 Guild,1179,770,5,67
34-1,1149,1276,0,134
Civic Center,1182,400,3,36
Heritage,1184,261,2,27
6-1 Troy Sr Ctr,1186,155,1,25
1-Nov,1190,799,1,60
Fairview,1196,329,2,30
Englewood,1197,291,6,27
3-Aug,1199,355,1,54
06-1 Coopertown,1183,307,1,45
6 Rush Strong,1203,288,4,42
Brunswick 01,1205,509,3,47
Loudon,1208,388,3,30
Memphis 96-2,1209,1301,2,57
Memphis 64,1210,911,2,116
13-3,1182,1597,9,126
60 Fort Sumter,1215,276,1,29
Memphis 68-3,1215,902,0,62
Memphis 44-1,1215,1122,8,129
4 Jefferson ES,1217,456,2,57
Lake City MS,1219,250,2,18
055 East Ridge 3,1219,541,4,66
Andersonville,1222,227,2,32
2 Complex 2,1222,346,4,40
070 Ganns,1222,364,0,73
1-May,1223,333,2,34
Roan Mountain,1225,151,4,13
13-1,1226,765,6,76
3-3 Jones Chapel,1229,274,2,28
Maryville Jr High,1230,637,4,109
Memphis 81-1,1233,1043,1,71
Collierville 08,1238,386,0,55
6C,1239,237,5,20
6A Cane Creek,1239,608,8,68
15-1,1208,1209,7,109
056 East Ridge 4,1241,626,2,61
4A Sharon,1242,246,2,26
6-2 Gallatin HS,1242,523,6,46
188 Middle Valley 1,1243,352,0,72
20-3,1214,1927,7,163
93 Hopewell,1249,389,2,60
Germantown 06,1250,706,1,79
Gap Creek,1254,218,1,28
3-Mar,1255,530,4,111
3 Doak,1256,299,3,40
3-1 Ag Fair Complex,1259,244,2,17
7-1 Frazier,1260,238,1,24
Courthouse,1261,305,3,33
35-1,1231,912,4,117
4-1 Masonic Lodge,1266,963,2,58
1-Sep,1271,501,3,98
1-Aug,1271,553,0,97
Memphis 80-2,1277,1107,6,78
1-Oct,1279,441,4,54
084 Soddy Daisy 2,1280,297,1,49
5-2 Pegram,1281,552,4,57
10-1 Walton Ferry,1282,722,2,79
Prospect,1286,270,6,39
21B Hilldale,1286,711,5,72
2-Nov,1296,839,3,77
5 Debusk,1300,231,1,39
4C,1302,230,2,39
Carpenters,1302,274,5,30
1A St B ES,1302,1047,4,130
Unicoi,1306,276,1,40
07-1 Jo Byrns,1286,320,5,43
1-Jan,1311,2063,11,103
Memphis 81-3,1317,838,1,76
Memphis 55-2,1317,888,0,141
5-2 Flat Creek,1318,271,1,32
6-8 Broad Street,1318,308,2,30
Claxton,1319,387,2,53
18-2,1320,692,5,82
Memphis 54,1324,1083,4,54
Armory 7-1,1329,492,1,31
Clinton,1330,556,5,47
7-1 Northfield,1337,296,4,38
Collierville 05,1338,328,0,59
09-1 Fair Assoc.,1317,695,5,55
Riceville,1339,267,2,26
J- North Dyersburg,1340,355,2,36
1-1 Caton's Chapel,1342,276,1,36
John Sevier,1343,525,4,77
1-Nov,1343,851,1,100
14 Glenellen,1343,1189,8,132
5,1347,426,5,47
1-1 Annex,1350,646,5,46
23-1,1316,1255,1,116
3 Carter's Valley,1352,237,2,23
4,1352,312,1,45
46 1st Nazarene,1357,1180,9,135
8B,1358,286,4,38
Cordova 03,1360,1842,4,59
First Family 2-1,1361,605,5,78
Arlington 02,1365,508,1,63
183 Bakewell 2,1372,380,2,51
5B,1373,323,1,52
3 Tusculum View,1373,439,3,44
Memphis 91-1,1376,1451,2,71
2-1 Wearwood,1382,281,5,23
15-1,1355,342,2,39
5 Tansi,1384,328,4,26
2 Chuckey Doak,1388,282,0,32
55 Lonas,1390,922,5,124
064 Westview 1,1392,689,4,83
1-1 South Fulton,1394,401,0,27
Bull Run,1397,424,3,76
1-Jul,1398,315,2,33
7-2 Obion Co Library,1402,427,0,40
07 Gray West,1407,264,1,56
15-2,1408,1157,4,102
7A Burgess Falls,1410,487,4,52
Tellico V. North,1410,574,5,40
1-Nov,1373,1151,7,110
6-1 Valley View,1413,179,5,29
9 Talbott School,1413,233,6,35
2A Northeast,1415,814,2,77
053 East Ridge 1,1416,760,0,82
7 New Market,1417,315,5,55
Bartlett 06,1420,686,2,68
10-3 North Side,1421,925,10,56
14-1,1425,342,1,40
Hunter,1426,199,2,18
2-Sep,1428,675,3,87
5-Feb,1431,414,2,91
22-3,1395,1296,3,109
7 Glenwood,1435,283,3,49
4-2 Rickman,1435,393,2,35
10-1 South Haven,1420,615,10,60
1-1 County Library,1444,670,4,80
Etowah,1447,384,5,29
13-2,1449,982,1,119
7,1450,367,3,49
1-Jun,1425,372,4,46
2-2 Wiseman,1453,460,4,47
3-Feb,1453,504,1,92
22-1,1426,513,3,87
1-Oct,1455,1107,6,88
1-Dec,1460,846,4,134
Oakview,1461,319,1,45
Board of Education,1461,565,0,88
101 Hixson 3,1461,691,5,101
21-2,1463,779,3,74
10B,1466,335,3,33
7-2 Cleveland High,1471,481,4,69
3-3 Unionville,1472,289,1,32
6A Cumberland,1473,555,2,65
1-Jan,1436,581,5,55
74 Shannondale,1474,698,1,88
1-Dec,1475,356,2,51
3-Oct,1475,795,3,96
