join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
Memphis 73-3,132,1692,5,7
2-1 Liberty,134,26,0,3
Travisville 3-2,135,33,0,3
Elk Mills,138,24,1,1
Elder Mountain,138,38,0,5
139 North Chattanooga 2,138,295,0,25
1-Mar,139,331,0,7
Memphis 87-2,140,1515,2,19
9-1 Clairfield,141,48,0,1
190 Kingspoint 1,141,832,1,17
3-Jul,137,1217,1,65
Memphis 71-4,141,2367,5,18
Cross Roads,142,33,0,6
19E Thrive Lonsdale,142,440,2,11
210 Ridgedale 1,142,560,0,51
058 Harrison 1,143,135,0,5
21-2,139,1642,1,26
2-2 Gassaway,144,67,0,3
Memphis 31-2,145,1299,3,43
Macedonia,146,27,0,6
1-2 Marsh Creek,146,37,0,5
17-7,143,460,1,22
Memphis 88-4,147,921,3,2
6th,148,54,0,7
Grand Junction,148,530,3,6
3-3 Eagle Creek,149,36,0,1
5-5 White Oak,149,44,1,2
199 Downtown 1,149,176,0,23
24-4,145,561,0,57
Memphis 69-2,149,665,4,3
1-1 Dill,150,56,1,5
Memphis 72-3,150,1751,5,7
2-Jan,151,123,0,5
Cypress 5-1,152,23,0,1
191 Kingspoint 2,152,130,0,22
7-9 Middleburg,153,15,0,1
Memphis 74-2,153,2005,3,15
09 City,154,92,2,4
18-2,150,578,1,29
4-2 Howard's Quarter,155,16,0,1
Boom 4-1,156,32,0,3
2 Greasy Creek,156,36,0,1
5,156,242,1,7
2-4 Short Mountain,157,63,2,3
195 Eastdale,158,1779,2,38
01 Senior Center,159,114,0,7
16-2,156,242,3,12
208 Courthouse 1,160,527,0,47
4-3 Chestnut Ridge,162,33,0,1
Moodyville 1-2,162,35,0,2
7-2 Perryville,162,38,0,0
Memphis 70-1,162,1343,4,4
Memphis 94-3,162,2284,7,19
3-2 Paint Rock,163,22,0,6
Ripley 4,163,610,3,5
2-2 Pope,164,46,0,4
14-3,160,310,0,23
6B Bridgeforth,164,414,3,4
1-Jun,161,1108,3,77
6-1 Belk,166,42,1,6
095 Eastgate 2,167,548,0,23
Memphis 94-7,167,2477,4,23
3-2 Flatwoods,168,31,0,4
2-Oct,164,51,0,8
13 Milan Polk Clark,168,407,1,6
Memphis 90-3,168,1585,3,8
Whiteville,170,472,2,7
1-1 Jera,171,64,1,6
Memphis 17,171,837,2,49
Walden's Ridge,173,50,0,6
5-2 Towers,173,117,0,4
7-3 Denmark,173,532,1,5
7-2 Pleasantville,174,36,0,5
1-1 Civic Center,174,515,3,24
50S West High,175,286,2,18
13-2,171,256,1,23
Pelham,178,50,0,3
13 Fair Garden,178,1076,11,25
Memphis 72-7,179,1541,7,18
Central,180,47,0,5
1-2 Sparta Civic,184,64,0,3
1-Feb,184,362,1,4
4-1 Maple Grove,185,42,0,1
4-2 Deer Lodge,186,40,0,6
7-4 Coble,186,45,0,1
7 Bulls Gap Inside,186,45,0,4
Palmer,186,68,0,2
2 Clifton,187,63,0,4
30-3,183,253,1,14
8-2 Kodak,189,31,1,6
Watauga,190,39,1,6
31-1,185,597,2,28
5-Jun,185,1216,3,49
2-2 Fairfield,191,51,1,2
17-1,186,1053,5,50
16-1,187,405,0,21
30 Sarah Moore Greene,192,693,2,20
Rankin,193,34,2,3
33-1,188,67,1,10
Memphis 74-1,193,1954,1,21
Cummingsville,194,54,0,14
2-Feb,194,90,0,2
2-2 Dowelltown,195,72,0,4
10,195,159,0,3
10S Howard Baker Center,195,396,0,45
2-May,190,1516,4,71
3-4 Masseyville,196,35,0,4
1-2 Temperence Hall,196,48,0,4
Ross 16,196,2966,3,14
5-2 Pea Ridge,197,83,0,6
29-3,192,717,1,16
River Canyon,198,40,1,6
167 Collegedale 3,199,70,0,14
Memphis 94-8,200,1773,4,17
5-3 Wayne Co High,201,23,2,3
08 Willard,201,114,0,6
2-2 Mossy Grove,203,48,1,2
Purdy 3-3,204,43,0,4
Memphis 88-2,204,869,2,24
7-1 Elora,205,51,0,2
4-2 Short Mountain,205,59,0,8
1-3 Pinecrest,205,66,0,5
Olive Hill 6-3,207,24,0,1
1-6 Harmony,208,52,1,9
2-1 College Hill,209,55,1,5
Memphis 74-5,209,1354,4,7
Ross 05,209,2256,3,21
6 Clinch,210,44,1,6
Concord,210,89,1,4
04 Halltown,210,93,1,6
069 Flat Top Mountain,212,25,0,5
5-2 Nine Mile,212,34,0,6
Pocahontas,214,19,0,1
4-Jan,209,86,0,12
Henning 1,215,409,0,5
4 Dykes,216,56,0,6
Ross 13,217,2877,4,24
2-3 Pleasant Ridge,218,66,0,9
8 Midway,219,32,1,4
8-1 Edison,219,109,0,8
5-1 Beech Bethany,220,77,0,5
209 Eastside 1,220,850,3,32
Johnson Sch House,221,31,1,3
7-1 Nunnelly,221,66,0,2
LaGrange,221,158,0,3
8A Bethel,221,278,3,22
06-1 Iron City,222,55,1,10
5B Madison,222,439,1,24
2-Aug,216,765,0,30
3-6 Deanburg,223,26,0,3
1-Jun,224,96,0,3
Saulsbury,224,101,1,4
6-Mar,218,741,2,17
1-1 Nunnelly,225,73,1,5
7-4 Mercer,226,97,1,7
