G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
125,586,3,14,5-11821
127,38,0,2,5-1 Keith Springs2659
127,555,2,5,F - Dyer County Central2361
127,831,0,19,8-11837
128,66,0,5,Petros 6-26653
129,40,1,5,Beersheba3152
129,403,0,21,3-31813
129,1340,1,65,5-51825
131,15,0,1,9th Beacon2061
132,673,2,34,154867
132,1692,5,7,Memphis 73-38192
134,26,0,3,Liberty2060
135,33,0,3,Travisville7055
138,24,1,1,Elk Mills0914
138,38,0,5,Elder Mountain5751
138,295,0,25,North Chattanooga 23405
139,331,0,7,03 Jefferson Court Community Building3903
140,1515,2,19,Memphis 87-28061
141,48,0,1,9-1 Clairfield1202
141,832,1,17,Kingspoint 13396
141,1250,1,66,7-31833
141,2367,5,18,Memphis 71-48187
142,33,0,6,Cross Roads3157
142,440,2,11,19-E4804
142,560,0,51,Ridgedale 13377
143,135,0,5,Harrison 13357
143,1686,1,27,21-21900
144,67,0,3,Gassaway0702
145,1299,3,43,Memphis 31-28117
146,27,0,6,7 Macedonia0802
146,37,0,5,102 Marsh Creek6958
147,472,1,22,17-71884
147,921,3,2,Memphis 88-48234
148,54,0,7,6th3506
148,530,3,6,Grand Junction3613
149,36,0,1,3 Eagle Creek Fire Hall9408
149,44,1,2,White Oak0619
149,176,0,23,Downtown 13403
149,576,0,58,24-41915
149,665,4,3,Memphis 69-28182
150,56,1,5,Dill0304
150,1751,5,7,Memphis 72-38189
151,123,0,5,1-24508
152,23,0,1,5 Cypress6166
152,130,0,22,Kingspoint 23366
153,15,0,1,7-1 Middleburg4014
153,2005,3,15,Memphis 74-28195
154,92,2,4,9 City8809
154,594,1,30,18-21886
155,16,0,1,4-2 Howard's Quarter1214
156,32,0,3,Boom7058
156,36,0,1,2 Greasy Creek Comm. Club7158
156,242,1,7,51608
157,63,2,3,2 Short Mountain0708
158,1779,2,38,Eastdale3410
159,114,0,7,1 Senior Center8801
160,249,3,12,16-21874
160,527,0,47,Courthouse 13323
162,33,0,1,Chestnut Ridge 4-36655
162,35,0,2,Moodyville7056
162,38,0,0,Perryville2062
162,1343,4,4,Memphis 70-18183
162,2284,7,19,Memphis 94-38248
163,22,0,6,3-2 Paint Rock7759
163,610,3,5,Ripley 45056
164,46,0,4,202 Pope6960
164,318,0,24,14-31865
164,414,3,4,6B BMS Bridgeforth Middle School2862
165,1138,3,79,6-11826
166,42,1,6,6-1 Belk2166
167,548,0,23,Eastgate 23325
167,2477,4,23,Memphis 94-78250
168,31,0,4,302 Flatwoods6959
168,52,0,8,10-21845
168,407,1,6,29 Milan Polk Clark2768
168,1585,3,8,Memphis 90-38240
170,472,2,7,Whiteville3603
171,64,1,6,1-1 Jera Building4408
