,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2545,,,,,,,,,,,,,Early Voting - Write-Ins,Smith,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,right_only
2546,,,,,,,,,,,,,Early Voting - Write-Ins,Tipton,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,right_only
2547,,,,,,,,,,,,,Early Voting - Write-Ins,Trousdale,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,right_only
2548,,,,,,,,,,,,,Early Voting - Write-Ins,Van Buren,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,right_only
2549,,,,,,,,,,,,,Early Voting - Write-Ins,Warren,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,right_only
2550,,,,,,,,,,,,,Early Voting - Write-Ins,Washington,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,right_only
2551,,,,,,,,,,,,,Early Voting - Write-Ins,Wayne,Early Voting - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,right_only
2552,,,,,,,,,,,,,1 Holladay,Benton,1 Holladay,846.0,213.0,2.0,9.0,0.0,0.0,3.0,1.0,right_only
2553,,,,,,,,,,,,,2 Camden Jr High,Benton,2 Camden Jr High,784.0,265.0,1.0,18.0,2.0,1.0,5.0,0.0,right_only
2554,,,,,,,,,,,,,3 Camden City Hall,Benton,3 Camden City Hall,725.0,228.0,2.0,15.0,0.0,0.0,2.0,0.0,right_only
2555,,,,,,,,,,,,,4 Camden Elementary,Benton,4 Camden Elementary,782.0,247.0,4.0,13.0,3.0,5.0,0.0,0.0,right_only
2556,,,,,,,,,,,,,5 Library,Benton,5 Library,760.0,270.0,2.0,15.0,4.0,2.0,1.0,0.0,right_only
2557,,,,,,,,,,,,,6 Big Sandy,Benton,6 Big Sandy,819.0,251.0,1.0,13.0,4.0,3.0,3.0,4.0,right_only
