,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2679,,,,,,,,,,,,,16 Lion's Club,Coffee,16 Lion's Club,983.0,366.0,1.0,62.0,2.0,2.0,7.0,8.0,right_only
2680,,,,,,,,,,,,,18 First Christian,Coffee,18 First Christian,614.0,233.0,1.0,32.0,2.0,4.0,3.0,1.0,right_only
2681,,,,,,,,,,,,,20 Sr Citizens Center,Coffee,20 Sr Citizens Center,647.0,284.0,3.0,24.0,2.0,1.0,12.0,5.0,right_only
2682,,,,,,,,,,,,,21 Wilson Ave,Coffee,21 Wilson Ave,668.0,296.0,1.0,34.0,4.0,5.0,8.0,8.0,right_only
2683,,,,,,,,,,,,,01,Crockett,01,350.0,47.0,0.0,2.0,1.0,0.0,4.0,0.0,right_only
2684,,,,,,,,,,,,,01,Monroe,01,1783.0,458.0,6.0,48.0,0.0,5.0,10.0,5.0,right_only
2685,,,,,,,,,,,,,02,Crockett,02,384.0,70.0,0.0,4.0,0.0,2.0,1.0,0.0,right_only
2686,,,,,,,,,,,,,02,Monroe,02,889.0,363.0,7.0,22.0,0.0,3.0,0.0,1.0,right_only
2687,,,,,,,,,,,,,03,Crockett,03,332.0,112.0,1.0,2.0,0.0,0.0,1.0,0.0,right_only
2688,,,,,,,,,,,,,03,Monroe,03,623.0,155.0,4.0,23.0,2.0,5.0,3.0,1.0,right_only
2689,,,,,,,,,,,,,04,Crockett,04,365.0,69.0,1.0,7.0,0.0,0.0,0.0,1.0,right_only
2690,,,,,,,,,,,,,04,Monroe,04,1352.0,312.0,1.0,45.0,3.0,7.0,8.0,5.0,right_only
2691,,,,,,,,,,,,,05,Crockett,05,156.0,242.0,1.0,7.0,0.0,0.0,0.0,0.0,right_only
2692,,,,,,,,,,,,,05,Monroe,05,1347.0,426.0,5.0,47.0,1.0,6.0,4.0,2.0,right_only
2693,,,,,,,,,,,,,07,Crockett,07,244.0,125.0,1.0,3.0,1.0,0.0,2.0,0.0,right_only
2694,,,,,,,,,,,,,07,Monroe,07,1450.0,367.0,3.0,49.0,2.0,6.0,5.0,7.0,right_only
2695,,,,,,,,,,,,,08,Crockett,08,427.0,84.0,0.0,11.0,0.0,2.0,1.0,0.0,right_only
2696,,,,,,,,,,,,,08,Monroe,08,495.0,98.0,0.0,22.0,0.0,1.0,2.0,0.0,right_only
2697,,,,,,,,,,,,,1 Cornerstone,Cumberland,1 Cornerstone,1957.0,524.0,4.0,53.0,3.0,6.0,11.0,5.0,right_only
2698,,,,,,,,,,,,,2 Complex 2,Cumberland,2 Complex 2,1222.0,346.0,4.0,40.0,3.0,8.0,9.0,0.0,right_only
2699,,,,,,,,,,,,,3 Homestead,Cumberland,3 Homestead,849.0,201.0,0.0,29.0,0.0,2.0,4.0,1.0,right_only
2700,,,,,,,,,,,,,3 Dorton,Cumberland,3 Dorton,321.0,52.0,0.0,8.0,0.0,1.0,4.0,0.0,right_only
2701,,,,,,,,,,,,,3 Linary,Cumberland,3 Linary,623.0,125.0,1.0,20.0,1.0,0.0,8.0,3.0,right_only
2702,,,,,,,,,,,,,3 Big Lick,Cumberland,3 Big Lick,523.0,121.0,0.0,7.0,0.0,4.0,2.0,0.0,right_only
2703,,,,,,,,,,,,,4 Tabor,Cumberland,4 Tabor,710.0,110.0,1.0,16.0,2.0,1.0,4.0,0.0,right_only
2704,,,,,,,,,,,,,4 Bakers,Cumberland,4 Bakers,542.0,95.0,1.0,8.0,1.0,0.0,3.0,2.0,right_only
2705,,,,,,,,,,,,,4 Oak Hill,Cumberland,4 Oak Hill,963.0,200.0,1.0,25.0,2.0,2.0,3.0,0.0,right_only
2706,,,,,,,,,,,,,5 Lantana,Cumberland,5 Lantana,587.0,163.0,1.0,21.0,0.0,0.0,3.0,0.0,right_only
2707,,,,,,,,,,,,,5 Vandever,Cumberland,5 Vandever,648.0,98.0,1.0,13.0,0.0,1.0,4.0,3.0,right_only
2708,,,,,,,,,,,,,5 Tansi,Cumberland,5 Tansi,1384.0,328.0,4.0,26.0,1.0,4.0,2.0,0.0,right_only
2709,,,,,,,,,,,,,6 Crab Orchard,Cumberland,6 Crab Orchard,384.0,72.0,2.0,6.0,1.0,1.0,5.0,1.0,right_only
2710,,,,,,,,,,,,,6 Chestnut Hill,Cumberland,6 Chestnut Hill,702.0,175.0,2.0,15.0,0.0,4.0,3.0,0.0,right_only
2711,,,,,,,,,,,,,6 Ozone-Pineview,Cumberland,6 Ozone-Pineview,488.0,116.0,0.0,11.0,0.0,0.0,0.0,3.0,right_only
2712,,,,,,,,,,,,,6 Grassy Cove,Cumberland,6 Grassy Cove,309.0,57.0,1.0,9.0,0.0,1.0,1.0,1.0,right_only
2713,,,,,,,,,,,,,7 Rinnie,Cumberland,7 Rinnie,385.0,41.0,0.0,4.0,0.0,0.0,2.0,1.0,right_only
2714,,,,,,,,,,,,,7 Woody,Cumberland,7 Woody,897.0,135.0,0.0,24.0,0.0,1.0,3.0,2.0,right_only
2715,,,,,,,,,,,,,7 Mayland,Cumberland,7 Mayland,820.0,160.0,1.0,16.0,1.0,2.0,6.0,0.0,right_only
2716,,,,,,,,,,,,,8 Pleasant Hill,Cumberland,8 Pleasant Hill,621.0,269.0,1.0,15.0,2.0,1.0,3.0,2.0,right_only
2717,,,,,,,,,,,,,8 Pomona,Cumberland,8 Pomona,1086.0,209.0,1.0,13.0,0.0,2.0,6.0,4.0,right_only
2718,,,,,,,,,,,,,8 Midway,Cumberland,8 Midway,219.0,32.0,1.0,4.0,0.0,1.0,2.0,0.0,right_only
2719,,,,,,,,,,,,,9 Fairfield North,Cumberland,9 Fairfield North,1978.0,655.0,4.0,34.0,3.0,3.0,2.0,1.0,right_only
2720,,,,,,,,,,,,,9 Fairfield South,Cumberland,9 Fairfield South,2195.0,918.0,6.0,54.0,6.0,8.0,9.0,1.0,right_only
2721,,,,,,,,,,,,,01-1,Davidson,01-1,1436.0,581.0,5.0,55.0,5.0,5.0,15.0,10.0,right_only
2722,,,,,,,,,,,,,01-1,Hamblen,01-1,536.0,288.0,3.0,22.0,2.0,1.0,5.0,3.0,right_only
2723,,,,,,,,,,,,,01-2,Davidson,01-2,302.0,157.0,2.0,12.0,0.0,1.0,3.0,0.0,right_only
2724,,,,,,,,,,,,,01-3,Davidson,01-3,289.0,3194.0,8.0,32.0,2.0,4.0,28.0,1.0,right_only
2725,,,,,,,,,,,,,01-4,Davidson,01-4,209.0,86.0,0.0,12.0,0.0,1.0,3.0,3.0,right_only
2726,,,,,,,,,,,,,01-5,Davidson,01-5,33.0,1162.0,4.0,11.0,2.0,0.0,6.0,2.0,right_only
2727,,,,,,,,,,,,,02-1,Davidson,02-1,36.0,1886.0,5.0,9.0,5.0,1.0,6.0,1.0,right_only
2728,,,,,,,,,,,,,02-1,Hamblen,02-1,607.0,287.0,2.0,18.0,2.0,3.0,2.0,4.0,right_only
2729,,,,,,,,,,,,,02-2,Davidson,02-2,91.0,1663.0,4.0,15.0,3.0,1.0,8.0,1.0,right_only
2730,,,,,,,,,,,,,02-3,Davidson,02-3,44.0,355.0,0.0,2.0,0.0,0.0,3.0,0.0,right_only
2731,,,,,,,,,,,,,02-4,Davidson,02-4,52.0,1009.0,0.0,9.0,1.0,1.0,9.0,0.0,right_only
2732,,,,,,,,,,,,,02-5,Davidson,02-5,87.0,755.0,3.0,8.0,6.0,0.0,7.0,1.0,right_only
2733,,,,,,,,,,,,,03-1,Davidson,03-1,627.0,225.0,1.0,19.0,0.0,0.0,4.0,4.0,right_only
2734,,,,,,,,,,,,,03-1,Hamblen,03-1,783.0,307.0,4.0,29.0,2.0,2.0,8.0,4.0,right_only
2735,,,,,,,,,,,,,03-2,Davidson,03-2,106.0,77.0,0.0,3.0,0.0,0.0,0.0,1.0,right_only
2736,,,,,,,,,,,,,03-3,Davidson,03-3,126.0,392.0,0.0,21.0,2.0,1.0,7.0,2.0,right_only
2737,,,,,,,,,,,,,03-4,Davidson,03-4,569.0,1986.0,0.0,53.0,4.0,15.0,17.0,4.0,right_only
2738,,,,,,,,,,,,,03-5,Davidson,03-5,103.0,2109.0,4.0,20.0,4.0,4.0,15.0,2.0,right_only
2739,,,,,,,,,,,,,03-6,Davidson,03-6,218.0,741.0,2.0,17.0,0.0,4.0,9.0,2.0,right_only
2740,,,,,,,,,,,,,04-1,Davidson,04-1,1966.0,1530.0,3.0,170.0,3.0,5.0,32.0,23.0,right_only
2741,,,,,,,,,,,,,04-1,Hamblen,04-1,491.0,242.0,1.0,17.0,1.0,4.0,4.0,6.0,right_only
2742,,,,,,,,,,,,,04-2,Davidson,04-2,439.0,701.0,4.0,72.0,1.0,3.0,12.0,10.0,right_only
2743,,,,,,,,,,,,,04-3,Davidson,04-3,700.0,482.0,1.0,37.0,1.0,3.0,9.0,6.0,right_only
2744,,,,,,,,,,,,,04-4,Davidson,04-4,1671.0,1524.0,8.0,138.0,1.0,8.0,23.0,8.0,right_only
2745,,,,,,,,,,,,,05-1,Davidson,05-1,122.0,571.0,3.0,14.0,0.0,2.0,10.0,0.0,right_only
2746,,,,,,,,,,,,,05-1,Hamblen,05-1,1223.0,333.0,2.0,34.0,4.0,5.0,7.0,19.0,right_only
2747,,,,,,,,,,,,,05-2,Davidson,05-2,190.0,1516.0,4.0,71.0,2.0,3.0,35.0,5.0,right_only
2748,,,,,,,,,,,,,05-3,Davidson,05-3,110.0,497.0,4.0,26.0,0.0,1.0,19.0,4.0,right_only
2749,,,,,,,,,,,,,05-4,Davidson,05-4,39.0,623.0,1.0,10.0,1.0,2.0,9.0,4.0,right_only
2750,,,,,,,,,,,,,05-5,Davidson,05-5,126.0,1305.0,1.0,64.0,2.0,3.0,24.0,5.0,right_only
2751,,,,,,,,,,,,,06-1,Davidson,06-1,161.0,1108.0,3.0,77.0,3.0,2.0,23.0,2.0,right_only
2752,,,,,,,,,,,,,06-1,Hamblen,06-1,912.0,301.0,2.0,24.0,1.0,4.0,6.0,1.0,right_only
2753,,,,,,,,,,,,,06-2,Davidson,06-2,323.0,1599.0,2.0,103.0,0.0,3.0,32.0,11.0,right_only
2754,,,,,,,,,,,,,06-3,Davidson,06-3,116.0,834.0,6.0,30.0,4.0,1.0,11.0,3.0,right_only
2755,,,,,,,,,,,,,06-4,Davidson,06-4,348.0,1351.0,4.0,97.0,3.0,7.0,40.0,7.0,right_only
2756,,,,,,,,,,,,,06-5,Davidson,06-5,185.0,1216.0,3.0,49.0,3.0,2.0,32.0,9.0,right_only
2757,,,,,,,,,,,,,07-1,Davidson,07-1,283.0,1002.0,2.0,57.0,1.0,1.0,20.0,2.0,right_only
2758,,,,,,,,,,,,,07-1,Hamblen,07-1,1398.0,315.0,2.0,33.0,1.0,5.0,8.0,2.0,right_only
2759,,,,,,,,,,,,,07-2,Davidson,07-2,313.0,878.0,3.0,35.0,2.0,1.0,23.0,9.0,right_only
2760,,,,,,,,,,,,,07-3,Davidson,07-3,137.0,1217.0,1.0,65.0,2.0,4.0,13.0,2.0,right_only
2761,,,,,,,,,,,,,07-4,Davidson,07-4,325.0,1123.0,1.0,76.0,0.0,1.0,29.0,14.0,right_only
2762,,,,,,,,,,,,,07-5,Davidson,07-5,386.0,829.0,0.0,61.0,0.0,7.0,12.0,6.0,right_only
2763,,,,,,,,,,,,,07-6,Davidson,07-6,330.0,687.0,4.0,35.0,4.0,3.0,13.0,0.0,right_only
2764,,,,,,,,,,,,,08-1,Davidson,08-1,124.0,809.0,0.0,19.0,3.0,0.0,16.0,5.0,right_only
2765,,,,,,,,,,,,,08-1,Hamblen,08-1,1478.0,286.0,3.0,39.0,0.0,10.0,8.0,1.0,right_only
2766,,,,,,,,,,,,,08-2,Davidson,08-2,216.0,765.0,0.0,30.0,2.0,0.0,13.0,3.0,right_only
2767,,,,,,,,,,,,,08-3,Davidson,08-3,743.0,1484.0,6.0,74.0,1.0,5.0,31.0,9.0,right_only
2768,,,,,,,,,,,,,08-4,Davidson,08-4,641.0,1008.0,5.0,39.0,5.0,4.0,16.0,7.0,right_only
2769,,,,,,,,,,,,,09-1,Davidson,09-1,429.0,1117.0,1.0,49.0,0.0,4.0,13.0,2.0,right_only
2770,,,,,,,,,,,,,09-1,Hamblen,09-1,672.0,117.0,0.0,10.0,1.0,2.0,3.0,0.0,right_only
2771,,,,,,,,,,,,,09-2,Davidson,09-2,296.0,628.0,1.0,22.0,1.0,2.0,14.0,0.0,right_only
2772,,,,,,,,,,,,,09-2,Hamblen,09-2,804.0,131.0,0.0,16.0,2.0,4.0,2.0,4.0,right_only
2773,,,,,,,,,,,,,09-3,Davidson,09-3,779.0,1617.0,4.0,43.0,3.0,3.0,19.0,4.0,right_only
2774,,,,,,,,,,,,,Absentee,Davidson,Absentee,2194.0,3913.0,10.0,212.0,7.0,37.0,58.0,22.0,right_only
2775,,,,,,,,,,,,,Absentee,Wilson,Absentee,661.0,397.0,4.0,47.0,3.0,9.0,7.0,14.0,right_only
2776,,,,,,,,,,,,,Provisional - Write-Ins,Davidson,Provisional - Write-Ins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,right_only
2777,,,,,,,,,,,,,1-1 Dunbar,Decatur,1-1 Dunbar,456.0,133.0,0.0,11.0,1.0,2.0,3.0,3.0,right_only
2778,,,,,,,,,,,,,2-2 Scotts Hill,Decatur,2-2 Scotts Hill,249.0,49.0,1.0,3.0,1.0,1.0,1.0,0.0,right_only
2779,,,,,,,,,,,,,3-1 Beacon,Decatur,3-1 Beacon,88.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,right_only
2780,,,,,,,,,,,,,3-2 Decaturville,Decatur,3-2 Decaturville,307.0,98.0,1.0,6.0,0.0,2.0,2.0,0.0,right_only
2781,,,,,,,,,,,,,4-1 Decaturville,Decatur,4-1 Decaturville,443.0,154.0,0.0,10.0,1.0,0.0,1.0,1.0,right_only
2782,,,,,,,,,,,,,5-1 Parsons,Decatur,5-1 Parsons,311.0,106.0,1.0,7.0,0.0,0.0,2.0,2.0,right_only
2783,,,,,,,,,,,,,6-1 Parsons,Decatur,6-1 Parsons,329.0,70.0,1.0,6.0,0.0,0.0,4.0,1.0,right_only
2784,,,,,,,,,,,,,7-2 Perryville,Decatur,7-2 Perryville,162.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only
2785,,,,,,,,,,,,,8-1 Parsons,Decatur,8-1 Parsons,441.0,89.0,0.0,4.0,0.0,0.0,2.0,0.0,right_only
2786,,,,,,,,,,,,,9-1 Beacon,Decatur,9-1 Beacon,131.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,right_only
2787,,,,,,,,,,,,,1-3 Edgar Evins Park,DeKalb,1-3 Edgar Evins Park,52.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,right_only
2788,,,,,,,,,,,,,3-1 Church of God,DeKalb,3-1 Church of God,713.0,230.0,2.0,14.0,1.0,4.0,6.0,0.0,right_only
2789,,,,,,,,,,,,,7-1 Church of Christ,DeKalb,7-1 Church of Christ,515.0,203.0,1.0,11.0,2.0,2.0,7.0,0.0,right_only
2790,,,,,,,,,,,,,A1- Bonicord,Dyer,A1- Bonicord,672.0,128.0,1.0,11.0,2.0,1.0,3.0,2.0,right_only
2791,,,,,,,,,,,,,A2- Fowlkes,Dyer,A2- Fowlkes,532.0,99.0,0.0,7.0,1.0,1.0,2.0,0.0,right_only
2792,,,,,,,,,,,,,B- Newbern,Dyer,B- Newbern,1075.0,268.0,5.0,26.0,2.0,3.0,6.0,2.0,right_only
2793,,,,,,,,,,,,,C1- Tatumville,Dyer,C1- Tatumville,375.0,47.0,0.0,6.0,0.0,0.0,1.0,1.0,right_only
2794,,,,,,,,,,,,,C2- Trimble,Dyer,C2- Trimble,583.0,88.0,3.0,11.0,0.0,1.0,4.0,0.0,right_only
2795,,,,,,,,,,,,,C3- Roellen,Dyer,C3- Roellen,260.0,47.0,0.0,3.0,0.0,0.0,0.0,0.0,right_only
2796,,,,,,,,,,,,,D1- Millsfield,Dyer,D1- Millsfield,891.0,105.0,0.0,11.0,0.0,0.0,1.0,0.0,right_only
2797,,,,,,,,,,,,,D2- Bogota,Dyer,D2- Bogota,650.0,106.0,1.0,8.0,0.0,1.0,3.0,1.0,right_only
2798,,,,,,,,,,,,,E1- Finley,Dyer,E1- Finley,552.0,108.0,0.0,8.0,0.0,0.0,3.0,0.0,right_only
2799,,,,,,,,,,,,,E2- Lenox,Dyer,E2- Lenox,687.0,59.0,0.0,9.0,0.0,3.0,1.0,0.0,right_only
2800,,,,,,,,,,,,,F- Dyer Co Central,Dyer,F- Dyer Co Central,127.0,555.0,2.0,5.0,1.0,1.0,6.0,0.0,right_only
2801,,,,,,,,,,,,,G- Courthouse,Dyer,G- Courthouse,683.0,305.0,2.0,15.0,2.0,2.0,5.0,4.0,right_only
2802,,,,,,,,,,,,,H- E. Dyersburg,Dyer,H- E. Dyersburg,772.0,284.0,2.0,15.0,3.0,7.0,5.0,1.0,right_only
2803,,,,,,,,,,,,,I1- Community Center,Dyer,I1- Community Center,461.0,185.0,0.0,14.0,0.0,1.0,1.0,0.0,right_only
2804,,,,,,,,,,,,,I2- Hurricane Hill,Dyer,I2- Hurricane Hill,520.0,77.0,1.0,8.0,0.0,1.0,0.0,1.0,right_only
2805,,,,,,,,,,,,,J- North Dyersburg,Dyer,J- North Dyersburg,1340.0,355.0,2.0,36.0,2.0,5.0,7.0,1.0,right_only
2806,,,,,,,,,,,,,Early voting,Dyer,Early voting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,right_only
2807,,,,,,,,,,,,,Somerville City,Fayette,Somerville City,898.0,757.0,1.0,16.0,3.0,3.0,4.0,3.0,right_only
2808,,,,,,,,,,,,,Fayette Corner,Fayette,Fayette Corner,528.0,248.0,0.0,8.0,0.0,1.0,2.0,0.0,right_only
2809,,,,,,,,,,,,,Garnett,Fayette,Garnett,420.0,197.0,1.0,7.0,0.0,1.0,3.0,1.0,right_only
2810,,,,,,,,,,,,,Braden,Fayette,Braden,381.0,477.0,2.0,7.0,3.0,1.0,1.0,1.0,right_only
2811,,,,,,,,,,,,,Gallaway,Fayette,Gallaway,674.0,316.0,2.0,11.0,2.0,2.0,4.0,1.0,right_only
2812,,,,,,,,,,,,,Oakland,Fayette,Oakland,2624.0,861.0,4.0,60.0,3.0,11.0,11.0,5.0,right_only
2813,,,,,,,,,,,,,Hickory Withe,Fayette,Hickory Withe,1898.0,481.0,3.0,53.0,1.0,3.0,11.0,7.0,right_only
2814,,,,,,,,,,,,,Elba,Fayette,Elba,924.0,324.0,0.0,18.0,1.0,3.0,3.0,3.0,right_only
2815,,,,,,,,,,,,,Piperton,Fayette,Piperton,844.0,244.0,1.0,11.0,1.0,6.0,5.0,1.0,right_only
2816,,,,,,,,,,,,,Rossville,Fayette,Rossville,835.0,486.0,0.0,19.0,1.0,0.0,6.0,2.0,right_only
2817,,,,,,,,,,,,,Macon,Fayette,Macon,1491.0,445.0,4.0,29.0,0.0,4.0,4.0,4.0,right_only
2818,,,,,,,,,,,,,Williston,Fayette,Williston,340.0,136.0,0.0,8.0,0.0,0.0,0.0,7.0,right_only
2819,,,,,,,,,,,,,Moscow,Fayette,Moscow,378.0,502.0,0.0,7.0,1.0,2.0,4.0,0.0,right_only
2820,,,,,,,,,,,,,Parks,Fayette,Parks,599.0,242.0,1.0,4.0,0.0,0.0,2.0,0.0,right_only
2821,,,,,,,,,,,,,LaGrange,Fayette,LaGrange,221.0,158.0,0.0,3.0,0.0,0.0,2.0,0.0,right_only
2822,,,,,,,,,,,,,Banner Springs,Fentress,Banner Springs,550.0,91.0,0.0,12.0,3.0,3.0,9.0,2.0,right_only
2823,,,,,,,,,,,,,Crossroads,Fentress,Crossroads,679.0,114.0,0.0,8.0,2.0,2.0,3.0,0.0,right_only
2824,,,,,,,,,,,,,1-1 Annex,Franklin,1-1 Annex,1350.0,646.0,5.0,46.0,1.0,4.0,9.0,3.0,right_only
2825,,,,,,,,,,,,,7-2 CG/Winchester Springs,Franklin,7-2 CG/Winchester Springs,1016.0,217.0,0.0,17.0,0.0,4.0,4.0,2.0,right_only
2826,,,,,,,,,,,,,1-1 Medina,Gibson,1-1 Medina,2174.0,310.0,2.0,37.0,0.0,4.0,8.0,14.0,right_only
2827,,,,,,,,,,,,,1-2 Sitka,Gibson,1-2 Sitka,541.0,89.0,2.0,11.0,1.0,2.0,2.0,4.0,right_only
2828,,,,,,,,,,,,,2 Humboldt Church,Gibson,2 Humboldt Church,596.0,177.0,0.0,22.0,3.0,0.0,0.0,1.0,right_only
2829,,,,,,,,,,,,,3 Bailey Park,Gibson,3 Bailey Park,664.0,194.0,0.0,14.0,0.0,1.0,1.0,10.0,right_only
2830,,,,,,,,,,,,,4 St James Baptist,Gibson,4 St James Baptist,89.0,546.0,0.0,4.0,0.0,1.0,0.0,1.0,right_only
2831,,,,,,,,,,,,,5 Lane Chapel Church,Gibson,5 Lane Chapel Church,114.0,486.0,0.0,4.0,1.0,2.0,3.0,1.0,right_only
2832,,,,,,,,,,,,,6 Humboldt HS,Gibson,6 Humboldt HS,124.0,128.0,1.0,2.0,0.0,0.0,1.0,1.0,right_only
2833,,,,,,,,,,,,,6-4 Gibson,Gibson,6-4 Gibson,361.0,76.0,0.0,12.0,1.0,2.0,0.0,1.0,right_only
2834,,,,,,,,,,,,,7-2 Fruitland,Gibson,7-2 Fruitland,561.0,193.0,2.0,3.0,1.0,0.0,2.0,1.0,right_only
2835,,,,,,,,,,,,,8-1 Edison,Gibson,8-1 Edison,219.0,109.0,0.0,8.0,1.0,1.0,2.0,0.0,right_only
2836,,,,,,,,,,,,,8-2 Brazil,Gibson,8-2 Brazil,358.0,68.0,0.0,8.0,0.0,0.0,1.0,0.0,right_only
2837,,,,,,,,,,,,,10 Agri-Plex,Gibson,10 Agri-Plex,654.0,565.0,0.0,21.0,1.0,1.0,3.0,3.0,right_only
2838,,,,,,,,,,,,,11-2 Moore's Chapel,Gibson,11-2 Moore's Chapel,534.0,98.0,2.0,13.0,1.0,1.0,5.0,0.0,right_only
2839,,,,,,,,,,,,,11-4 Union Central,Gibson,11-4 Union Central,442.0,58.0,1.0,7.0,0.0,2.0,2.0,4.0,right_only
2840,,,,,,,,,,,,,11-5 Skullbone,Gibson,11-5 Skullbone,427.0,48.0,0.0,6.0,0.0,2.0,2.0,0.0,right_only
2841,,,,,,,,,,,,,12 Milan CPC,Gibson,12 Milan CPC,778.0,140.0,0.0,22.0,1.0,2.0,2.0,5.0,right_only
2842,,,,,,,,,,,,,13 Milan Polk Clark,Gibson,13 Milan Polk Clark,168.0,407.0,1.0,6.0,0.0,0.0,1.0,1.0,right_only
2843,,,,,,,,,,,,,14 Milan 1stAssembly,Gibson,14 Milan 1stAssembly,413.0,216.0,3.0,11.0,1.0,2.0,2.0,0.0,right_only
2844,,,,,,,,,,,,,15 Milan Municipal,Gibson,15 Milan Municipal,644.0,205.0,1.0,19.0,1.0,1.0,8.0,3.0,right_only
2845,,,,,,,,,,,,,16 Rutherford,Gibson,16 Rutherford,528.0,155.0,2.0,6.0,2.0,1.0,6.0,0.0,right_only
2846,,,,,,,,,,,,,16-1 Yorkville,Gibson,16-1 Yorkville,396.0,78.0,0.0,1.0,0.0,0.0,0.0,1.0,right_only
2847,,,,,,,,,,,,,16-2 Kenton,Gibson,16-2 Kenton,354.0,104.0,2.0,4.0,0.0,2.0,1.0,0.0,right_only
2848,,,,,,,,,,,,,17-1 Bradford,Gibson,17-1 Bradford,539.0,153.0,2.0,12.0,1.0,0.0,3.0,1.0,right_only
2849,,,,,,,,,,,,,18-1 Laneview,Gibson,18-1 Laneview,242.0,54.0,0.0,5.0,0.0,2.0,5.0,0.0,right_only
2850,,,,,,,,,,,,,18-2 Good Luck,Gibson,18-2 Good Luck,298.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only
2851,,,,,,,,,,,,,19-1 Dyer,Gibson,19-1 Dyer,763.0,332.0,4.0,23.0,2.0,7.0,4.0,0.0,right_only
2852,,,,,,,,,,,,,19-2 Currie,Gibson,19-2 Currie,297.0,62.0,1.0,13.0,0.0,0.0,0.0,0.0,right_only
2853,,,,,,,,,,,,,3A Richland Trace,Giles,3A Richland Trace,602.0,138.0,1.0,10.0,1.0,0.0,4.0,2.0,right_only
2854,,,,,,,,,,,,,4B Odd Fellows Hall,Giles,4B Odd Fellows Hall,681.0,137.0,0.0,9.0,0.0,3.0,2.0,1.0,right_only
2855,,,,,,,,,,,,,5B Agri Park,Giles,5B Agri Park,566.0,146.0,0.0,9.0,1.0,0.0,3.0,0.0,right_only
2856,,,,,,,,,,,,,6A Martin,Giles,6A Martin,333.0,291.0,2.0,13.0,1.0,1.0,4.0,0.0,right_only
2857,,,,,,,,,,,,,6B Bridgeforth,Giles,6B Bridgeforth,164.0,414.0,3.0,4.0,1.0,0.0,3.0,0.0,right_only
2858,,,,,,,,,,,,,7A GCHS,Giles,7A GCHS,270.0,208.0,1.0,16.0,1.0,0.0,3.0,0.0,right_only
2859,,,,,,,,,,,,,7B Rec Center,Giles,7B Rec Center,519.0,345.0,3.0,10.0,1.0,2.0,1.0,0.0,right_only
2860,,,,,,,,,,,,,1 Baileyton,Greene,1 Baileyton,803.0,170.0,0.0,17.0,2.0,2.0,3.0,1.0,right_only
2861,,,,,,,,,,,,,4 Camp Creek,Greene,4 Camp Creek,1984.0,377.0,2.0,30.0,4.0,5.0,17.0,8.0,right_only
2862,,,,,,,,,,,,,2 Chuckey Doak,Greene,2 Chuckey Doak,1388.0,282.0,0.0,32.0,2.0,5.0,9.0,4.0,right_only
2863,,,,,,,,,,,,,4 Courthouse,Greene,4 Courthouse,723.0,237.0,3.0,28.0,0.0,1.0,11.0,1.0,right_only
2864,,,,,,,,,,,,,2 Chuckey,Greene,2 Chuckey,1538.0,306.0,0.0,35.0,1.0,8.0,6.0,3.0,right_only
2865,,,,,,,,,,,,,5 Debusk,Greene,5 Debusk,1300.0,231.0,1.0,39.0,1.0,6.0,6.0,4.0,right_only
2866,,,,,,,,,,,,,3 Doak,Greene,3 Doak,1256.0,299.0,3.0,40.0,1.0,3.0,15.0,8.0,right_only
2867,,,,,,,,,,,,,7 Glenwood,Greene,7 Glenwood,1435.0,283.0,3.0,49.0,1.0,2.0,9.0,2.0,right_only
2868,,,,,,,,,,,,,6 McDonald,Greene,6 McDonald,798.0,124.0,2.0,11.0,1.0,4.0,2.0,1.0,right_only
2869,,,,,,,,,,,,,6 Mosheim,Greene,6 Mosheim,1632.0,305.0,3.0,29.0,1.0,8.0,15.0,2.0,right_only
2870,,,,,,,,,,,,,5 Middle School,Greene,5 Middle School,551.0,180.0,3.0,18.0,2.0,0.0,6.0,0.0,right_only
2871,,,,,,,,,,,,,5 Nolachuckey,Greene,5 Nolachuckey,561.0,98.0,0.0,11.0,0.0,0.0,0.0,4.0,right_only
2872,,,,,,,,,,,,,1 Ottway,Greene,1 Ottway,919.0,167.0,0.0,21.0,2.0,1.0,8.0,0.0,right_only
2873,,,,,,,,,,,,,5 South Greene,Greene,5 South Greene,676.0,118.0,0.0,12.0,0.0,2.0,6.0,0.0,right_only
2874,,,,,,,,,,,,,3 Tusculum View,Greene,3 Tusculum View,1373.0,439.0,3.0,44.0,9.0,4.0,18.0,11.0,right_only
2875,,,,,,,,,,,,,1 West Pines,Greene,1 West Pines,819.0,149.0,2.0,23.0,1.0,2.0,5.0,2.0,right_only
