vest_ID,election_ID
3B Turtletown7161,3B Turtletown
Altamont3153,Altamont
21-29828,21-2
5-1 Leoma School Gym5155,05-1 Leoma
17 Senior Citizens0808,Senior Citizens
8-1 Decherd2667,8-1 Decherd
20-19826,20-1
1 Dentons Cross Roads1303,1 Dentons Cross Road
06 Wyatt-Duke National Guard Armory3915,1-Jun
02-2 Warren County Airport9203,2-2 Airport
Midway0921,Midway
Missionary Ridge3336,031 Missionary Ridge
9-1 Pocahontas Community Center1522,9-1 Pocahontas
5A6459,5A Smith
Rural Vale Fire Dept6360,10
Edgemont1412,Edgemont
5-1 Big Spring Union1203,5-1 Big Spring Union
2 Cagle7855,2 Cagle
1-1 Indian Mound8404,1-1 Indian Mound
West End1415,West End
7 Ovilla Fire Hall9407,7-2 Ovilla
Ozone-Pineview1717,6 Ozone-Pineview
8-2 H.A.T.S7561,08-2 HATS
601 East Side School0108,6-1 East Side
4 Rose Creek6152,Rose Creek 4-2
36 West View9306,36 West View
4-13251,1-Apr
3-4 MLEC4403,3-4 MLEC
22-41906,22-4
Harrison 43404,140 Harrison 4
21-19827,21-1
Brainerd Hills3316,007 Brainerd Hills
3-2 KENTON6757,3-2 Kenton
Paw Paw7453,Paw Paw
Vonore Community Center6358,8
7-2 Stroudsville Church of Christ7558,07-2 Stroudsville
Robertsville0023,Robertsville
Ridgewood0613,4-4 Ridgewood
3-1 Bumpus Mills8403,3-1 Bumpus Mills
11-41853,4-Nov
Lusk0308,6-2 Lusk
31-21941,31-2
8-2 Vanbebber Springs1208,8-2 Vanbebber Sprngs
4-2 City Hall4104,4-2 City Hall
Forest Hill1414,Forest Hill
19 Leesburg9311,19 Leesburg
Marlow0017,Marlow
4 Collinwood City9411,4-1 Collinwood
13-1 Blanton's Chapel Community Center1512,13-1 Blanton's Chapel
3 Moore County Building6553,3 Moore County Bldg
Demory0615,1-2 Demory
5 Ramer6155,Ramer 5-4
20 CourtHouse2762,9 Courthouse
6-1 Burns Church of Christ2252,1-Jun
5 Morris Chapel3717,Morris Chapel 5-2
Westside Elementary School5555,Westside
27 Keystone9322,27 Keystone
9 Courthouse3703,Library 9-1
Woodbury0705,5-1 Woodbury
6 Shady4706,6 Shady
2 McPheeter's Bend3803,2 McPheeter's Bend
7 Church of Christ Annex2156,7-1 Church of Christ
7-19808,1-Jul
Voting Machine Whse. 27964,7-3 Walnut Grove
28-11929,28-1
4 Rogersville North Outside3820,4 Rogersville No Out
9 Fredonia7856,9 Fredonia
Pellissippi Campus0436,Pellissippi Campus
Lenoir City Outside5461,Lenoir City Outside
7B Recreation Center2864,7B Rec Center
I - Hurricane Hill2365,I2- Hurricane Hill
8-1 Krisle School7562,08-1 Krisle
10-11844,1-Oct
Recreation Center5357,3-1 Recreation Center
Big Lick1702,3 Big Lick
10B Sycamore7258,10B Sycamore
Cross Roads Community Center5556,Cross Roads
324872,32 Spring Hill
Smoky Mountain1405,Smoky Mountain
5-1 Greenbrier Church of Christ1005,5-1 Greenbrier
4 North Selmer6167,North Selmer 4-1
3 North East Selmer6153,Northeast 3-2
06-1 Caney Fork Electric Auditorium9209,6-1 Caney Fork
2 Moore County High School6551,2 High School
40 Rutherford2773,16 Rutherford
1B Prospect2851,1B Prospect
2 Fayette Corner2461,Fayette Corner
6-3 UTSI2664,6-3 UTSI
Kimball5755,Kimball
24-21913,24-2
Tinchtown2561,Tinchtown
14-1 Crawfish Valley5164,14-1 Crawfish Valley
A - Fowlkes2352,A2- Fowlkes
23 Woodland9313,23 Woodland
Murray Hills 13301,171 Murray Hills 1
"2-1 Ag Fair Complex, City9611",2-1 Ag Fair Complex
11-31852,3-Nov
24 Moore's Chapel2764,11-2 Moore's Chapel
2-2 Mansfield4102,2-2 Mansfield
Harold McCormick0912,Harold McCormick
2 Nixon3708,Nixon 2-1
1-13252,1-Jan
4 Meigs North6255,4 Meigs North
Davis5455,Davis
11-13267,1-Nov
32 Bradford2774,17-1 Bradford
7-1 Cumberland City8407,7-1 Cumberland City
02 Sitka Community Center2752,1-2 Sitka
Bakers1701,4 Bakers
East LaFollette0608,2-2 East LaFollette
10-13261,1-Oct
Fairview0010,Fairview
Northport1407,Northport
4-1 Kittrell Elementary School7656,1-Apr
North Chattanooga 13310,035 North Chattanooga 1
25-41921,25-4
Community Center2557,Community Center
924822,92 Gap Creek
Banner2552,Banner Springs
1A Polk County High School7152,1A Polk Co High
4-2 North Boulevard Church of Christ7657,2-Apr
Middle School3066,5 Middle School
E - Finley2359,E1- Finley
394802,39 Inskip Rec Center
Moccasin Bend3415,032 Moccasin Bend
68-E4851,68E East Cedar Bluff
9-2 Waldens Ridge7362,9-2 Waldens Ridge
6-2 Capitol Hill2663,6-2 Capitol Hill
Pittman Center 17951,11-2 Pittman Center
Renfro7468,Renfro
11-2 Hwy 56 N Church of Christ9219,11-2 Hwy 56 North
1 Delano Lions Club7151,1 Delano
3-2 Montezuma1103,3-2 Montezuma
Boonshill Community Center5352,2-1 Boonshill
Red Boiling Springs High School5551,Red Boiling Springs
Memphis 89-18236,Memphis 89-1
Nolachuckey3053,5 Nolachuckey
Central5051,Central 6
13 Fruitland2759,7-2 Fruitland
8 Lone Oak7852,8 Lone Oak
2-1 Big Rock8401,2-1 Big Rock
Brainerd3390,006 Brainerd
5B Agri-Park2860,5B Agri Park
2-1 Eno Community Center2256,1-Feb
08 Elmwood8307,08 Elmwood
5-2 Winfield7755,5-2 Winfield
29-21933,29-2
4-4 Springdale1215,4-4 Springdale
Calvary Baptist Fellowship Hall5361,5-1 Calvary
1-2 Sylvia Baptist Church2262,2-Jan
3-2 Huntland2654,3-2 Huntland
4-1 Family Life Center8402,4-1 Church Street
3 Wilson6858,3-3 Wilson
Gruetli3163,Gruetli-Laager
10-1 Centertown United Methodist Church9216,10-1 Centertown UMC
Maryville College0432,Maryville College
3-1 Madison Co Board of Ed.5677,3-1 Board of Educ
Campbell County High School0610,3-1 CCHS
1A Laurel4704,1A Laurel
5-1 Dayton North7357,5-1 Dayton North
3-1 Wolf Creek7354,3-1 Wolf Creek
6-1 Dayton West7358,6-1 Dayton West
Lucy 18098,Lucy 01
1B Cold Springs4708,1B Cold Springs
C - Trimble2356,C2- Trimble
1-1 Alexandria2158,1-1 Alexandria
2-2 TN City Fire Hall2257,2-Feb
Northgate 13408,194 Northgate 1
1-1 Bargerton4001,1-1 Bargerton
5-2 County Complex2157,5-2 County Complex
3-41814,4-Mar
24-11912,24-1
5-1 Visitors Center8405,5-1 Visitors Center
Lantana1712,5 Lantana
26 North Side9321,26 North Side
06 Tennessee Vocational Center1506,6 TN Vocational Center
6 Clarksburg0812,Clarksburg
Allardt2553,Allardt
Walland0426,Walland
2 Lake County Courthouse4952,2 Courthouse
8-3 Mifflin Road Fire Station5665,8-3 Mifflin
06 Humboldt Ch of Chr2754,2 Humboldt Church
4-2 Washburn Ele. School2951,2-Apr
17-1 Sowell5167,17-1 Sowell
Memphis 89-28237,Memphis 89-2
136458,13 Byrns Darden
01B Latham Vol. Fire Dept.9503,1B Latham
14 Parks2460,Parks
3-4 Pin Oak Fire Station #44007,3-3 Fire Station #4
3A Richland Trace Market2855,3A Richland Trace
"1-1 Sparta Civic Center, City9608",1-1 Sparta Civic
12-31856,3-Dec
Cordova 48077,Cordova 04
Memphis 87-48064,Memphis 87-4
Flintville Fire Hall5367,7-2 Flintville
2-3 Oakland4113,2-3 Oakland
10-1 Howards5160,10-1 Howards
5-1 Bean Station Library2960,1-May
2-2 Luttrell Elementary School9002,2-1 Luttrell
2-13253,1-Feb
Memphis 028102,Memphis 02
4B6472,4B WR Event Center
Jellico0621,5-3 Jellico
6 Southgate Fire Hall9412,6-2 South Gate
3-2 Evensville North7355,3-2 Evensville North
Memphis 53-18149,Memphis 53-1
18 First Christian Church1518,18 First Christian
Memphis 87-38231,Memphis 87-3
1-2 Compassion Church4404,1-2 Compassion Church
Memphis 16-18107,Memphis 16-1
02-3 East Bank4204,2-3 East Bank
1 Lewis Chapel7851,1 Lewis Chapel
1 Eastview6253,1 Eastview
07 South Carthage8306,07 South Carthage
27-11926,27-1
01A Palmersville Fire Station9501,1A Palmersville
8-2 Browns United Methodist Church5667,8-2 Browns
Pleasant Hill1718,8 Pleasant Hill
3-1 Huntsville7753,3-1 Huntsville
38 South Central9303,38 South Central
6-1 County Library8406,6-1 Public Library
414803,41 Norwood
Linary1713,3 Linary
Brown Elementary School6353,3
9-5 Independence High School9741,5-Sep
04-1 TSU Nursery Res. Center9206,4-1 TSU
3-1 Broadview2653,3-1 Broadview
8-2 Eagleville Community Center7666,2-Aug
01-1 Civic Center9201,1-1 Civic Center
7-1 Plainview Community Center9007,7-1 Plainview
1 Fall Branch9312,01 Fall Branch
Ripley 35057,Ripley 3
02-1 Courthouse9202,2-1 Courthouse
Ooltewah 23398,089 Ooltewah 2
274827,27 South Knox
2-1 EDDIE COX SR. CENTER6756,2-1 Eddie Cox Sr Ctr
Northwoods 13399,037 Northwoods 1
7-2 TN Technology Center5657,7-2 TN Tech Ctr
37 Lamar9308,37 Lamar
3 Wallace3811,3 Wallace
Philadelphia5454,Philadelphia
01 Ada Right Center1501,1 Ada Wright CC
12-1 TN National Guard Armory7675,1-Dec
Oakdale High 2-16652,2-1 Oakdale High
Hampton0916,Hampton
Sequatchie5762,Sequatchie
5-3 North Parkway School5655,5-3 North Parkway
05A Cookeville Community Center7261,5A Cookeville CC
Everett0413,Everett
Central Elementary School5559,Central
31 Milan Muni Bldg2770,15 Milan Municipal
3-11811,1-Mar
FNB Community Room5360,4-2 FNB
502 5 Points Museum0510,5-2 Museum
20 Coffee County Senior Citizens1520,20 Sr Citizens Center
Vandever1723,5 Vandever
18-1 E.O. Coffman5168,18-1 E. O. Coffman
10 Fairground3704,Fairground 10-1
25 Millennium Centre9318,25 Millennium
Coker Creek School6362,12
5 Hilham6851,5-1 Hilham
D-Bogota2357,D2- Bogota
DuPont 27960,10-3 DuPont
794820,79 Dora Kennedy
1-1 Collier House2263,1-Jan
Red Bank 13397,076 Red Bank 1
10 Mt. Ararat Baptist Church1509,10 Mt. Ararat
5-6 Wildwood4405,5-6 Wildwood
7-29809,2-Jul
4 Surgoinsville Inside3826,4 Surgoinsville In
5 Ten Mile6256,5 Ten Mile
22 Agri Plex2763,10 Agri-Plex
3 Lake County Middle School4953,3 Lake Co Middle
03-1 East Community Center4202,3-1 East CC
2B6478,2B St B CC
6-3 Malesus Community Center5660,6-3 Malesus
Mowbray3307,074 Mowbray
2-2 Friendship1101,2-2 Friendship
8-41840,4-Aug
505 Normandy Baptist Church0107,5-5 Normandy
Sunbright 5-16656,5-1 Sunbright
04 First Baptist Church1504,4 First Baptist
8-5 Lesters Fire Station5663,8-5 Lesters
07 Humboldt Park2755,3 Bailey Park
5C8507,5C
Keenburg0907,Keenburg
3B Campbellsville2856,3B Campbellsville
Macon County Junior High School5554,County Junior High
Eastside0704,4-1 Eastside
4-7 Big Ridge Elementary Sch.9005,4-1 Big Ridge
07D Twin Oak7268,7D Twin Oak
11 Freedonia Community Center1510,11 Fredonia
21 Wilson Avenue Church of Christ1521,21 Wilson Ave
1-1 Rutledge Middle School2953,1-Jan
5 Fairgrounds6855,5-2 Fairgrounds
Clarkrange2556,Clarkrange
5 Rogersville South Inside3804,5 Rogersville So In
08-1 Fairview Community Center9211,8-1 Fairview
9-13259,1-Sep
A - Bonicord2351,A1- Bonicord
Memphis 95-78257,Memphis 95-7
5-10 Sharps Chapel Elementary9009,5-1 Sharp Chapel
4 Surgoinsville Outside3821,4 Surgoinsville Out
Cordova 58078,Cordova 05
South Clinton0025,South Clinton
5 Gallaway2463,Gallaway
South Greene3077,5 South Greene
Walden3370,086 Walden
Crossroad2558,Crossroads
Newport Grammar School1406,Newport Grammar
20B6477,20B Barksdale
4B Odds Fellows Hall2858,4B Odd Fellows Hall
3B Neva4703,3B Neva
G - Courthouse2362,G- Courthouse
6-7 South McEwen4406,6-7 South McEwen
09-1 Morrison Ruritan Club9214,9-1 Morrison
2-3 WFCN4401,2-3 WFCN
Lupton City3380,029 Lupton City
Lancing 4-16658,4-1 Lancing
E - Lenox2360,E2- Lenox
Germantown 128095,Germantown 12
2-1 Clouds1213,2-1 Clouds
National Guard Armory5557,Armory
2-3 Tigrett School5672,2-3 Montessori
Unaka0919,Unaka
404 Union Elementary8610,4-4 Union
Grimsley2562,Grimsley
5 Chapel Hill7853,5 Chapel Hill
11-1 Summertown5161,11-1 Summertown
5 Doe Valley4705,5 Doe
Liberty5358,3-2 Liberty
8-1 Senior Citizens2267,1-Aug
Lakesite3338,071 Lakesite
434857,43 West Haven
7 City4707,7 City
Collegedale 13346,052 Collegedale 1
Big Springs0415,Big Springs
2-1 Loretto Civic Center5151,02-1 Loretto Civ Ctr
Chestnut Hill1703,6 Chestnut Hill
5-2 LaVergne Middle School7660,2-May
Dyllis7457,Dyllis
4 Crump3710,Crump 4-2
Santa Fe5954,Santa Fe 6-1
6 Choptack3813,6 Choptack
5-1 East Chester School1105,5-1 East Chester
Memphis 018101,Memphis 01
Macon County High School5553,County High School
424856,42 Pleasant Ridge
Tabor1721,4 Tabor
2 Meigs South6251,2 Meigs South
Blanche5354,1-1 Blanche
Eastside0910,Eastside
294826,29 Anderson
3 Church of God2153,3-1 Church of God
3 Counce3714,Counce 3-1
04 Rock City8301,04 Rock City
Willette Community Center5552,Willette
1-2 Cottage Grove4106,1-2 Cottage Grove
12-2 Greater Things Baptist Church2253,2-Dec
4-3 Courthouse2155,4-3 Courthouse
4-31819,3-Apr
Rally Hill5965,Rally Hill 11-1
14-51867,14-5
05 Hillsboro Community Center1505,5 Hillsboro
Court House3065,4 Courthouse
13 Jones Chapel Family Life6063,Jones Chapel
3 Benton Co. Courthouse0203,3 Camden City Hall
8-2 Old Swannsylvania School4611,8-2 Swannsylvania
334884,33 Richard Yoakley
07 Forrest Mill Church of Christ Activity Center1507,7 Forest Mill
Loudon Mt Zion5459,Loudon Mt Zion
02 Tanglewood8308,02 Tanglewood
1-2 Old Central Point School2952,2-Jan
19-11890,19-1
12-1 White Bluff Community Center2254,1-Dec
Parrottsville1419,Parrottsville
Northgate 23413,193 Northgate 2
Memphis 96-18259,Memphis 96-1
West Hills0026,West Hills
17-1 North Boulevard Church of Christ7686,17-1
801 Thomas School0110,8-1 Thomas
Maranatha5359,4-1 Maranatha
Cave Creek7451,Cave Creek
27-21927,27-2
Pine Valley0022,Pine Valley
01 Defeated8303,01 Defeated
Lookout Mountain3369,213 Lookout Mountain
5-2 Senior Citizens Center2959,2-May
1A Ardmore2854,1A Ardmore
2D Shiloh Baptist Youth Center7157,2D Shiloh Baptist
1-3 Old Pinewood School9703,3-Jan
Dallas 23321,172 Dallas 2
1 Waynesboro City9404,1 Waynesboro
2-3 Milton Fire Station7652,3-Feb
12B Algood Outside7254,12B Algood Outside
33 Telford9307,33 Telford
5 Benton Co. Courthouse0205,5 Library
West Hills Elementary5856,6 Parkview
1 Allandale Inside3824,1 Allandale Inside
05  Martin Church of Christ9508,5A Martin CoC
21-1 Hobgood Elementary School7695,21-1
38 Dyer2777,19-1 Dyer
Glenwood0012,Glenwood
8-31839,3-Aug
3-2 Vanleer Town Hall2259,2-Mar
2C South Polk School7156,2C South Polk
8-3 Owens Chapel Fellowship Hall7563,08-3 Owens Chapel
354881,35 Shannondale
4-1 FAIR GROUNDS6762,4-1 Fair Grounds
South Pittsburg5764,South Pittsburg
Whitwell5766,Whitwell
264809,26 Dogwood
Harriman Ward 17465,Harriman Ward 1
34 New Victory Church9316,34 New Victory
96452,9 Outlaw
12-29817,2-Dec
"4-2 Bondecroft School, County9606",4-2 Bondecroft
2 Allons6852,2-1 Allons
H - E. Dyersburg2363,H- E. Dyersburg
4-5 Safe Room4402,4-5 NJMC
32 Cherokee Outside9301,32 Cherokee Out
South Harriman7464,South Harriman
3-1 Blaine City Hall2955,1-Mar
18-1 Patterson Park Community Center7689,18-1
28 Cumberland Presbyterian Church2767,12 Milan CPC
7-1 Lawrenceburg Public5157,07-1 Lawrenceburg
03 Trinity Baptist Church1503,3 Trinity
2-4 College Grove Community Center9708,4-Feb
5-4 HORNBEAK6754,5-4 Hornbeak
4 Camden Elementary School0202,4 Camden Elementary
3-13254,1-Mar
2 Camden High School0201,2 Camden Jr High
6-1 Oneida7756,6-1 Oneida
Ballplay Fire Dept6363,14
4-2 Cowan2657,4-2 Cowan
Macon County Welcome Center5558,Welcome Center
Clinton High0006,Clinton High
Memphis 68-18179,Memphis 68-1
874817,87 Thorngrove
102 Bell Buckle/Webb School0102,1-2 Bell Buckle
3-3 Jackson Center for Ind. Living5678,3-3 J-CIL
1-1 Fairview7754,1-1 Fairview
Woodland0703,3-2 Woodland
McDonald3054,6 McDonald
Sale Creek3319,080 Sale Creek
7 Cherokee3801,7 Strahl/Cherokee
9-31843,3-Sep
14 Bowmantown6309,14 Bowmantown
18 Fairmont9323,18 Fairmont
Baileyton3067,1 Baileyton
07-1 Friendship The Baptist Church9210,7-1 Friendship
7 St. Clair3816,7 St. Clair
9-23260,2-Sep
Riverside5967,Riverside 1-1
13-1 West End5163,13-1 West End
Jones Cove 17952,1-3 Jones Cove
High School3061,7 High School
6 Mooresburg3817,6 Mooresburg
21 Bethel0809,Bethel College
North Clinton0019,North Clinton
824816,82 Ellistown
3-2 Indian Ridge Comm. Blg.2954,2-Mar
Lewisburg Gas Dept.5858,8 Lewisburg Gas
6-6 Paulette Elementary School9006,6-1 Paulette
Fairview7469,Fairview
33-21949,33-2
10th Jefferson City Fire Dept4605,10 Jeff City Fire Dp
Eureka7467,Eureka
604 Black Fox School0503,6-4 Black Fox
West Pines3076,1 West Pines
6 Big Sandy School0206,6 Big Sandy
12-41857,4-Dec
Mayland1714,7 Mayland
4-1 Crossroads Fire Hall5152,04-1 Crossroads
12 North Coffee Elementary School1511,12 North Coffee
Harrison 53337,180 Harrison 5
14 Hickerson Fire Hall1514,14 Hickerson
Powells Crossroads5760,Powells Crossroad
25-29833,25-2
4A Lynnville2857,4A Lynnville
116456,11 Northwest
Collegedale 43344,204 Collegedale 4
11B Cookeville High School7251,11B Cookeville High
New Center 17955,3-1 New Center
1-1 Puryear4101,1-1 Puryear
6-2 Mt. Sharon C.P. Church7556,06-2 Mt. Sharon
Westview 33385,096 Westview 3
04-1 Lake Benson Camp4203,4-1 Lake Benson
05 Gordonsville8304,05 Gordonsville
15-21869,15-2
15-1 David Crockett5165,15-1 David Crockett
6-2 Porter Community Center2251,2-Jun
10 Rossville2455,Rossville
Jacksboro0609,4-3 Jacksboro
9 Huntingdon Police Station0807,Huntingdon
Summit 33388,203 Summit 3
2-4 WOODLAND6753,2-4 Woodland
701 Deery Eakin School0109,7-1 Deery Eakin
Hampshire5962,Hampshire 7-2
11-1 Tennsco Community Center2266,1-Nov
Forest Hills 18082,Forest Hills 01
West End5958,West End 1-2
9 Piperton2454,Piperton
1 Holladay School0204,1 Holladay
5A TCAT2859,5A TCAT
12-19816,1-Dec
Tracy3156,Tracy City
4-3 Sycamore Middle School1008,4-3 Sycamore
Notchey Creek Fire Dept6359,9
804813,80 Corryton
Homestead1711,3 Homestead
Hendrix Creek0013,Hendrix Creek
14 EK Baker School6059,E K Baker
2A Minor Hill2853,2A Minor Hill
03 New Middleton8302,03 New Middleton
Halls 85063,Halls 8
Friendsville0416,Friendsville
East Ridge 23306,054 East Ridge 2
27-31928,27-3
Glendale5457,Glendale
3-1 Ebenezer Baptist Church7560,03-1 Ebenezer
7-8 CCC4407,7-8 North McEwen
High School8901,High School
2-2 Aldersgate United Methodist Church5673,2-2 Aldersgate
Oak Hills7458,Oak Hills
01 N. E. Covington8708,1-1 NE Covington
10-2 Liberty Elementary School9733,2-Oct
Memphis 95-68256,Memphis 95-6
404806,40 Norwood
15 Mountain View School6061,Mountain View
10 Pavilion7257,10A Pavilion
22-11903,22-1
West Bolivar3604,West Bolivar
1-1 Spring City North7351,1-1 Spring City North
9-19811,1-Sep
10-41847,4-Oct
Culleoka5969,Culleoka 8-2
1B Chilhowee Middle Sch. Gym7153,1B Chilhowee
34-41956,34-4
LaFollette Elementary School0607,2-3 LaFollette ES
Love Chapel8902,Love Chapel
30 Grace Fellowship Church9317,30 Grace
10-31846,3-Oct
24-Q4833,24Q Sequoyah Hills
Miser Station0421,Miser Station
08 New Union Fire Hall1508,8 New Union
Centerview1403,Centerview
603 Waterville School0513,6-3 Waterville
08F Cornerstone Middle7269,8F Cornerstone
Broad Street School6352,2
D - Millsfield2358,D1- Millsfield
1-1 Union County High School9003,1-1 UCHS
6-1 South Side High School5682,6-1 South Side
Woody1724,7 Woody
764818,76 Sunnyview
15 Grace Baptist Church1515,15 Grace Baptist
Rockford0406,Rockford
1 Somerville2465,Somerville City
564890,56 Heiskell
06-1 Justice Center4209,6-1 Justice Center
26-21923,26-2
04A Burks Middle School7262,4A Burks
Court House0906,Courthouse
106454,10 Minglewood
Orchard View7459,Orchard View
Edwina1409,Edwina
4-1 Evensville South7356,4-1 Evensville South
9-4 Grace Chapel Church9731,4-Sep
33-31950,33-3
2-2 Grainger High School2958,2-Feb
6-13256,1-Jun
5-2 Vo-Tech4109,5-2 TN Tech Center
Stuart Heights3376,198 Stuart Heights
Norwood0020,Norwood
Ottway3080,1 Ottway
2 Adamsville6151,Adamsville 2-1
12 North City School6054,North City
Middleton3605,Middleton
"6-2 Cassville School, County9601",6-2 Cassville
29-41935,29-4
8-1 Old Chestnut Hill School4609,8-1 Chestnut Hill
8 Elba2453,Elba
05 Rogers Creek School6058,Rogers Creek
Caryville0602,4-1 Caryville
8 Boones Creek West9336,08 B.C. West
Belfast5853,3 Belfast
McKnight Center5859,9 McKnight Center
Memphis 67-38178,Memphis 67-3
11-2 Robert Ring Indoor Soccer Complex9736,2-Nov
12-11854,1-Dec
3-2 New Tazewell1206,3-2 New Tazewell
2-1 Spring City South7353,2-1 Spring City South
Fayetteville CPC5363,6-1 Fayetteville CPC
4-1 Helenwood7752,4-1 Helenwood
2-1 Henry4108,2-1 Henry
8-2 Estill Springs2668,8-2 Estill Springs
16-1 Central Magnet School7683,16-1
8-1 New Prospect5158,08-1 New Prospect
5-1 TN Technology Center4004,5-5 TN Tech Center
Collierville 78074,Collierville 07
Cosby1410,Cosby
3-4 RIVES6761,3-4 Rives
364880,36 Gresham
254831,25 South Knox CC
5 Rogersville South Outside3815,5 Rogersville So Out
William Blount High0417,William Blount HS
13 Stratton9325,13 Stratton
Oak Hill1716,4 Oak Hill
4-1 Civic Center4011,4-6 Civic Center
Wartburg 3-16654,3-1 Wartburg
Rockwood Ward 27472,Rockwood Ward 2
23-21908,23-2
1-5 The Church of Spring Hill9742,5-Jan
14-11863,14-1
Greenback5456,Greenback
Morning Sun 018262,Morning Sun 01
7 Michie6157,Michie 7-1
101 Wartrace Baptist Church0101,1-1 Wartrace
Rock Creek8906,Rock Creek
26-31924,26-3
166470,16 New Providence
Memphis 668176,Memphis 66
24-61917,24-6
Coalfield 1-16651,1-1 Coalfield
25-21919,25-2
16 Lions Club1516,16 Lion's Club
Tyner 13309,046 Tyner 1
Memphis 45-48139,Memphis 45-4
Chilhowee View0425,Chilhowee View
Recreation Center5855,5 Recreation Center
11 Indian Trail9324,11 Indian Trail
Central0902,Central
09 Dresden First United Methodist Church9504,9A Dresden
Underwood 17970,8-3 Underwood
Eads8081,Eads
1 Livingston6853,1 Livingston
Valley Forge0911,Valley Forge
Morning Sun 028263,Morning Sun 02
Theta5952,Theta 6-3
25-11918,25-1
16-3 Lane Agri-Park7685,16-3
301 Lee University0509,3-1 Lee University
15-31870,15-3
12-2 Smyrna Elementary School7676,2-Dec
23-31909,23-3
Westside0701,1-1 Westside
8 North3705,North 8-1
Beech Grove0410,Beech Grove
5-1 HC High School4105,5-1 Henry Co High
Memphis 95-58255,Memphis 95-5
"5-1 Doyle Civic Center Hall, County9603",5-1 Doyle Civic
7-1 North Lake2665,7-1 North Lake
902 Southside School0111,9-2 Southside
7C8509,7C
7-2 Winchester Springs & Center Grove2666,7-2 CG/Winchester Springs
Valley View0604,1-4 Valley View
9-3 Three Way City Meeting Room5670,9-3 Three Way
10-23262,2-Oct
12A Algood Inside7252,12A Algood Inside
126457,12 Ringgold
Townsend0401,Townsend
4-3 Festivities Events Place5675,4-3 Festivities
854814,85 Skaggston
Senior Citizens 27962,5-2 Senior Center
4-1 Jackson Chapel2260,1-Apr
Neapolis5971,Neapolis 5-2
Emory Valley0009,Emory Valley
Memphis 95-18252,Memphis 95-1
1103 Millersville Community Center8625,11-3 Millersville
9-1 Restoration Church2264,1-Sep
Signal Mountain 23402,200 Signal Mountain 2
Memphis 46-28141,Memphis 46-2
High School0905,High School
7-1 Pomona Baptist Church2255,1-Jul
Tiger Valley0918,Tiger Valley
Madisonville Primary School6356,6
5-1 White Bluff Civic Center2261,1-May
2-1 Westover4005,2-15 Westover
3-1 Russwood4112,3-1 Russwood
Memphis 81-78222,Memphis 81-7
23-41910,23-4
9B8524,9B
Jacksboro Station0611,3-2 Jacksboro Sta
DuPont3335,189 DuPont
8-4 Crescent Church of Christ7668,4-Aug
03 Greenfield First Baptist Church9507,3A Greenfield
08 Martin First United Methodist Church9505,8A Martin FUMC
Cornersville5852,4 Cornersville
403 Cottontown Fire Hall8627,4-3 Cottontown
164883,16 Larry Cox Sr Center
Loudon Outside5452,Loudon Outside
176466,17 Grace
5-1 Cedar Grove Elementary School7659,1-May
864815,86 Carter
B - Newbern2353,B- Newbern
65-N4845,65N Concord North
Henry Horton State Park5851,2 Henry Horton Park
Lawnville7452,Lawnville
Snowhill 13362,170 Snowhill 1
Pomona1719,8 Pomona
Louisville0423,Louisville
Spring Hill Middle5970,Spring Hill MS 6-2
05C Prescott South7267,5C Prescott South
Kingston Ward 27462,Kingston Ward 2
16-31875,16-3
Catlettsburg 27966,7-2 Catlettsburg
Oak Street0412,Oak Street
4-1 West Chester School1102,4-1 West Chester
11A Bangham7253,11A Bangham
7-1 West Oneida7757,7-1 West Oneida
Maryville Municipal0414,Maryville Municipal
501 First Baptist Gallatin8609,5-1 FB Gallatin
Bigbyville5968,Bigbyville 9-1
6-1 Harrogate1204,6-1 Harrogate
Waldens Creek 27959,2-2 Waldens Creek
1101 Beech High School Annex8624,11-1 Beech
24-19831,24-1
11B8523,11B
24 Henry Johnson9320,24 Henry Johnson
101 McDonald Ruritan0501,1-1 McDonald
5 Boones Creek East9332,05 B.C. East
35-41961,35-4
Memphis 67-18177,Memphis 67-1
Lanier0418,Lanier
7-1 Arthur1201,7-1 Arthur
Memphis 91-28242,Memphis 91-2
6 Courthouse SE6156,Courthouse SE 6-1
3-2 White House Heritage HS7553,03-2 Heritage
02 Gleason Community Building9502,2A Gleason
4-1 West Cheatham Elementary1002,4-1 West Cheatham
Lincoln Community Center5369,8-1 Lincoln
Germantown 088091,Germantown 08
Westside0904,Westside
25-31920,25-3
25-19832,25-1
Memphis 95-88258,Memphis 95-8
444855,44 Ridgedale
2 Harmony9340,02 Harmony
8-1 Garrison7360,8-1 Garrison
Concord 43342,181 Concord 4
29 Fairhaven Inside9315,29 Fairhaven Inside
Glen Alpine0011,Glen Alpine
1-1 Tazewell1210,1-1 Tazewell
07 Martin Shepardsfield Church9509,7A Martin Shepherd's
Lakeland 28097,Lakeland 02
14-21864,14-2
Fairmount3371,067 Fairmount
11-1 Westside School7567,11-1 Westside
34-51957,34-5
186463,18 Hazelwood
31-31942,31-3
Porter0429,Porter
Chapel Hill5854,1 Chapel Hill
22-21904,22-2
514836,51 Deane Hill Rec Ctr
19-19825,19-1
502 Guild Elementary8608,5-2 Guild
34-11953,34-1
8 Civic Center0805,Civic Center
Heritage0424,Heritage
6-1 TROY SENIOR CENTER6760,6-1 Troy Sr Ctr
