vest_ID,election_ID
F - Dyer County Central2361,F- Dyer Co Central
8-11837,1-Aug
Petros 6-26653,6-2 Petros
Beersheba3152,Beersheba Springs
3-31813,3-Mar
5-51825,5-May
9th Beacon2061,9-1 Beacon
154867,15 John T. O'Connor
Memphis 73-38192,Memphis 73-3
Liberty2060,2-1 Liberty
Travisville7055,Travisville 3-2
Elk Mills0914,Elk Mills
Elder Mountain5751,Elder Mountain
North Chattanooga 23405,139 North Chattanooga 2
03 Jefferson Court Community Building3903,1-Mar
Memphis 87-28061,Memphis 87-2
9-1 Clairfield1202,9-1 Clairfield
Kingspoint 13396,190 Kingspoint 1
7-31833,3-Jul
Memphis 71-48187,Memphis 71-4
Cross Roads3157,Cross Roads
19-E4804,19E Thrive Lonsdale
Ridgedale 13377,210 Ridgedale 1
Harrison 13357,058 Harrison 1
21-21900,21-2
Gassaway0702,2-2 Gassaway
Memphis 31-28117,Memphis 31-2
7 Macedonia0802,Macedonia
102 Marsh Creek6958,1-2 Marsh Creek
17-71884,17-7
Memphis 88-48234,Memphis 88-4
6th3506,6th
Grand Junction3613,Grand Junction
3 Eagle Creek Fire Hall9408,3-3 Eagle Creek
White Oak0619,5-5 White Oak
Downtown 13403,199 Downtown 1
24-41915,24-4
Memphis 69-28182,Memphis 69-2
Dill0304,1-1 Dill
Memphis 72-38189,Memphis 72-3
1-24508,2-Jan
5 Cypress6166,Cypress 5-1
Kingspoint 23366,191 Kingspoint 2
7-1 Middleburg4014,7-9 Middleburg
Memphis 74-28195,Memphis 74-2
9 City8809,09 City
18-21886,18-2
4-2 Howard's Quarter1214,4-2 Howard's Quarter
Boom7058,Boom 4-1
2 Greasy Creek Comm. Club7158,2 Greasy Creek
51608,5
2 Short Mountain0708,2-4 Short Mountain
Eastdale3410,195 Eastdale
1 Senior Center8801,01 Senior Center
16-21874,16-2
Courthouse 13323,208 Courthouse 1
Chestnut Ridge 4-36655,4-3 Chestnut Ridge
Moodyville7056,Moodyville 1-2
Perryville2062,7-2 Perryville
Memphis 70-18183,Memphis 70-1
Memphis 94-38248,Memphis 94-3
3-2 Paint Rock7759,3-2 Paint Rock
Ripley 45056,Ripley 4
202 Pope6960,2-2 Pope
14-31865,14-3
6B BMS Bridgeforth Middle School2862,6B Bridgeforth
6-11826,1-Jun
6-1 Belk2166,6-1 Belk
Eastgate 23325,095 Eastgate 2
Memphis 94-78250,Memphis 94-7
302 Flatwoods6959,3-2 Flatwoods
10-21845,2-Oct
29 Milan Polk Clark2768,13 Milan Polk Clark
Memphis 90-38240,Memphis 90-3
Whiteville3603,Whiteville
1-1 Jera Building4408,1-1 Jera
Memphis 178108,Memphis 17
Waldens Ridge5765,Walden's Ridge
05-2 Beersheba Towers9208,5-2 Towers
7-3 Denmark West Community Center5658,7-3 Denmark
07-2 Pleasantville4211,7-2 Pleasantville
1-1 Carl Perkins Civic Center5651,1-1 Civic Center
50-S4860,50S West High
13-21860,13-2
Pelham3158,Pelham
134871,13 Fair Garden
Memphis 72-78190,Memphis 72-7
Central3155,Central
"1-2 Sparta Civic Center, County9609",1-2 Sparta Civic
02 Parks & Recreation Dept3901,1-Feb
4-1 Maple Grove1301,4-1 Maple Grove
Deer Lodge 4-26661,4-2 Deer Lodge
07-4 Coble4214,7-4 Coble
7 Bulls Gap Inside3823,7 Bulls Gap Inside
Palmer3162,Palmer
2 Clifton9401,2 Clifton
30-31938,30-3
Kodak 27974,8-2 Kodak
Watauga0920,Watauga
31-11940,31-1
6-51830,5-Jun
02-2 Fairfield4205,2-2 Fairfield
17-11878,17-1
16-11873,16-1
304868,30 Sarah Moore Greene
Rankin1413,Rankin
33-11948,33-1
Memphis 74-18194,Memphis 74-1
Cummingsville Community Cntr9106,Cummingsville
2-24502,2-Feb
2-2 Dowelltown2160,2-2 Dowelltown
101605,10
10-S4832,10S Howard Baker Center
5-21822,2-May
3-4 Masseyville1111,3-4 Masseyville
1-2 Temperence Hall2159,1-2 Temperence Hall
Ross Store 168269,Ross 16
5-2 Pea Ridge1304,5-2 Pea Ridge
29-31934,29-3
River Canyon5761,River Canyon
Collegedale 33379,167 Collegedale 3
Memphis 94-88251,Memphis 94-8
5 Wayne Co. High School9414,5-3 Wayne Co High
8 Willard8808,08 Willard
Mossy Grove 2-26657,2-2 Mossy Grove
3 Purdy6161,Purdy 3-3
Memphis 88-28232,Memphis 88-2
Elora Community Center5366,7-1 Elora
4 Short Mountain0709,4-2 Short Mountain
Pinecrest0612,1-3 Pinecrest
6 Olive Hill3711,Olive Hill 6-3
1-6 Harmony1109,1-6 Harmony
College Hill0601,2-1 College Hill
Memphis 74-58197,Memphis 74-5
Ross Store 058265,Ross 05
6 Clinch3818,6 Clinch
19 Concord0806,Concord
4 Halltown8804,04 Halltown
Flat Top Mountain3416,069 Flat Top Mountain
Nine Mile0310,5-2 Nine Mile
Pocahontas3611,Pocahontas
1-41804,4-Jan
Henning5064,Henning 1
4 Dykes3805,4 Dykes
Ross Store 138266,Ross 13
Pleasant Ridge0707,2-3 Pleasant Ridge
Midway1715,8 Midway
12 Edison2760,8-1 Edison
5-1 Arcot/Beech Bethany1302,5-1 Beech Bethany
Eastside 13378,209 Eastside 1
Johnson School House7474,Johnson Sch House
07-1 Nunnelly4213,7-1 Nunnelly
15 La Grange2459,LaGrange
8A6451,8A Bethel
6-1 Iron City5171,06-1 Iron City
5B6476,5B Madison
8-21838,2-Aug
3-6 Deanburg1110,3-6 Deanburg
6-14501,1-Jun
Saulsbury3612,Saulsbury
3-61816,6-Mar
01-1 Nunnelly4212,1-1 Nunnelly
7-4 Mercer Fire Station5659,7-4 Mercer
Elk Valley0605,5-1 Elk Valley
5th3505,5th
Memphis 90-28239,Memphis 90-2
Oliver Springs7466,Oliver Springs
201 Pineview6951,2-1 Pineview
4th3502,4th
Little Milligan0913,Little Milligan
West Fentress2560,West Fentress
Kelly's 6-16660,6-1 Kellys
6-4 Medon City Hall5661,6-4 Medon
Pall Mall2559,Pall Mall
Memphis 58-18158,Memphis 58-1
