,unique_ID
447,Davidson-7-6
448,Davidson-8-1
449,Davidson-8-2
450,Davidson-8-3
451,Davidson-8-4
452,Davidson-9-1
453,Davidson-9-2
454,Davidson-9-3
470,Dekalb-1-3 Edgar Evins State Park
482,Dekalb-7-1 Church of Christ Annex
483,Dickson-1-1 Collier House
484,Dickson-1-2 Sylvia Baptist Church
485,Dickson-10-1 First Baptist Church
486,Dickson-11-1 Tennsco Community Center
487,Dickson-12-1 White Bluff Community Center
488,Dickson-12-2 Greater Things Baptist Church
489,Dickson-2-1 Eno Community Center
490,Dickson-2-2 TN City Fire Hall
491,Dickson-3-1 Calvary Chapel
492,Dickson-3-2 Vanleer Town Hall
493,Dickson-4-1 Jackson Chapel
494,Dickson-5-1 White Bluff Civic Center
495,Dickson-6-1 Burns Church of Christ
496,Dickson-6-2 Porter Community Center
497,Dickson-7-1 Pomona Baptist Church
498,Dickson-8-1 Senior Citizens
499,Dickson-9-1 Restoration Church
500,Dyer-A1 - Bonicord
501,Dyer-A2 - Fowlkes
502,Dyer-B - Newbern
503,Dyer-C1 - Tatumville
504,Dyer-C2 - Trimble
505,Dyer-C3 - Roellen
506,Dyer-D1 - Millsfield
507,Dyer-D2 - Bogota
508,Dyer-E1 - Finley
509,Dyer-E2 - Lenox
510,Dyer-F - Dyer County Central
511,Dyer-G - Courthouse
512,Dyer-H - E. Dyersburg
513,Dyer-I1 - Community Center
514,Dyer-I2 - Hurricane Hill
515,Dyer-J - N Dyersburg
516,Fayette-1 Somerville
517,Fayette-10 Rossville
518,Fayette-11 Macon
519,Fayette-12 Williston
520,Fayette-13 Moscow
521,Fayette-14 Parks
522,Fayette-15 La Grange
523,Fayette-2 Fayette Corner
524,Fayette-3 Garnett
525,Fayette-4 Braden
526,Fayette-5 Gallaway
527,Fayette-6 Oakland
528,Fayette-7 Hickory Withe
529,Fayette-8 Elba
530,Fayette-9 Piperton
537,Fentress-Crossroad
544,Franklin-1-1 FC Annex
559,Franklin-7-2 Winchester Springs & Center Grove
562,Gibson-01 Medina
563,Gibson-02 Sitka Community Center
564,Gibson-04 Gibson
565,Gibson-06 Humboldt Ch of Chr
566,Gibson-07 Humboldt Park
567,Gibson-08 St. James Baptist Church
568,Gibson-09 Humboldt Lane Chapel
569,Gibson-10 Humboldt High School
570,Gibson-12 Edison
571,Gibson-13 Fruitland
572,Gibson-14 Brazil
573,Gibson-17 Yorkville
574,Gibson-18 Kenton
575,Gibson-20 CourtHouse
576,Gibson-22 Agri Plex
577,Gibson-24 Moore's Chapel
578,Gibson-26 Union Central
579,Gibson-27 Skullbone
580,Gibson-28 Cumberland Presbyterian Church
581,Gibson-29 Milan Polk Clark
582,Gibson-30 Milan Assembly/God
583,Gibson-31 Milan Muni Bldg
584,Gibson-32 Bradford
585,Gibson-34 Laneview
586,Gibson-37 Good Luck
587,Gibson-38 Dyer
588,Gibson-39 Currie
589,Gibson-40 Rutherford
594,Giles-3A Richland Trace Market
597,Giles-4B Odds Fellows Hall
599,Giles-5B Agri-Park
600,Giles-6A MMC Martin Methodist College
601,Giles-6B BMS Bridgeforth Middle School
602,Giles-7A GCHS Giles County High School
603,Giles-7B Recreation Center
604,Grainger-1-1 Rutledge Middle School
605,Grainger-1-2 Old Central Point School
606,Grainger-2-1 Bean Station Ele. School
607,Grainger-2-2 Grainger High School
608,Grainger-3-1 Blaine City Hall
609,Grainger-3-2 Indian Ridge Comm. Blg.
610,Grainger-4-1 Thorn Hill Comm. Blg.
611,Grainger-4-2 Washburn Ele. School
612,Grainger-5-1 Bean Station Library
613,Grainger-5-2 Senior Citizens Center
614,Greene-Baileyton
615,Greene-Camp Creek
616,Greene-Chuckey
617,Greene-Chuckey Doak
618,Greene-Court House
619,Greene-Debusk
620,Greene-Doak
621,Greene-Glenwood
622,Greene-High School
623,Greene-McDonald
624,Greene-Middle School
625,Greene-Mosheim
626,Greene-Nolachuckey
627,Greene-Ottway
628,Greene-South Greene
629,Greene-Tusculum View
630,Greene-West Pines
632,Grundy-Beersheba
636,Grundy-Gruetli
639,Grundy-Pelham
640,Grundy-Tracy
641,Hamblen-1-1
643,Hamblen-10-2
649,Hamblen-2-1
650,Hamblen-3-1
651,Hamblen-4-1
652,Hamblen-5-1
653,Hamblen-6-1
654,Hamblen-7-1
655,Hamblen-8-1
656,Hamblen-9-1
657,Hamblen-9-2
658,Hamilton-Airport
659,Hamilton-Alton Park 1
660,Hamilton-Alton Park 2
661,Hamilton-Alton Park 3
662,Hamilton-Amnicola
663,Hamilton-Apison 1
664,Hamilton-Apison 2
665,Hamilton-Apison 3
666,Hamilton-Avondale
667,Hamilton-Bakewell 1
668,Hamilton-Bakewell 2
669,Hamilton-Bakewell 3
670,Hamilton-Birchwood
671,Hamilton-Bonny Oaks
672,Hamilton-Brainerd
673,Hamilton-Brainerd Hills
674,Hamilton-Bushtown
675,Hamilton-Collegedale 1
676,Hamilton-Collegedale 2
677,Hamilton-Collegedale 3
678,Hamilton-Collegedale 4
679,Hamilton-Concord 1
680,Hamilton-Concord 2
681,Hamilton-Concord 3
682,Hamilton-Concord 4
683,Hamilton-Concord 5
684,Hamilton-Concord 6
685,Hamilton-Concord 7
686,Hamilton-Courthouse 1
687,Hamilton-Courthouse 2
688,Hamilton-Dalewood
689,Hamilton-Dallas 1
690,Hamilton-Dallas 2
691,Hamilton-Downtown 1
692,Hamilton-Downtown 2
693,Hamilton-Downtown 3
694,Hamilton-DuPont
695,Hamilton-East Brainerd 1
696,Hamilton-East Brainerd 2
697,Hamilton-East Chattanooga 1
698,Hamilton-East Chattanooga 2
699,Hamilton-East Lake
700,Hamilton-East Ridge 1
701,Hamilton-East Ridge 2
702,Hamilton-East Ridge 3
703,Hamilton-East Ridge 4
704,Hamilton-Eastdale
705,Hamilton-Eastgate 1
706,Hamilton-Eastgate 2
707,Hamilton-Eastside 1
708,Hamilton-Eastside 2
709,Hamilton-Fairmount 1
710,Hamilton-Fairmount 2
711,Hamilton-Falling Water
712,Hamilton-Flat Top Mountain
713,Hamilton-Ganns
714,Hamilton-Glenwood
715,Hamilton-Harrison 1
716,Hamilton-Harrison 2
717,Hamilton-Harrison 3
718,Hamilton-Harrison 4
719,Hamilton-Harrison 5
720,Hamilton-Harrison 6
721,Hamilton-Harrison 7
722,Hamilton-Hixson 1
723,Hamilton-Hixson 2
724,Hamilton-Hixson 3
725,Hamilton-Kingspoint 1
726,Hamilton-Kingspoint 2
727,Hamilton-Kingspoint 3
728,Hamilton-Lake Hills
729,Hamilton-Lakesite
730,Hamilton-Lookout Mountain
731,Hamilton-Lookout Valley 1
732,Hamilton-Lookout Valley 2
733,Hamilton-Lupton City
734,Hamilton-Meadowview
735,Hamilton-Middle Valley 1
736,Hamilton-Middle Valley 2
737,Hamilton-Missionary Ridge
738,Hamilton-Moccasin Bend
739,Hamilton-Mountain Creek 1
740,Hamilton-Mountain Creek 2
741,Hamilton-Mountain Creek 3
742,Hamilton-Mowbray
743,Hamilton-Murray Hills 1
744,Hamilton-Murray Hills 2
745,Hamilton-North Chattanooga 1
746,Hamilton-North Chattanooga 2
747,Hamilton-Northgate 1
748,Hamilton-Northgate 2
749,Hamilton-Northwoods 1
750,Hamilton-Northwoods 2
751,Hamilton-Northwoods 3
752,Hamilton-Ooltewah 1
753,Hamilton-Ooltewah 2
754,Hamilton-Ooltewah 3
755,Hamilton-Ooltewah 4
756,Hamilton-Ooltewah 5
757,Hamilton-Ooltewah 6
758,Hamilton-Pleasant Grove 1
759,Hamilton-Pleasant Grove 2
760,Hamilton-Red Bank 1
761,Hamilton-Red Bank 2
762,Hamilton-Red Bank 3
763,Hamilton-Ridgedale 1
764,Hamilton-Ridgedale 2
765,Hamilton-Ridgeside
766,Hamilton-Riverview
767,Hamilton-Sale Creek
768,Hamilton-Signal Mountain 1
769,Hamilton-Signal Mountain 2
770,Hamilton-Snowhill 1
771,Hamilton-Snowhill 2
772,Hamilton-Soddy Daisy 1
773,Hamilton-Soddy Daisy 2
774,Hamilton-Soddy Daisy 3
775,Hamilton-St Elmo 1
776,Hamilton-St Elmo 2
777,Hamilton-Stuart Heights
778,Hamilton-Summit 1
779,Hamilton-Summit 2
780,Hamilton-Summit 3
781,Hamilton-Summit 4
782,Hamilton-Tyner 1
783,Hamilton-Tyner 2
784,Hamilton-Tyner 3
785,Hamilton-Valdeau 1
786,Hamilton-Valdeau 2
787,Hamilton-Walden
788,Hamilton-Westview 1
789,Hamilton-Westview 2
790,Hamilton-Westview 3
791,Hamilton-Woodmore 1
792,Hamilton-Woodmore 2
813,Hardin-1 Olivet
814,Hardin-10 Fairground
815,Hardin-2 Nixon
816,Hardin-3 Counce
817,Hardin-4 Crump
818,Hardin-5-1 Saltillo
819,Hardin-5-2 Morris Chapel
820,Hardin-6-1 Cerro Gordo
821,Hardin-6-2 Rhodes
822,Hardin-6-3 Olive Hill
823,Hardin-7-1 Whites
824,Hardin-7-2 Walnut Grove
825,Hardin-8 North
826,Hardin-9 Library
839,Hawkins-5 Rogersville
840,Hawkins-6 Alumwell
847,Haywood-01 Christ Temple Apostolic Church
848,Haywood-02 Parks & Recreation Dept
849,Haywood-03 Jefferson Court Community Building
850,Haywood-04 Chamber Basement
851,Haywood-05 Tibbs Fire Station
852,Haywood-06 Wyatt-Duke National Guard Armory
853,Haywood-07 Delta Heritage Center
854,Haywood-08 Douglas Community Center
855,Haywood-09A Stanton City Hall
856,Haywood-09B West Side Church of Christ
857,Haywood-10 Haywood Junior High
883,Henry-5-1 HC High School
884,Henry-5-2 Vo-Tech
885,Hickman-01-1 Nunnelly
886,Hickman-01-2 Pinewood
887,Hickman-02-2 Fairfield
888,Hickman-02-3 East Bank
889,Hickman-03-1 East Community Center
890,Hickman-04-1 Lake Benson Camp
891,Hickman-05-1 Mt. Pleasant
892,Hickman-05-2 Middle School
893,Hickman-05-3 Shady Grove
894,Hickman-06-1 Justice Center
895,Hickman-07-1 Nunnelly
896,Hickman-07-2 Pleasantville
897,Hickman-07-3 Brushy
898,Hickman-07-4 Coble
899,Houston-Arlington Sr. Citizens Cntr
900,Houston-Erin City Hall
901,Houston-Erin Elementary School
902,Houston-Griffin Chapel Church
903,Houston-Houston Co. Middle School
904,Houston-Stewart Community Center
926,Jefferson-10th Jefferson City Fire Dept
927,Jefferson-1st Dandridge Elementary School
928,Jefferson-2nd Piedmont Elementary School
929,Jefferson-3rd White Pine School
930,Jefferson-4th Jefferson Elementary School
931,Jefferson-5th Jefferson Middle School
932,Jefferson-6th Rush Strong School
933,Jefferson-7th New Market City Hall
934,Jefferson-8-1 Old Chestnut Hill School
935,Jefferson-8-2 Old Swannsylvania School
936,Jefferson-9th Talbott Elementary School
944,Johnson-5 Doe Valley
947,Knox-06
948,Knox-09
949,Knox-10-N
950,Knox-10-S
951,Knox-10-W
952,Knox-11
953,Knox-12
954,Knox-13
955,Knox-14
956,Knox-15
957,Knox-16
958,Knox-17
959,Knox-18
960,Knox-19-E
961,Knox-19-W
962,Knox-20
963,Knox-23
964,Knox-24-Q
965,Knox-25
966,Knox-26
967,Knox-27
968,Knox-29
969,Knox-30
970,Knox-31
971,Knox-32
972,Knox-33
973,Knox-34
974,Knox-35
975,Knox-36
976,Knox-37
977,Knox-39
978,Knox-40
979,Knox-41
980,Knox-42
981,Knox-43
982,Knox-44
983,Knox-45
984,Knox-46
985,Knox-47
986,Knox-48
987,Knox-49
988,Knox-50-N
989,Knox-50-S
990,Knox-51
991,Knox-55
992,Knox-56
993,Knox-57
994,Knox-58-N
995,Knox-58-S
996,Knox-59
997,Knox-60
998,Knox-61
999,Knox-62
1000,Knox-63
1001,Knox-63-N
1002,Knox-64
1003,Knox-65-E
1004,Knox-65-N
1005,Knox-65-W
1006,Knox-66-N
1007,Knox-66-S
1008,Knox-67
1009,Knox-68
1010,Knox-68-E
1011,Knox-69-E
1012,Knox-69-N
1013,Knox-69-S
1014,Knox-69-W
1015,Knox-70-E
1016,Knox-70-W
1017,Knox-71
1018,Knox-72
1019,Knox-73
1020,Knox-74
1021,Knox-76
1022,Knox-77
1023,Knox-78
1024,Knox-79
1025,Knox-80
1026,Knox-81
1027,Knox-82
1028,Knox-84
1029,Knox-85
1030,Knox-86
1031,Knox-87
1032,Knox-89
1033,Knox-90
1034,Knox-92
1035,Knox-93
1036,Lake-1 Tiptonville Senior Center
1037,Lake-2 Lake County Courthouse
1038,Lake-3 Lake County Middle School
1039,Lauderdale-Central
1040,Lauderdale-Edith
1041,Lauderdale-Gates
1043,Lauderdale-Henning
1044,Lauderdale-Lightfoot
1045,Lauderdale-McBride
1049,Lawrence-1-1 St. Joseph
1050,Lawrence-1-2 West Loretto
1060,Lawrence-18-1 E.O. Coffman
1061,Lawrence-2-1 Loretto Civic Center
1062,Lawrence-3-1 South East Lawrence
1063,Lawrence-3-2 Centerpoint
1064,Lawrence-4-1 Crossroads Fire Hall
1065,Lawrence-5-1 Leoma School Gym
1066,Lawrence-5-2 Gandy
1067,Lawrence-6-1 Iron City
1068,Lawrence-6-2 West Point
1069,Lawrence-7-1 Lawrenceburg Public
1070,Lawrence-8-1 New Prospect
1071,Lawrence-9-1 Ethridge
1072,Lawrence-9-2 Mars Hill
1082,Lincoln-Armory
1083,Lincoln-Belleville Community Center
1084,Lincoln-Blanche
1085,Lincoln-Boonshill Community Center
1086,Lincoln-Calvary Baptist Fellowship Hall
1087,Lincoln-Elora Community Center
1088,Lincoln-FNB Community Room
1089,Lincoln-Fayetteville CPC
1090,Lincoln-Flintville Fire Hall
1091,Lincoln-Howell
1092,Lincoln-Kelso Cumberland Presbyterian Church
1093,Lincoln-Liberty
1094,Lincoln-Lincoln Community Center
1095,Lincoln-Maranatha
1096,Lincoln-Molino
1097,Lincoln-Mulberry Fire Hall
1098,Lincoln-Petersburg
1099,Lincoln-Recreation Center
1100,Lincoln-South Lincoln
1101,Lincoln-Taft Baptist Church
1104,Loudon-Eatons
1115,Loudon-Tellico Village North
1116,Loudon-Tellico Village South
1117,Macon-Central Elementary School
1118,Macon-Cross Roads Community Center
1119,Macon-Lafayette Elementary School
1120,Macon-Macon County High School
1121,Macon-Macon County Junior High School
1122,Macon-Macon County Welcome Center
1123,Macon-National Guard Armory
1124,Macon-Red Boiling Springs High School
1125,Macon-Westside Elementary School
1126,Macon-Willette Community Center
1127,Madison-1-1 Carl Perkins Civic Center
1128,Madison-1-2 Mt. Moriah Baptist Church
1129,Madison-10-1 Spring Creek Fire Station #7
1130,Madison-10-2 North East School
1131,Madison-10-3 North Side High School
1132,Madison-2-1 Alexander Elementary School
1133,Madison-2-2 Aldersgate United Methodist Church
1134,Madison-2-3 Community Montessori School
1135,Madison-3-1 Madison Co Board of Ed.
1136,Madison-3-2 Old Bells Fire Station
1137,Madison-3-3 Madison County Veterans Services
1138,Madison-4-1 Masonic Temple Lodge #45
1139,Madison-4-2 Andrew Jackson School
1140,Madison-4-3 Festivities Events Place
1141,Madison-5-1 Jackson Careers and Technology
1142,Madison-5-2 Macedonia Baptist Church
1143,Madison-5-3 North Parkway School
1144,Madison-6-1 South Side High School
1145,Madison-6-2 South Elementary School
1146,Madison-6-3 Malesus Community Center
1147,Madison-6-4 Medon City Hall
1148,Madison-7-1 UT Agricultural Experiment Station
1149,Madison-7-2 TN Technology Center
1150,Madison-7-3 Denmark West Community Center
1151,Madison-7-4 Mercer Fire Station
1152,Madison-8-1 Beech Bluff Baptist Church
1153,Madison-8-2 Browns United Methodist Church
1154,Madison-8-3 Mifflin Road Fire Station
1155,Madison-8-4 East Union Ruritan Center
1156,Madison-8-5 Lesters Fire Station
1157,Madison-9-1 VFW Post 1848
1158,Madison-9-2 Pope Elementary School
1159,Madison-9-3 Three Way City Meeting Room
1162,Marion-Haletown-Ladds
1169,Marion-Powells Crossroads
1174,Marion-Waldens Ridge
1176,Marion-Whitwell Mtn. FD
1177,Marshall-Belfast
1178,Marshall-Chapel Hill
1179,Marshall-Cornersville
1180,Marshall-Hardison School
1181,Marshall-Henry Horton State Park
1182,Marshall-Lewisburg Gas Dept.
1183,Marshall-McKnight Center
1184,Marshall-Parkview Baptist
1185,Marshall-Recreation Center
