,unique_ID
2156,Davidson-04-4
2157,Davidson-05-1
2158,Davidson-05-2
2159,Davidson-05-3
2160,Davidson-05-4
2161,Davidson-05-5
2162,Davidson-06-1
2163,Davidson-06-2
2164,Davidson-06-3
2165,Davidson-06-4
2166,Davidson-06-5
2167,Davidson-07-1
2168,Davidson-07-2
2169,Davidson-07-3
2170,Davidson-07-4
2171,Davidson-07-5
2172,Davidson-07-6
2173,Davidson-08-1
2174,Davidson-08-2
2175,Davidson-08-3
2176,Davidson-08-4
2177,Davidson-09-1
2178,Davidson-09-2
2179,Davidson-09-3
2180,Dekalb-1-3 Edgar Evins Park
2181,Dekalb-7-1 Church of Christ
2182,Dickson-1-1
2183,Dickson-1-2
2184,Dickson-2-1
2185,Dickson-2-2
2186,Dickson-3-1
2187,Dickson-3-2
2188,Dickson-4-1
2189,Dickson-5-1
2190,Dickson-6-1
2191,Dickson-6-2
2192,Dickson-7-1
2193,Dickson-8-1
2194,Dickson-9-1
2195,Dickson-10-1
2196,Dickson-11-1
2197,Dickson-12-1
2198,Dickson-12-2
2199,Dyer-A1- Bonicord
2200,Dyer-A2- Fowlkes
2201,Dyer-B- Newbern
2202,Dyer-C1- Tatumville
2203,Dyer-C2- Trimble
2204,Dyer-C3- Roellen
2205,Dyer-D1- Millsfield
2206,Dyer-D2- Bogota
2207,Dyer-E1- Finley
2208,Dyer-E2- Lenox
2209,Dyer-F- Dyer Co Central
2210,Dyer-G- Courthouse
2211,Dyer-H- E. Dyersburg
2212,Dyer-I1- Community Center
2213,Dyer-I2- Hurricane Hill
2214,Dyer-J- North Dyersburg
2215,Fayette-Somerville
2216,Fayette-Fayette Corner
2217,Fayette-Garnett
2218,Fayette-Braden
2219,Fayette-Gallaway
2220,Fayette-Oakland
2221,Fayette-Hickory Withe
2222,Fayette-Elba
2223,Fayette-Piperton
2224,Fayette-Rossville
2225,Fayette-Macon
2226,Fayette-Williston
2227,Fayette-Moscow
2228,Fayette-Parks
2229,Fayette-LaGrange
2230,Fentress-Crossroads
2231,Franklin-1-1 Annex
2232,Franklin-7-2 CG/Winchester Springs
2233,Gibson-1-1 Medina
2234,Gibson-1-2 Sitka
2235,Gibson-2-6 Humboldt Church
2236,Gibson-3-7 Bailey Park
2237,Gibson-4-8 St James Baptist
2238,Gibson-5-9 Lane Chapel Church
2239,Gibson-6-10 Humboldt HS
2240,Gibson-6-4 Gibson
2241,Gibson-7-13 Fruitland
2242,Gibson-8-12 Edison
2243,Gibson-8-14 Brazil
2244,Gibson-9-20 JC Building
2245,Gibson-10-22 Agri-Plex
2246,Gibson-11-24 Moore's Chapel
2247,Gibson-11-26 Union Central
2248,Gibson-11-27 Skullbone
2249,Gibson-12-28 Milan CPC
2250,Gibson-13-29 Milan Polk Clark
2251,Gibson-14-30 Milan 1stAssembly
2252,Gibson-15-31 Milan Municipal
2253,Gibson-16-40 Rutherford
2254,Gibson-16-17 Yorkville
2255,Gibson-16-18 Kenton
2256,Gibson-17-32 Bradford
2257,Gibson-18-34 Laneview
2258,Gibson-18-37 Good Luck
2259,Gibson-19-38 Dyer
2260,Gibson-19-39 Currie
2261,Giles-3A Richland Trace
2262,Giles-4B Odd Fellows Hall
2263,Giles-5B Agri Park
2264,Giles-6A Martin
2265,Giles-6B Bridgeforth
2266,Giles-7A GCHS
2267,Giles-7B Rec Center
2268,Grainger-1-1
2269,Grainger-1-2
2270,Grainger-2-1
2271,Grainger-2-2
2272,Grainger-3-1
2273,Grainger-3-2
2274,Grainger-4-1
2275,Grainger-4-2
2276,Grainger-5-1
2277,Grainger-5-2
2278,Greene-1 Baileyton
2279,Greene-4 Camp Creek
2280,Greene-2 Chuckey Doak
2281,Greene-4 Courthouse
2282,Greene-2 Chuckey
2283,Greene-5 Debusk
2284,Greene-3 Doak
2285,Greene-7 Glenwood
2286,Greene-7 High School
2287,Greene-6 McDonald
2288,Greene-6 Mosheim
2289,Greene-5 Middle School
2290,Greene-5 Nolachuckey
2291,Greene-1 Ottway
2292,Greene-5 South Greene
2293,Greene-3 Tusculum View
2294,Greene-1 West Pines
2295,Grundy-Beersheba Springs
2296,Grundy-Pelham Valley
2297,Grundy-Gruetli-Laager
2298,Grundy-Tracy City
2299,Hamblen-01-1
2300,Hamblen-02-1
2301,Hamblen-03-1
2302,Hamblen-04-1
2303,Hamblen-05-1
2304,Hamblen-06-1
2305,Hamblen-07-1
2306,Hamblen-08-1
2307,Hamblen-09-1
2308,Hamblen-09-2
2309,Hamilton-088 Airport
2310,Hamilton-048 Alton Park 1
2311,Hamilton-047 Alton Park 2
2312,Hamilton-127 Alton Park 3
2313,Hamilton-057 Amnicola
2314,Hamilton-110 Apison 1
2315,Hamilton-109 Apison 2
2316,Hamilton-111 Apison 3
2317,Hamilton-055 Avondale
2318,Hamilton-009 Bakewell 1
2319,Hamilton-011 Bakewell 2
2320,Hamilton-013 Bakewell 3
2321,Hamilton-115 Birchwood
2322,Hamilton-096 Bonny Oaks
2323,Hamilton-074 Brainerd
2324,Hamilton-076 Brainerd Hills
2325,Hamilton-054 Bushtown
2326,Hamilton-108 Collegedale 1
2327,Hamilton-112 Collegedale 2
2328,Hamilton-121 Collegedale 3
2329,Hamilton-123 Collegedale 4
2330,Hamilton-077 Concord 1
2331,Hamilton-078 Concord 2
2332,Hamilton-079 Concord 3
2333,Hamilton-006 Concord 4
2334,Hamilton-080 Concord 5
2335,Hamilton-105 Concord 6
2336,Hamilton-098 Concord 7
2337,Hamilton-040 Courthouse 1
2338,Hamilton-039 Courthouse 2
2339,Hamilton-090 Dalewood
2340,Hamilton-015 Dallas 1
2341,Hamilton-016 Dallas 2
2342,Hamilton-041 Downtown 1
2343,Hamilton-038 Downtown 2
2344,Hamilton-129 Downtown 3
2345,Hamilton-061 DuPont
2346,Hamilton-099 East Brainerd 1
2347,Hamilton-100 East Brainerd 2
2348,Hamilton-056 East Chattanooga 1
2349,Hamilton-089 East Chattanooga 2
2350,Hamilton-049 East Lake
2351,Hamilton-071 East Ridge 1
2352,Hamilton-072 East Ridge 2
