,COUNTY,NAME
134,Clay,4-2 Butlers Landing
124,Clay,5-1 Arcot/Beech Bethany
126,Clay,5-2 Pea Ridge
133,Clay,3 Celina
125,Clay,1 Dentons Cross Roads
154,Cocke,Cosby
153,Cocke,Edwina
172,Cocke,Parrottsville
155,Cocke,Armory
156,Cocke,Edgemont
152,Cocke,Grassy Fork
151,Cocke,Northport
176,Cocke,Rankin
140,Cocke,Smoky Mountain
141,Cocke,Newport Grammar School
138,Cocke,Centerview
137,Cocke,Cocke County High School
157,Cocke,Forest Hill
158,Cocke,West End
159,Cocke,Bridgeport
136,Cocke,Long Creek
160,Cocke,Houston Valley
139,Cocke,Del Rio
177,Cocke,Central
1729,Coffee,15 Grace Baptist Church
1578,Coffee,13-4 Grace Baptist Center
173,Coffee,16 Lions Club
1577,Coffee,18 First Christian Church
174,Coffee,05 Hillsboro Community Center
175,Coffee,06 Tennessee Vocational Center
1576,Coffee,13-2 Grace Baptist Center
235,Coffee,12 North Coffee Elementary School
237,Coffee,14 Hickerson Fire Hall
236,Coffee,13-1 Blanton's Chapel Community Center
234,Coffee,11 Freedonia Community Center
232,Coffee,01 Ada Right Center
231,Coffee,03 Trinity Baptist Church
230,Coffee,04 First Baptist Church
222,Coffee,21 Wilson Avenue Church of Christ
221,Coffee,20 Coffee County Senior Citizens
220,Coffee,02 Saint Paul United Methodist Church
192,Coffee,19 CD Stamps Center
193,Coffee,08 New Union Fire Hall
194,Coffee,9-1 Pocahontas Community Center
195,Coffee,9-2 Summitville Community Center
196,Coffee,17 National Guard Armory
178,Coffee,07 Forrest Mill Church of Christ Activity Center
233,Coffee,10 Mt. Ararat Baptist Church
0,Crockett,8
238,Crockett,4
254,Crockett,10
253,Crockett,9
244,Crockett,3
243,Crockett,5
242,Crockett,12
241,Crockett,11
240,Crockett,2
239,Crockett,1
1,Crockett,6
255,Crockett,7
17,Cumberland,Homestead
1776,Cumberland,Ozone-Pineview
1777,Cumberland,Chestnut Hill
1778,Cumberland,Fairfield Glade North
12,Cumberland,Grassy Cove
16,Cumberland,Tansi
2,Cumberland,Mayland
18,Cumberland,Dorton
13,Cumberland,Linary
1796,Cumberland,Crab Orchard Town Hall
14,Cumberland,Big Lick
19,Cumberland,Complex 2
1774,Cumberland,Rinnie
23,Cumberland,Pleasant Hill
22,Cumberland,Midway
21,Cumberland,Lantana
1775,Cumberland,Tabor
25,Cumberland,Bakers
24,Cumberland,Pomona
1773,Cumberland,Woody
1753,Cumberland,Fairfield Glade South
15,Cumberland,Vandever
20,Cumberland,Cornerstone Baptist Church
1772,Cumberland,Oak Hill
733,Davidson,18-3
631,Davidson,17-1
630,Davidson,16-5
621,Davidson,16-4
620,Davidson,16-3
734,Davidson,3-Mar
360,Davidson,1-Aug
359,Davidson,6-Jul
358,Davidson,5-Jul
618,Davidson,16-1
732,Davidson,18-2
619,Davidson,16-2
632,Davidson,17-2
342,Davidson,3-Jul
634,Davidson,17-4
418,Davidson,2-Mar
417,Davidson,1-Mar
688,Davidson,14-1
687,Davidson,13-4
706,Davidson,14-4
707,Davidson,14-5
686,Davidson,13-3
681,Davidson,13-2
680,Davidson,13-1
679,Davidson,5-Dec
