,COUNTY,NAME
195,15,9-2 Summitville Community Center
196,15,17 National Guard Armory
178,15,07 Forrest Mill Church of Christ Activity Center
233,15,10 Mt. Ararat Baptist Church
0,16,8
238,16,4
254,16,10
253,16,9
244,16,3
243,16,5
242,16,12
241,16,11
240,16,2
239,16,1
1,16,6
255,16,7
17,17,Homestead
1776,17,Ozone-Pineview
1777,17,Chestnut Hill
1778,17,Fairfield Glade North
12,17,Grassy Cove
16,17,Tansi
2,17,Mayland
18,17,Dorton
13,17,Linary
1796,17,Crab Orchard Town Hall
14,17,Big Lick
19,17,Complex 2
1774,17,Rinnie
23,17,Pleasant Hill
22,17,Midway
21,17,Lantana
1775,17,Tabor
25,17,Bakers
24,17,Pomona
1773,17,Woody
1753,17,Fairfield Glade South
15,17,Vandever
20,17,Cornerstone Baptist Church
1772,17,Oak Hill
733,18,18-3
631,18,17-1
630,18,16-5
621,18,16-4
620,18,16-3
734,18,3-3
360,18,8-1
359,18,7-6
358,18,7-5
618,18,16-1
732,18,18-2
619,18,16-2
632,18,17-2
342,18,7-3
634,18,17-4
418,18,3-2
417,18,3-1
688,18,14-1
687,18,13-4
706,18,14-4
707,18,14-5
686,18,13-3
681,18,13-2
680,18,13-1
679,18,12-5
461,18,4-1
462,18,4-2
463,18,4-3
464,18,4-4
473,18,5-1
474,18,5-2
475,18,5-3
476,18,5-4
671,18,12-4
670,18,17-7
669,18,17-6
668,18,17-5
730,18,15-1
731,18,18-1
343,18,7-4
498,18,2-4
499,18,2-5
500,18,20-1
501,18,20-2
633,18,17-3
704,18,14-2
705,18,14-3
340,18,7-1
65,18,10-6
66,18,11-1
304,18,8-2
303,18,6-3
302,18,6-2
301,18,6-1
67,18,11-2
100,18,12-2
161,18,1-4
144,18,12-1
341,18,7-2
562,18,19-1
563,18,19-2
293,18,5-5
564,18,19-3
573,18,2-1
565,18,19-4
101,18,12-3
572,18,19-6
571,18,19-5
102,18,1-1
103,18,1-2
104,18,1-3
127,18,10-2
128,18,10-3
143,18,11-4
609,18,15-2
162,18,1-5
142,18,11-3
324,18,9-1
612,18,15-5
64,18,10-5
611,18,15-4
163,18,10-1
26,18,10-4
336,18,3-4
756,18,18-4
757,18,18-5
758,18,2-2
759,18,2-3
610,18,15-3
313,18,8-4
312,18,8-3
337,18,3-5
338,18,3-6
339,18,6-5
523,18,20-3
524,18,21-1
327,18,6-4
325,18,9-2
689,19,24-1
682,19,23-3
683,19,23-4
438,19,34-5
692,19,24-4
691,19,24-3
690,19,24-2
551,19,22-1
437,19,34-3
684,19,23-5
603,19,25-3
457,19,35-3
613,19,26-2
614,19,26-3
615,19,26-4
622,19,27-1
623,19,27-2
624,19,27-3
525,19,21-2
605,19,26-1
635,19,22-2
604,19,25-4
636,19,22-3
591,19,25-2
590,19,25-1
637,19,22-4
589,19,24-6
574,19,24-5
672,19,23-1
673,19,23-2
458,19,35-4
456,19,35-2
256,19,31-4
549,19,21-3
708,19,28-1
550,19,21-4
376,19,31-2
355,19,30-1
374,19,30-4
1706,19,33-1
709,19,28-2
356,19,30-2
414,19,29-2
415,19,29-3
416,19,29-4
388,19,29-1
387,19,28-3
375,19,31-1
258,19,32-2
386,19,31-3
292,19,34-2
275,19,32-3
276,19,32-4
277,19,33-3
278,19,34-4
257,19,32-1
287,19,33-2
279,19,35-1
291,19,34-1
357,19,30-3
288,19,33-4
326,19,9-3
366,20,6-1 Parsons
378,20,3-1 Beacon
363,20,3-2 Decaturville
362,20,4-1 Decaturville
361,20,2-2 Scotts Hill
377,20,9-1 Beacon
371,20,7-2 Perryville
364,20,1-1 Dunbar
367,20,7-1 Jeanette
368,20,8-1 Parsons
369,20,9-2 Hydro
370,20,2-1 Liberty
365,20,5-1 Parsons
396,21,6-2 Keltonburg
394,21,4-2 Rock Castle
393,21,2-3 Snows Hill
395,21,5-1 Johnson Chapel
391,21,1-2 Temperence Hall
373,21,2-1 Liberty
392,21,2-2 Dowelltown
390,21,1-1 Alexandria
389,21,7-1 Church of Christ Annex
382,21,5-2 County Complex
381,21,4-3 Courthouse
380,21,6-3 Blue Springs
379,21,3-1 Church of God
397,21,6-1 Belk
372,21,1-3 Edgar Evins State Park
402,22,1-2 Sylvia Baptist Church
400,22,12-2 Greater Things Baptist Church
401,22,10-1 First Baptist Church
403,22,4-1 Jackson Chapel
404,22,2-2 TN City Fire Hall
405,22,12-1 White Bluff Community Center
406,22,9-1 Restoration Church
407,22,3-2 Vanleer Town Hall
419,22,8-1 Senior Citizens
420,22,1-1 Collier House
421,22,6-2 Porter Community Center
439,22,11-1 Tennsco Community Center
422,22,6-1 Burns Church of Christ
423,22,2-1 Eno Community Center
424,22,5-1 White Bluff Civic Center
399,22,3-1 Calvary Chapel
398,22,7-1 Pomona Baptist Church
427,23,J - N Dyersburg
426,23,D1 - Millsfield
434,23,I1 - Community Center
441,23,C1 - Tatumville
442,23,A1 - Bonicord
