,COUNTY,NAME
Clay,13,4-1 Maple Grove
Clay,13,5-1 Beech Bethany
Clay,13,1 Dentons Cross Roads
Clay,13,5-2 Pea Ridge
Clay,13,3 Celina
Clay,13,4-2 Butlers Landing
Clay,13,2 Hermitage Springs
Cocke,14,Long Creek
Cocke,14,Cocke County High
Cocke,14,Centerview
Cocke,14,Del Rio
Cocke,14,Smoky Mountain
Cocke,14,Newport Grammar
Cocke,14,Northport
Cocke,14,Grassy Fork
Cocke,14,Edwina
Cocke,14,Cosby
Cocke,14,Armory
Cocke,14,Edgemont
Cocke,14,Forest Hill
Cocke,14,West End
Cocke,14,Bridgeport
Cocke,14,Houston Valley
Cocke,14,Parrottsville
Cocke,14,Rankin
Cocke,14,Central
Coffee,15,16 Lions Club
Coffee,15,05 Hillsboro Community Center
Coffee,15,06 Tennessee Vocational Center
Coffee,15,07 Forrest Mill Church of Christ Activity Center
Coffee,15,15 Grace Baptist Church
Coffee,15,18 First Christian Church
Coffee,15,19 CD Stamps Center
Coffee,15,08 New Union Fire Hall
Coffee,15,9-1 Pocahontas Community Center
Coffee,15,9-2 Summitville Community Center
Coffee,15,13-2 Grace Baptist Center
Coffee,15,17 National Guard Armory
Coffee,15,02 Saint Paul United Methodist Church
Coffee,15,20 Coffee County Senior Citizens
Coffee,15,21 Wilson Avenue Church of Christ
Coffee,15,04 First Baptist Church
Coffee,15,03 Trinity Baptist Church
Coffee,15,01 Ada Right Center
Coffee,15,10 Mt. Ararat Baptist Church
Coffee,15,11 Freedonia Community Center
Coffee,15,12 North Coffee Elementary School
Coffee,15,13-1 Blanton's Chapel Community Center
Coffee,15,14 Hickerson Fire Hall
Crockett,16,8
Crockett,16,6
Crockett,16,4
Crockett,16,1
Crockett,16,2
Crockett,16,11
Crockett,16,12
Crockett,16,5
Crockett,16,3
Crockett,16,9
Crockett,16,10
Crockett,16,7
Cumberland,17,Mayland
Cumberland,17,Rinnie
Cumberland,17,Woody
Cumberland,17,Oak Hill
Cumberland,17,Crab Orchard Town Hall
Cumberland,17,Fairfield Glade North
Cumberland,17,Chestnut Hill
Cumberland,17,Ozone-Pineview
Cumberland,17,Grassy Cove
Cumberland,17,Linary
Cumberland,17,Big Lick
Cumberland,17,Vandever
Cumberland,17,Tansi
Cumberland,17,Homestead
Cumberland,17,Dorton
Cumberland,17,Complex 2
Cumberland,17,Cornerstone Baptist Church
Cumberland,17,Lantana
Cumberland,17,Midway
Cumberland,17,Pleasant Hill
Cumberland,17,Pomona
Cumberland,17,Bakers
Cumberland,17,Tabor
Cumberland,17,Fairfield Glade South
Davidson,18,4-Oct
Davidson,18,5-Oct
Davidson,18,6-Oct
Davidson,18,1-Nov
Davidson,18,2-Nov
Davidson,18,2-Dec
Davidson,18,3-Dec
Davidson,18,1-Jan
Davidson,18,2-Jan
Davidson,18,3-Jan
Davidson,18,2-Oct
Davidson,18,3-Oct
Davidson,18,3-Nov
Davidson,18,4-Nov
Davidson,18,1-Dec
Davidson,18,4-Jan
Davidson,18,5-Jan
Davidson,18,1-Oct
Davidson,18,5-May
Davidson,18,1-Jun
Davidson,18,2-Jun
Davidson,18,3-Jun
Davidson,18,2-Aug
Davidson,18,3-Aug
Davidson,18,4-Aug
Davidson,18,1-Sep
Davidson,18,2-Sep
Davidson,18,3-Sep
Davidson,18,4-Jun
Davidson,18,4-Mar
Davidson,18,5-Mar
Davidson,18,6-Mar
Davidson,18,5-Jun
Davidson,18,1-Jul
Davidson,18,2-Jul
Davidson,18,3-Jul
Davidson,18,4-Jul
Davidson,18,5-Jul
Davidson,18,6-Jul
Davidson,18,1-Aug
Davidson,18,1-Mar
Davidson,18,2-Mar
Davidson,18,1-Apr
Davidson,18,2-Apr
Davidson,18,3-Apr
Davidson,18,4-Apr
Davidson,18,1-May
Davidson,18,2-May
Davidson,18,3-May
Davidson,18,4-May
Davidson,18,4-Feb
Davidson,18,5-Feb
Davidson,18,20-1
Davidson,18,20-2
Davidson,18,20-3
Davidson,18,21-1
Davidson,18,19-1
Davidson,18,19-2
Davidson,18,19-3
Davidson,18,19-4
Davidson,18,19-5
Davidson,18,19-6
Davidson,18,1-Feb
Davidson,18,15-2
Davidson,18,15-3
Davidson,18,15-4
Davidson,18,15-5
Davidson,18,16-1
Davidson,18,16-2
Davidson,18,16-3
Davidson,18,16-4
Davidson,18,16-5
Davidson,18,17-1
Davidson,18,17-2
Davidson,18,17-3
Davidson,18,17-4
Davidson,18,17-5
Davidson,18,17-6
Davidson,18,17-7
Davidson,18,4-Dec
Davidson,18,5-Dec
Davidson,18,13-1
Davidson,18,13-2
Davidson,18,13-3
Davidson,18,13-4
Davidson,18,14-1
Davidson,18,14-2
Davidson,18,14-3
Davidson,18,14-4
Davidson,18,14-5
Davidson,18,15-1
Davidson,18,18-1
Davidson,18,18-2
Davidson,18,18-3
Davidson,18,3-Mar
Davidson,18,18-4
Davidson,18,18-5
Davidson,18,2-Feb
Davidson,18,3-Feb
Davidson,19,31-4
Davidson,19,32-1
Davidson,19,32-2
Davidson,19,32-3
Davidson,19,32-4
Davidson,19,33-3
Davidson,19,34-4
Davidson,19,35-1
Davidson,19,33-2
Davidson,19,33-4
Davidson,19,34-1
Davidson,19,34-2
Davidson,19,30-1
Davidson,19,30-2
Davidson,19,30-3
Davidson,19,30-4
Davidson,19,31-1
Davidson,19,31-2
Davidson,19,31-3
Davidson,19,28-3
Davidson,19,29-1
Davidson,19,29-2
Davidson,19,29-3
Davidson,19,29-4
Davidson,19,34-3
Davidson,19,34-5
Davidson,19,35-2
Davidson,19,35-3
Davidson,19,35-4
Davidson,19,21-2
Davidson,19,21-3
Davidson,19,21-4
Davidson,19,22-1
Davidson,19,24-5
Davidson,19,24-6
Davidson,19,25-1
Davidson,19,25-2
Davidson,19,25-3
Davidson,19,25-4
Davidson,19,26-1
Davidson,19,26-2
Davidson,19,26-3
Davidson,19,26-4
Davidson,19,27-1
Davidson,19,27-2
Davidson,19,27-3
Davidson,19,22-2
Davidson,19,22-3
Davidson,19,22-4
Davidson,19,23-1
Davidson,19,23-2
Davidson,19,23-3
Davidson,19,23-4
Davidson,19,23-5
Davidson,19,24-1
Davidson,19,24-2
Davidson,19,24-3
Davidson,19,24-4
Davidson,19,28-1
Davidson,19,28-2
Davidson,19,33-1
Decatur,20,2-2 Scotts Hill
Decatur,20,4-1 Decaturville
Decatur,20,3-2 Decaturville
Decatur,20,1-1 Dunbar
Decatur,20,5-1 Parsons
Decatur,20,6-1 Parsons
Decatur,20,7-1 Jeanette
Decatur,20,8-1 Parsons
Decatur,20,9-2 Hydro
Decatur,20,2-1 Liberty
Decatur,20,7-2 Perryville
Decatur,20,9-1 Beacon
Decatur,20,3-1 Beacon
DeKalb,21,1-3 Edgar Evins State Park
DeKalb,21,2-1 Liberty
DeKalb,21,3-1 Church of God
DeKalb,21,6-3 Blue Springs
DeKalb,21,4-3 Courthouse
DeKalb,21,5-2 County Complex
DeKalb,21,7-1 Church of Christ Annex
DeKalb,21,1-1 Alexandria
DeKalb,21,1-2 Temperence Hall
DeKalb,21,2-2 Dowelltown
DeKalb,21,2-3 Snows Hill
DeKalb,21,4-2 Rock Castle
DeKalb,21,5-1 Johnson Chapel
DeKalb,21,6-2 Keltonburg
DeKalb,21,6-1 Belk
Dickson,22,7-1 Pomona Baptist Church
Dickson,22,3-1 Calvary Chapel
Dickson,22,12-2 Greater Things Baptist Church
Dickson,22,10-1 First Baptist Church
Dickson,22,1-2 Sylvia Baptist Church
Dickson,22,4-1 Jackson Chapel
Dickson,22,2-2 TN City Fire Hall
Dickson,22,12-1 White Bluff Community Center
Dickson,22,9-1 Restoration Church
Dickson,22,3-2 Vanleer Town Hall
Dickson,22,8-1 Senior Citizens
Dickson,22,1-1 Collier House
Dickson,22,6-2 Porter Community Center
Dickson,22,6-1 Burns Church of Christ
Dickson,22,2-1 Eno Community Center
Dickson,22,5-1 White Bluff Civic Center
Dickson,22,11-1 Tennsco Community Center
Dyer,23,I - Hurricane Hill
Dyer,23,D - Millsfield
Dyer,23,J-N Dyersburg
Dyer,23,E - Lenox
Dyer,23,D - Bogota
Dyer,23,B - Newbern
Dyer,23,E - Finley
Dyer,23,A - Fowlkes
Dyer,23,H - E. Dyersburg
Dyer,23,I - Community Center
Dyer,23,G - Courthouse
Dyer,23,C - Tatumville
Dyer,23,A - Bonicord
Dyer,23,C - Trimble
Dyer,23,F - Dyer County Central
Dyer,23,C - Roellen
Fayette,24,10 Rossville
Fayette,24,12 Williston
Fayette,24,8 Elba
Fayette,24,1 Somerville
Fayette,24,4 Braden
Fayette,24,14 Parks
Fayette,24,13 Moscow
Fayette,24,9 Piperton
Fayette,24,3 Garnett
Fayette,24,15 La Grange
Fayette,24,5 Gallaway
Fayette,24,6 Oakland
Fayette,24,7 Hickory Withe
Fayette,24,2 Fayette Corner
Fayette,24,11 Macon
Fentress,25,Courthouse
Fentress,25,Pine Haven
Fentress,25,Crossroads
Fentress,25,Allardt
Fentress,25,Grimsley
Fentress,25,West Fentress
Fentress,25,Community Center
Fentress,25,Pall Mall
Fentress,25,East Jamestown
Fentress,25,Armathwaite
Fentress,25,Banner Springs
Fentress,25,Tinchtown
Fentress,25,Clarkrange
Franklin,26,5-3 Sherwood
Franklin,26,7-1 North Lake
Franklin,26,1-1 FC Annex
Franklin,26,8-1 Decherd
Franklin,26,6-3 UTSI
Franklin,26,6-2 Capitol Hill
Franklin,26,4-2 Cowan
Franklin,26,3-3 Walnut Grove
Franklin,26,7-2 Winchester Springs & Center Grove
Franklin,26,8-2 Estill Springs
Franklin,26,6-1 Alto/Oak Grove
Franklin,26,3-1 Broadview
Franklin,26,3-2 Huntland
Franklin,26,5-1 Keith Springs
Franklin,26,2-1 Clark Memorial
Franklin,26,4-3 Liberty
Franklin,26,4-1 Belvidere
Franklin,26,5-2 Sewanee
Gibson,27,06 Humboldt Ch of Chr
Gibson,27,02 Sitka Community Center
Gibson,27,22 Agri Plex
Gibson,27,28 Milan CPC
Gibson,27,26 Union Central
Gibson,27,37 Good Luck
Gibson,27,32 Bradford
Gibson,27,30 Milan Assembly/God
Gibson,27,29 Milan Polk Clark
Gibson,27,31 Milan Muni Bldg
Gibson,27,09 Humboldt Lane Chapel
Gibson,27,27 Skullbone
Gibson,27,34 Laneview
Gibson,27,14 Brazil
Gibson,27,12 Edison
Gibson,27,20 CourtHouse
Gibson,27,38 Dyer
Gibson,27,39 Currie
Gibson,27,17 Yorkville
Gibson,27,40 Rutherford
Gibson,27,13 Fruitland
Gibson,27,08 St. James Baptist Church
Gibson,27,07 Humboldt Bailey Park
Gibson,27,04 Gibson
Gibson,27,24 Moore's Chapel
Gibson,27,01 Medina
Gibson,27,18 Kenton
Gibson,27,10 Humboldt High School
Giles,28,1B Prospect
Giles,28,2B Airport
Giles,28,2A Minor Hill
Giles,28,1A Ardmore
Giles,28,3A Richland Trace Market
Giles,28,3B Campbellsville
Giles,28,4A Lynnville
Giles,28,4B Odds Fellows Hall
Giles,28,5A TCAT
Giles,28,5B Agri-Park
Giles,28,6A MMC Martin Methodist College
Giles,28,6B BMS Bridgeforth Middle School
Giles,28,7A GCHS Giles County High School
Giles,28,7B Recreation Center
Grainger,29,3-1 Blaine City Hall
Grainger,29,2-2 Grainger High School
Grainger,29,1-1 Rutledge Middle School
Grainger,29,4-2 Washburn Ele. School
Grainger,29,1-2 Old Central Point School
Grainger,29,5-1 Bean Station Library
Grainger,29,4-1 Thorn Hill Comm. Blg.
Grainger,29,2-1 Bean Station Ele. School
Grainger,29,3-2 Indian Ridge Comm. Blg.
Grainger,29,5-2 Senior Citizens Center
Greene,30,South Greene
Greene,30,Baileyton
Greene,30,Chuckey Doak
Greene,30,Chuckey
Greene,30,Mosheim
Greene,30,Ottway
Greene,30,Nolachuckey
Greene,30,Tusculum View
Greene,30,Middle School
Greene,30,McDonald
