,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI,COUNTYFP
65,Blount,Fairview,1196,329.0,30.0,4.0,5.0,1.0,2.0,9.0,009
66,Blount,Friendsville,855,176.0,27.0,7.0,6.0,0.0,0.0,5.0,009
67,Blount,Happy Valley,59,14.0,3.0,0.0,0.0,0.0,0.0,0.0,009
68,Blount,Heritage,1184,261.0,27.0,3.0,2.0,1.0,2.0,6.0,009
69,Blount,John Sevier,1343,525.0,77.0,15.0,16.0,2.0,4.0,13.0,009
70,Blount,Lanier,1128,222.0,27.0,11.0,12.0,1.0,2.0,7.0,009
71,Blount,Louisville,1087,370.0,60.0,5.0,9.0,3.0,1.0,4.0,009
72,Blount,Martin Luther King,346,507.0,22.0,6.0,3.0,0.0,3.0,2.0,009
73,Blount,Maryville College,574,352.0,46.0,14.0,5.0,1.0,2.0,9.0,009
74,Blount,Maryville HS,1636,764.0,99.0,14.0,13.0,5.0,5.0,20.0,009
75,Blount,Maryville Jr High,1230,637.0,109.0,18.0,4.0,3.0,4.0,20.0,009
76,Blount,Maryville Municipal,1114,480.0,64.0,21.0,10.0,2.0,2.0,8.0,009
77,Blount,Mentor,333,139.0,9.0,3.0,1.0,0.0,0.0,0.0,009
78,Blount,Middlesettlements,328,78.0,8.0,1.0,4.0,1.0,1.0,1.0,009
79,Blount,Miser Station,883,291.0,40.0,7.0,2.0,0.0,1.0,7.0,009
80,Blount,Montvale,2589,657.0,101.0,13.0,19.0,4.0,4.0,6.0,009
81,Blount,Oak Street,1100,300.0,45.0,11.0,7.0,3.0,5.0,8.0,009
82,Blount,Oakview,1461,319.0,45.0,8.0,3.0,1.0,1.0,7.0,009
83,Blount,Pellissippi Campus,518,117.0,18.0,2.0,1.0,1.0,1.0,5.0,009
84,Blount,Porter,1169,259.0,44.0,6.0,8.0,2.0,0.0,7.0,009
85,Blount,Prospect,1286,270.0,39.0,7.0,8.0,1.0,6.0,8.0,009
86,Blount,Rockford,898,377.0,36.0,13.0,6.0,1.0,2.0,12.0,009
87,Blount,Townsend,1021,336.0,35.0,6.0,11.0,6.0,2.0,9.0,009
88,Blount,Walland,591,151.0,16.0,2.0,6.0,1.0,0.0,2.0,009
89,Blount,William Blount HS,954,238.0,47.0,3.0,6.0,4.0,2.0,5.0,009
90,Blount,Wm Blount Academy,2889,614.0,114.0,18.0,11.0,5.0,3.0,18.0,009
91,Bradley,1-1 McDonald,1122,195.0,39.0,6.0,5.0,1.0,1.0,0.0,011
92,Bradley,1-2 Prospect,2653,528.0,99.0,15.0,19.0,1.0,5.0,13.0,011
93,Bradley,1-3 Hopewell,1824,321.0,39.0,10.0,3.0,2.0,0.0,3.0,011
94,Bradley,2-1 E.L. Ross,3208,749.0,119.0,15.0,15.0,4.0,6.0,12.0,011
95,Bradley,2-2 Walker Valley,2275,497.0,82.0,15.0,6.0,2.0,4.0,4.0,011
96,Bradley,3-1 Lee University,998,518.0,79.0,23.0,8.0,5.0,3.0,11.0,011
97,Bradley,3-2 Senior Center,2259,626.0,95.0,15.0,16.0,7.0,11.0,11.0,011
98,Bradley,4-1 Oak Grove,1998,310.0,62.0,11.0,8.0,3.0,4.0,3.0,011
99,Bradley,4-2 Michigan Ave,2472,472.0,73.0,13.0,8.0,4.0,3.0,6.0,011
100,Bradley,5-1 Blythe/Bower,1736,454.0,65.0,10.0,2.0,0.0,5.0,5.0,011
101,Bradley,5-2 Museum,646,334.0,32.0,8.0,7.0,1.0,0.0,5.0,011
