,unique_ID
1985,Anderson-Clinton Middle
1986,Anderson-Lake City MS
1987,Anderson-Oak Ridge
1988,Bedford-1-1 Wartrace
1989,Bedford-1-2 Bell Buckle
1990,Bedford-2-3 Fair Haven
1991,Bedford-3-3 Unionville
1992,Bedford-4-3 Bedford
1993,Bedford-5-2 Flat Creek
1994,Bedford-5-5 Normandy
1995,Bedford-6-1 East Side
1996,Bedford-7-1 Deery Eakin
1997,Bedford-8-1 Thomas
1998,Bedford-9-2 Southside
1999,Benton-1 Holladay
2000,Benton-4 Camden Elementary
2001,Benton-5 Library
2002,Benton-6 Big Sandy
2003,Bledsoe-1-1 Dill
2004,Bledsoe-1-2 Griffith
2005,Bledsoe-1-3 Mt. Crest
2006,Bledsoe-2-1 Cold Springs
2007,Bledsoe-2-2 Luminary
2008,Bledsoe-3-1 Brayton
2009,Bledsoe-3-2 Rigsby
2010,Bledsoe-4-1 Pikeville
2011,Bledsoe-5-1 Bellview
2012,Bledsoe-5-2 Nine Mile
2013,Bledsoe-6-1 Lee Station
2014,Bledsoe-6-2 Lusk
2015,Blount-Alcoa
2016,Blount-Eagleton MS Cafeteria
2017,Blount-Maryville HS
2018,Blount-Maryville Jr High
2019,Blount-Oakview
2020,Blount-William Blount HS
2021,Blount-Wm Blount Academy
2022,Bradley-1-1 McDonald
2023,Bradley-1-2 Prospect
2024,Bradley-1-3 Hopewell
2025,Bradley-2-1 E.L. Ross
2026,Bradley-2-2 Walker Valley
2027,Bradley-3-1 Lee University
2028,Bradley-3-2 Senior Center
2029,Bradley-4-1 Oak Grove
2030,Bradley-4-2 Michigan Ave
2031,Bradley-5-1 Blythe/Bower
2032,Bradley-5-2 Museum
2033,Bradley-6-1 Valley View
2034,Bradley-6-2 Blue Springs
2035,Bradley-6-3 Waterville
2036,Bradley-6-4 Black Fox
2037,Bradley-7-1 Stuart
2038,Bradley-7-2 Cleveland High
2039,Campbell-1-1 Alder Springs
2040,Campbell-1-2 Demory
2041,Campbell-1-3 Pinecrest
2042,Campbell-1-4 Valley View
2043,Campbell-1-5 Well Springs
2044,Campbell-2-1 College Hill
2045,Campbell-2-2 East LaFollette
2046,Campbell-2-3 LaFollette ES
2047,Campbell-3-1 CCHS
2048,Campbell-3-2 Jacksboro Sta
2049,Campbell-3-3 West LaFollette
2050,Campbell-4-1 Caryville
2051,Campbell-4-2 Clinchmore
2052,Campbell-4-3 Jacksboro
2053,Campbell-4-4 Ridgewood
2054,Campbell-5-1 Elk Valley
2055,Campbell-5-2 Habersham
2056,Campbell-5-3 Jellico
2057,Campbell-5-4 Newcomb
2058,Campbell-5-5 White Oak
2059,Cannon-1-1 Westside
2060,Cannon-2-1 Auburntown
2061,Cannon-2-2 Gassaway
2062,Cannon-2-3 Pleasant Ridge
2063,Cannon-2-4 Short Mountain
2064,Cannon-3-2 Woodland
2065,Cannon-4-1 Eastside
2066,Cannon-4-2 Short Mountain
2067,Cannon-5-1 Woodbury
2068,Carroll-Lavinia
2069,Carroll-Trezevant
2070,Carroll-McLemoresville
2071,Carroll-Cedar Grove
2072,Carroll-Clarksburg
2073,Carroll-Macedonia
2074,Carroll-Civic Center
2075,Carroll-Huntingdon
2076,Carroll-Buena Vista
2077,Carroll-Bruceton
2078,Carroll-Hollow Rock
2079,Carroll-Vale
2080,Carroll-Atwood
2081,Carroll-Senior Citizens
2082,Carroll-Cannon
2083,Carroll-Concord
2084,Carroll-Westport
2085,Carroll-Bethel College
2086,Carroll-McKenzie
2087,Carter-National Guard
2088,Cheatham-1-1 County Library
2089,Cheatham-2-2 East Cheatham
2090,Cheatham-3-1 Pleasant View
2091,Cheatham-4-1 West Cheatham
2092,Cheatham-4-3 Sycamore
2093,Cheatham-5-1 Greenbrier
2094,Cheatham-5-2 Pegram
2095,Cheatham-6-1 Harpeth
2096,Chester-4-1 West Chester - City
2097,Chester-5-1 East Chester - City
2098,Claiborne-8-2 Vanbebber Sprngs
2099,Clay-1 Dentons Cross Road
2100,Coffee-1 Ada Wright CC
2101,Coffee-2 St Paul
2102,Coffee-3 Trinity
2103,Coffee-4 First Baptist
2104,Coffee-5 Hillsboro
2105,Coffee-6 TN Vocational Center
2106,Coffee-7 Forest Mill
2107,Coffee-8 New Union
2108,Coffee-9-1 Pocahontas
2109,Coffee-9-2 Summitville
2110,Coffee-10 Mt. Ararat
2111,Coffee-11 Fredonia
2112,Coffee-12 North Coffee
2113,Coffee-13-1 Blanton's Chapel
2114,Coffee-13-2 Grace Baptist
2115,Coffee-14 Hickerson
2116,Coffee-15 Grace Baptist
2117,Coffee-16 Lion's Club
2118,Coffee-18 First Christian
2119,Coffee-20 Sr Citizens Center
2120,Coffee-21 Wilson Ave
2121,Crockett-01
2122,Crockett-02
2123,Crockett-03
2124,Crockett-04
2125,Crockett-05
2126,Crockett-06
