,COUNTY,NAME
271,04,Happy Valley
272,04,Pellissippi Campus
273,04,Eagleton Cafeteria
274,04,Townsend
275,04,Oak View
276,15,04 First Baptist Church
277,15,03 Trinity Baptist Church
278,15,01 Ada Right Center
279,15,10 Mt. Ararat Baptist Church
280,15,11 Freedonia Community Center
281,15,12 North Coffee Elementary School
282,15,13-1 Blanton's Chapel Community Center
283,15,14 Hickerson Fire Hall
284,16,4
285,16,1
286,16,2
287,16,11
288,16,12
289,16,5
290,16,3
291,04,Rockford
292,04,Middlesettlements
293,04,Alcoa High School
294,04,Board of Education
295,04,Maryville Junior High
296,04,Mentor
297,04,Beech Grove
298,04,Oak Street
299,04,Maryville Municipal
300,04,Friendsville
301,16,9
302,16,10
303,16,7
304,19,31-4
305,19,32-1
306,19,32-2
307,25,Courthouse
308,26,5-3 Sherwood
309,26,7-1 North Lake
310,26,1-1 FC Annex
311,26,8-1 Decherd
312,26,6-3 UTSI
313,26,6-2 Capitol Hill
314,26,4-2 Cowan
315,26,3-3 Walnut Grove
316,26,7-2 Winchester Springs & Center Grove
317,26,8-2 Estill Springs
318,26,6-1 Alto/Oak Grove
319,26,3-1 Broadview
320,26,3-2 Huntland
321,26,5-1 Keith Springs
322,26,2-1 Clark Memorial
323,26,4-3 Liberty
324,19,32-3
325,19,32-4
326,19,33-3
327,19,34-4
328,19,35-1
329,27,06 Humboldt Ch of Chr
330,27,02 Sitka Community Center
331,27,22 Agri Plex
332,27,28 Milan CPC
333,27,26 Union Central
334,27,37 Good Luck
335,27,32 Bradford
336,19,33-2
337,19,33-4
338,27,30 Milan Assembly/God
339,27,29 Milan Polk Clark
340,19,34-1
341,19,34-2
342,18,05-5
343,27,31 Milan Muni Bldg
344,27,09 Humboldt Lane Chapel
345,27,27 Skullbone
346,27,34 Laneview
347,27,14 Brazil
348,27,12 Edison
349,27,20 CourtHouse
350,18,06-1
351,18,06-2
352,18,06-3
353,18,08-2
354,27,38 Dyer
355,27,39 Currie
356,27,17 Yorkville
357,27,40 Rutherford
358,27,13 Fruitland
359,27,08 St. James Baptist Church
360,27,07 Humboldt Bailey Park
361,18,08-3
362,18,08-4
363,27,04 Gibson
364,27,24 Moore's Chapel
365,27,01 Medina
366,27,18 Kenton
367,27,10 Humboldt High School
368,28,1B Prospect
369,28,2B Airport
370,28,2A Minor Hill
371,28,1A Ardmore
372,28,3A Richland Trace Market
373,18,09-1
374,18,09-2
375,18,09-3
376,18,06-4
377,28,3B Campbellsville
378,28,4A Lynnville
379,28,4B Odds Fellows Hall
380,28,5A TCAT
381,28,5B Agri-Park
382,28,6A MMC Martin Methodist College
383,28,6B BMS Bridgeforth Middle School
384,28,7A GCHS Giles County High School
385,18,03-4
386,18,03-5
387,18,03-6
388,18,06-5
389,18,07-1
390,18,07-2
391,18,07-3
392,18,07-4
393,28,7B Recreation Center
394,29,3-1 Blaine City Hall
395,29,2-2 Grainger High School
396,29,1-1 Rutledge Middle School
397,29,4-2 Washburn Ele. School
398,29,1-2 Old Central Point School
399,29,5-1 Bean Station Library
400,29,4-1 Thorn Hill Comm. Blg.
401,29,2-1 Bean Station Ele. School
402,29,3-2 Indian Ridge Comm. Blg.
403,29,5-2 Senior Citizens Center
404,30,South Greene
405,30,Baileyton
406,30,Chuckey Doak
407,30,Chuckey
408,30,Mosheim
409,30,Ottway
410,30,Nolachuckey
411,19,30-1
412,19,30-2
413,19,30-3
414,18,07-5
415,18,07-6
416,18,08-1
417,20,2-2 Scotts Hill
418,20,4-1 Decaturville
419,20,3-2 Decaturville
420,20,1-1 Dunbar
421,20,5-1 Parsons
422,20,6-1 Parsons
423,20,7-1 Jeanette
424,20,8-1 Parsons
425,20,9-2 Hydro
426,20,2-1 Liberty
427,20,7-2 Perryville
428,21,1-3 Edgar Evins State Park
429,21,2-1 Liberty
430,30,Tusculum View
431,30,Middle School
432,30,McDonald
433,30,Glenwood
434,30,Debusk
435,30,West Pines
436,30,Doak
437,30,High School
438,19,30-4
439,19,31-1
440,19,31-2
441,20,9-1 Beacon
442,20,3-1 Beacon
443,21,3-1 Church of God
444,21,6-3 Blue Springs
445,21,4-3 Courthouse
446,21,5-2 County Complex
447,30,Court House
448,30,Camp Creek
449,31,Central
450,31,Pelham
451,31,Altamont
452,31,Palmer
453,31,Coalmont
454,19,31-3
455,19,28-3
456,19,29-1
457,21,7-1 Church of Christ Annex
458,21,1-1 Alexandria
459,21,1-2 Temperence Hall
460,21,2-2 Dowelltown
461,21,2-3 Snows Hill
462,21,4-2 Rock Castle
463,21,5-1 Johnson Chapel
464,21,6-2 Keltonburg
465,21,6-1 Belk
466,22,7-1 Pomona Baptist Church
467,22,3-1 Calvary Chapel
468,22,12-2 Greater Things Baptist Church
469,22,10-1 First Baptist Church
470,22,1-2 Sylvia Baptist Church
471,22,4-1 Jackson Chapel
472,22,2-2 TN City Fire Hall
473,22,12-1 White Bluff Community Center
474,22,9-1 Restoration Church
475,22,3-2 Vanleer Town Hall
476,31,Cross Roads
477,31,Collins
478,31,Hubbard's Cove
479,31,Gruetli
480,31,Tarlton
481,31,Beersheba
482,31,Tracy
483,32,11-2
484,32,11-1
485,19,29-2
486,19,29-3
487,19,29-4
488,18,03-1
489,18,03-2
490,22,8-1 Senior Citizens
491,22,1-1 Collier House
492,22,6-2 Porter Community Center
493,22,6-1 Burns Church of Christ
494,22,2-1 Eno Community Center
495,22,5-1 White Bluff Civic Center
496,23,I - Hurricane Hill
497,23,D - Millsfield
498,23,J-N Dyersburg
499,23,E - Lenox
500,23,D - Bogota
501,23,B - Newbern
502,23,E - Finley
503,23,A - Fowlkes
504,23,H - E. Dyersburg
505,23,I - Community Center
506,32,4-1
507,32,1-1
508,19,34-3
509,19,34-5
510,22,11-1 Tennsco Community Center
511,23,G - Courthouse
512,23,C - Tatumville
513,23,A - Bonicord
514,32,2-1
515,32,3-1
516,32,5-1
517,32,6-1
518,32,7-1
519,32,8-1
520,32,9-1
521,32,9-2
522,32,10-1
523,32,10-2
524,32,12-1
525,32,13-1
526,32,14-1
527,19,35-2
528,19,35-3
529,19,35-4
530,23,C - Trimble
531,23,F - Dyer County Central
532,18,04-1
533,18,04-2
534,18,04-3
535,18,04-4
536,23,C - Roellen
537,24,10 Rossville
538,24,12 Williston
539,24,8 Elba
540,24,1 Somerville
541,24,4 Braden
542,24,14 Parks
543,24,13 Moscow
544,18,05-1
545,18,05-2
546,18,05-3
547,18,05-4
548,24,9 Piperton
549,24,3 Garnett
550,24,15 La Grange
551,24,5 Gallaway
552,24,6 Oakland
553,24,7 Hickory Withe
554,24,2 Fayette Corner
555,24,11 Macon
556,25,Pine Haven
557,25,Crossroads
558,25,Allardt
559,25,Grimsley
560,25,West Fentress
561,25,Community Center
562,25,Pall Mall
563,25,East Jamestown
564,25,Armathwaite
565,25,Banner Springs
566,25,Tinchtown
567,25,Clarkrange
568,26,4-1 Belvidere
569,26,5-2 Sewanee
570,48,33 Richard Yoakley
571,48,74 Shannondale
572,48,61 Halls
573,48,59 Brickey
574,48,72 Dante
575,48,56 Heiskell
576,48,58S Pedigo
577,48,73 Powell
578,48,19W Thrive Lonsdale
579,18,02-4
580,18,02-5
581,18,20-1
582,18,20-2
583,41,3-2 Springville
584,42,02-3 East Bank
585,42,07-4 Coble
586,42,06-1 Justice Center
587,42,07-1 Nunnelly
588,42,01-2 Pinewood
589,42,03-1 East Community Center
590,42,07-2 Pleasantville
591,42,05-1 Mt. Pleasant
592,43,Erin Elementary School
593,43,Erin City Hall
594,43,Arlington Sr. Citizens Cntr
595,43,Houston Co. Middle School
596,43,Griffin Chapel Church
597,43,Stewart Community Center
598,44,5-6 Wildwood
599,44,1-1 Jera Building
600,48,58N Pedigo
601,48,69E Bluegrass
602,48,70E Amherst
603,48,23 Westview
604,18,20-3
605,18,21-1
606,19,21-2
607,43,Tennessee Ridge
608,44,3-4 MLEC
609,44,2-3 WFCN
610,44,4-5 NJMC
611,44,6-7 South McEwen
612,44,7-8 North McEwen
613,44,1-2 Compassion Church
614,45,5-2
615,45,1-2
616,45,6-2
617,45,4-2
618,45,6-1
619,45,2-2
620,45,3-2
621,45,4-1
622,45,5-1
623,45,1-1
624,45,3-1
625,45,2-1
626,46,7 New Market
627,46,3 White Pine
628,46,2 Piedmont
629,46,4 Jefferson ES
630,48,69W A. L. Lotts
631,19,21-3
632,19,21-4
633,19,22-1
634,46,10 Jeff City Fire Dept
635,46,9 Talbott School
636,46,8-2 Swannsylvania
637,46,5 Jefferson Middle
638,46,6 Rush Strong
639,46,1 Dandridge ES
640,46,8-1 Chestnut Hill
641,47,5 Doe Valley
642,47,1B Cold Springs
643,47,3B Neva
644,47,2 Forge/Shouns
645,47,4B Butler
646,47,3A Trade
647,47,6 Shady
648,47,1A Laurel
649,47,4A Dry Run
650,48,50S West High
651,48,09 Eternal Life Harvest
652,48,10N Fort Sanders
653,18,19-1
654,18,19-2
655,18,19-3
656,18,19-4
657,47,7 City
658,48,10W Howard Baker Center
659,48,48 Pond Gap
660,48,12 Eastport
661,48,15 John T. O'Connor
662,48,30 Sarah Moore Greene
663,18,19-5
664,18,19-6
665,18,02-1
666,19,24-5
667,48,39 Inskip Rec Center
668,48,41 Norwood
669,48,40 Norwood
670,48,80 Corryton
671,48,85 Skaggston
672,48,86 Carter
673,48,82 Ellistown
674,48,87 Thorngrove
675,48,76 Sunnyview
676,48,78 Riverdale
677,48,79 Dora Kennedy
678,48,77 Ramsey
679,48,31 Chilhowee
680,48,13 Fair Garden
681,19,24-6
682,19,25-1
683,19,25-2
684,48,19E Thrive Lonsdale
685,48,92 Gap Creek
686,48,93 Hopewell
687,48,90 South Doyle
688,48,27 South Knox
689,48,89 Mt. Olive
690,48,25 South Knox CC
691,48,29 Anderson
692,48,71 Rocky Hill
693,48,69S Northshore
694,48,06 Green School
695,48,20 Beaumont
696,19,25-3
697,19,25-4
698,19,26-1
699,48,10S Howard Baker Center
700,48,42 Pleasant Ridge
701,48,43 West Haven
702,18,15-2
703,18,15-3
704,18,15-4
705,18,15-5
706,19,26-2
707,19,26-3
708,19,26-4
709,48,50N West High
710,48,24Q Sequoyah Hills
711,18,16-1
712,18,16-2
713,18,16-3
714,18,16-4
715,19,27-1
716,19,27-2
717,19,27-3
718,35,5th
719,35,3rd
720,35,2nd
721,48,49 Bearden Elementary
722,48,51 Deane Hill Rec Ctr
723,18,16-5
724,18,17-1
725,18,17-2
726,18,17-3
727,18,17-4
728,19,22-2
729,19,22-3
730,19,22-4
731,35,4th
732,35,6th
733,35,7th
734,35,1st
735,36,Middleton
736,36,Toone
737,36,Whiteville
738,36,Saulsbury
739,36,Dixie Hills
740,36,Silerton
741,36,West Bolivar
742,36,Hornsby
743,36,Grand Junction
744,36,Bolivar
745,36,Hickory Valley
746,36,Pocahontas
747,36,Lacy
748,37,8 North
749,37,2 Nixon
750,37,9 Library
751,37,7 Walnut Grove
752,37,6 Rhodes
753,37,4 Crump
754,37,5 Morris Chapel
755,48,47 Bearden High
756,48,46 1st Nazarene
757,48,62 Hardin Valley
758,48,64 Solway
759,48,70W Ball Camp
760,48,67 North Cedar Bluff
761,48,45 Bearden Middle
762,48,63 Karns
763,48,63N Karns North
764,18,17-5
765,18,17-6
766,18,17-7
767,18,12-4
768,19,23-1
769,19,23-2
770,37,5 Saltillo
771,37,1 Olivet
772,37,10 Fairground
773,37,3 Counce
774,37,4 Shiloh
775,37,7 Whites
776,37,3 Southside
777,37,2 Walkers
778,37,1 Airport
779,37,6 Olive Hill
780,37,6 Cerro Gordo
781,38,1 Allandale Inside
782,38,1 Allandale Outside
783,38,1 Mount Carmel
784,38,2 Church Hill Inside
785,38,2 Church Hill Outside
786,38,2 McPheeter's Bend
787,38,3 Carter's Valley
788,38,3 Wallace
789,38,3 Watterson
790,38,4 Dykes
791,38,4 Kepler
792,38,4 Rogersville North Outside
793,48,69N West Valley
794,18,12-5
795,18,13-1
796,18,13-2
797,19,23-3
798,19,23-4
799,19,23-5
800,38,4 Surgoinsville Outside
801,38,4 Upper Beech
802,38,5 Rogersville North Inside
803,38,5 Rogersville South Inside
804,38,5 Rogersville South Outside
805,38,6 Alumwell
806,38,6 Choptack
807,38,6 Clinch
808,38,4 Surgoinsville Inside
809,38,6 Mooresburg
810,48,65N Concord North
811,48,68 South Cedar Bluff
812,18,13-3
813,18,13-4
814,18,14-1
815,19,24-1
816,19,24-2
817,19,24-3
818,19,24-4
819,38,7 Bulls Gap Inside
820,38,7 Bulls Gap Outside
821,38,7 St. Clair
822,38,7 Cherokee
823,39,10 Haywood Junior High
824,39,07 Delta Heritage Center
825,39,03 Jefferson Court Community Building
826,39,02 Parks & Recreation Dept
827,39,04 Chamber Basement
828,39,09B West Side Church of Christ
829,39,06 Wyatt-Duke National Guard Armory
830,39,05 Tibbs Fire Station
831,39,09A Stanton City Hall
832,48,68E East Cedar Bluff
833,48,55 Lonas
834,18,14-2
835,18,14-3
836,18,14-4
837,18,14-5
838,19,28-1
839,19,28-2
840,39,01 Christ Temple Apostolic Church
841,39,08 Douglas Community Center
842,40,1-1 Bargerton
843,40,1-2 Beaver
844,40,6-1 Broad Street
845,40,5-1 TN Technology Center
846,40,2-1 Westover
847,40,3-2 Fire Station #10
848,40,3-4 Pin Oak Fire Station #4
849,40,3-3 Darden
850,40,7-3 Scotts Hill
851,40,7-2 Reagan
852,40,4-1 Civic Center
853,40,3-1 Christian Chapel
854,40,2-2 South Haven
855,48,44 Ridgedale
856,48,84 Ritta
857,48,26 Dogwood
858,48,57 Hills
859,48,60 Fort Sumter
860,48,81 Gibbs
861,48,18 Lincoln Park
862,18,15-1
863,18,18-1
864,18,18-2
865,18,18-3
866,18,03-3
867,40,7-1 Middleburg
868,40,7-4 Sardis
869,41,2-3 Oakland
870,41,1-1 Puryear
871,41,2-2 Mansfield
872,41,3-3 Jones Chapel
873,41,4-2 City Hall
874,41,5-1 HC High School
875,41,1-2 Cottage Grove
876,41,1-3 Buchanan
877,41,2-1 Henry
878,41,3-1 Russwood
879,42,02-2 Fairfield
880,42,05-3 Shady Grove
881,42,04-1 Lake Benson Camp
882,42,01-1 Nunnelly
883,42,07-3 Brushy
884,42,05-2 Middle School
885,48,37 Inskip Elementary
886,48,36 Gresham
887,48,35 Shannondale
888,18,18-4
889,18,18-5
890,18,02-2
891,18,02-3
892,41,5-2 Vo-Tech
893,41,4-1 Grove
894,48,34 Fountain City Library
895,48,16 Larry Cox Sr Center
896,76,4-3 Oakland Middle School
897,76,4-2 North Boulevard Church of Christ
898,76,17-2 Kingwood Heights Church of Christ
899,54,Greenback
900,54,Glendale
901,54,Loudon Mt Zion
902,54,Lenoir City
903,54,Lenoir City Outside
904,54,Browder
905,59,Riverside
906,59,Bigbyville
907,59,Culleoka
908,59,Spring Hill Middle
909,60,04 Englewood School
