,unique_ID
6,Anderson-Clinton Middle School
14,Anderson-Lake City Middle School
19,Anderson-Oak Ridge City Hall
27,Bedford-101 Wartrace Baptist Church
28,Bedford-102 Bell Buckle/Webb School
29,Bedford-203 Fairhaven Baptist Church
30,Bedford-303 Uniounville Fire Hall
31,Bedford-403 Bedford Community Center
32,Bedford-502 Flat Creek Community Center
33,Bedford-505 Normandy Baptist Church
34,Bedford-601 East Side School
35,Bedford-701 Deery Eakin School
36,Bedford-801 Thomas School
37,Bedford-902 Southside School
38,Benton-1 Holladay School
41,Benton-4 Camden Elementary School
42,Benton-5 Benton Co. Library
43,Benton-6 Big Sandy School
44,Bledsoe-Bellview
45,Bledsoe-Brayton
46,Bledsoe-Cold Springs
47,Bledsoe-Dill
48,Bledsoe-Griffith
49,Bledsoe-Lee Station
50,Bledsoe-Luminary
51,Bledsoe-Lusk
52,Bledsoe-Mt.Crest
53,Bledsoe-Nine Mile
54,Bledsoe-Pikeville
55,Bledsoe-Rigsby
56,Blount-Alcoa High School
62,Blount-Eagleton Cafeteria
73,Blount-Maryville High School
74,Blount-Maryville Junior High
81,Blount-Oak View
88,Blount-William Blount Academy
89,Blount-William Blount High
90,Bradley-101 McDonald Ruritan
91,Bradley-102 Prospect School
92,Bradley-103 Hopewell School
93,Bradley-201 E.L. Ross School
94,Bradley-202 Walker Valley High
95,Bradley-301 Lee University
96,Bradley-302 Senior Center
97,Bradley-401 Oak Grove School
98,Bradley-402 Michigan Ave School
99,Bradley-501 Blythe/Bower School
100,Bradley-502 5 Points Museum
101,Bradley-601 Valley View School
102,Bradley-602 Blue Springs School
103,Bradley-603 Waterville School
104,Bradley-604 Black Fox School
105,Bradley-701 Stuart School
106,Bradley-702 Cleveland High
107,Campbell-Alder Springs
108,Campbell-Campbell County High
109,Campbell-Caryville
110,Campbell-Clinchmore
111,Campbell-College Hill
112,Campbell-Demory
113,Campbell-East LaFollette
114,Campbell-Elk Valley
115,Campbell-Habersham
116,Campbell-Jacksboro
117,Campbell-Jacksboro Station
118,Campbell-Jellico
119,Campbell-LaFollette Elementary
120,Campbell-Newcomb
121,Campbell-Pinecrest
122,Campbell-Ridgewood
123,Campbell-Valley View
124,Campbell-Well Springs
125,Campbell-West LaFollette
126,Campbell-White Oak
127,Cannon-2 Short Mountain
128,Cannon-4 Short Mountain
129,Cannon-Auburntown
130,Cannon-Eastside
131,Cannon-Gassaway
132,Cannon-Pleasant Ridge
133,Cannon-Westside
134,Cannon-Woodbury
135,Cannon-Woodland
136,Carroll-1 Lavinia
137,Carroll-11 Buena Vista
138,Carroll-12 Bruceton
139,Carroll-13 Hollow Rock
140,Carroll-14 Vale
141,Carroll-16 Atwood
142,Carroll-17 Senior Citizens
143,Carroll-18 Cannon
144,Carroll-19 Concord
145,Carroll-2 Trezevant
146,Carroll-20 Westport
147,Carroll-21 Bethel
148,Carroll-22 McKenzie City hall
149,Carroll-4 McLemoresville
150,Carroll-5 Cedar Grove
151,Carroll-6 Clarksburg
152,Carroll-7 Macedonia
153,Carroll-8 Civic Center
154,Carroll-9 Huntingdon Police Station
168,Carter-National Guard Armory
177,Cheatham-1-1 Cheatham Co Library
178,Cheatham-2-1 East Cheatham Elementary
179,Cheatham-3-1 Pleasant View City Hall
180,Cheatham-4-1 West Cheatham Elementary
181,Cheatham-4-3 Sycamore Middle School
182,Cheatham-5-1 Greenbrier Church of Christ
183,Cheatham-5-2 Pegram City Hall
184,Cheatham-6-1 Harpeth High School
194,Chester-4-1 West Chester City
196,Chester-5-1 East Chester City
213,Claiborne-8-2 Vanbebber Springs
215,Clay-1 Dentons Cross Roads
241,Coffee-01 Ada Right Center
242,Coffee-02 Saint Paul United Methodist Church
243,Coffee-03 Trinity Baptist Church
244,Coffee-04 First Baptist Church
245,Coffee-05 Hillsboro Community Center
246,Coffee-06 Tennessee Vocational Center
247,Coffee-07 Forrest Mill Church of Christ Activity Center
248,Coffee-08 New Union Fire Hall
249,Coffee-10 Mt. Ararat Baptist Church
250,Coffee-11 Freedonia Community Center
251,Coffee-12 North Coffee Elementary School
252,Coffee-13-1 Blanton's Chapel Community Center
253,Coffee-13-2 Grace Baptist Center
254,Coffee-14 Hickerson Fire Hall
255,Coffee-15 Grace Baptist Church
256,Coffee-16 Lions Club
258,Coffee-18 First Christian Church
260,Coffee-20 Coffee County Senior Citizens
261,Coffee-21 Wilson Avenue Church of Christ
262,Coffee-9-1 Pocahontas Community Center
263,Coffee-9-2 Summitville Community Center
264,Crockett-1
268,Crockett-2
269,Crockett-3
270,Crockett-4
271,Crockett-5
272,Crockett-6
273,Crockett-7
274,Crockett-8
