,NAME
1378,Lakeland 2
1379,Brunswick 1
1380,Memphis 17
1381,Memphis 16-1
1382,Memphis 28
1383,Memphis 45-4
1384,Memphis 74-5
1385,Memphis 73-3
1386,Memphis 66
1387,9B
1388,2A
1389,11A
1390,5C
1391,6C
1392,7C
1393,8A
1394,9A
1395,Brunswick 2
1396,Bartlett 05
1397,Memphis 90-3
1398,Memphis 46-2
1399,Memphis 57
1400,Memphis 68-3
1401,Memphis 58-4
1402,Memphis 73-1
1403,Memphis 59-5
1404,10B
1405,5B
1406,5A
1407,4C
1408,4B
1409,2C
1410,8B
1411,501 First Baptist Gallatin
1412,404 Union Elementary
1413,401 Howard Elementary School
1414,1201 Oakmont Elementary
1415,Memphis 86
1416,Memphis 87-4
1417,Memphis 81-1
1418,Memphis 80-2
1419,Germantown 10
1420,Germantown 08
1421,Germantown 02
1422,1001 Walton Ferry Elementary
1423,701 Whitten Elementary
1424,1102 Church of the Nazarene
1425,1101 Beech High School Annex
1426,1103 Millersville Community Center
1427,1203 White House Middle School
1428,403 Cottontown Fire Hall
1429,703 Long Hollow Baptist Church
1430,802 Hawkins Middle School
1431,Memphis 87-3
1432,Bartlett 06
1433,Bartlett 09
1434,Germantown 05
1435,Germantown 03
1436,Germantown 04
1437,Germantown 12
1438,Memphis 81-3
1439,Memphis 81-7
1440,101 Westmoreland Middle
1441,1002 Merrol Hyde Magnet School
1442,301 Gallatin Civic Center
1443,601 Vol State College
1444,Memphis 95-1
1445,Memphis 96-2
1446,Memphis 96-1
1447,Eads
1448,Memphis 36-1
1449,Memphis 52-1
1450,Memphis 53-1
1451,Memphis 54
1452,Memphis 93-1
1453,Memphis 67-3
1454,Memphis 67-1
1455,203 Wiseman Elementary
1456,202 Portland High School
1457,602 Gallatin Sr. High School
1458,801 Brown Elementary
1459,902 Indian Lake Elementary
1460,Morning Sun 02
1461,Cordova 3
1462,Morning Sun 01
1463,Memphis 95-8
1464,Memphis 68-1
1465,Memphis 64
1466,Memphis 55-2
1467,Memphis 74-1
1468,Memphis 74-2
1469,Memphis 93-3
1470,32
1471,14
1472,11
1473,17
1474,5-2 Winfield
1475,2-1 Elgin
1476,3-1 Huntsville
1477,Memphis 91-2
1478,Memphis 91-4
1479,Memphis 44-1
1480,Memphis 44-5
1481,Memphis 37
1482,Memphis 33
1483,Memphis 58-1
1484,Memphis 45-2
1485,Memphis 61
1486,Memphis 47-1
1487,3-2 Old Jefferson Church of Christ
1488,12-1 TN National Guard Armory
1489,Memphis 89-2
1490,Memphis 91-1
1491,Memphis 20-1
1492,Memphis 16-3
1493,Germantown 11
1494,Memphis 79-1
1495,Memphis 77-3
1496,Memphis 76-5
1497,Memphis 76-6
1498,4-5 Bud's Tire
1499,2-2 Robbins
1500,4-1 Helenwood
1501,5-1 Pine Hill
1502,6-1 Oneida
1503,7-1 West Oneida
1504,1-1 Fairview
1505,3-2 Paint Rock
1506,1 Lewis Chapel
1507,8 Lone Oak
1508,5 Chapel Hill
1509,6 Daus
1510,2 Cagle
1511,9 Fredonia
1512,Memphis 95-7
1513,Memphis 95-6
1514,Memphis 95-5
1515,Collierville 6
1516,Collierville 4
1517,Forest Hills 2
1518,Memphis 76-4
1519,Memphis 77-1
1520,Memphis 60-3
1521,7 City Justice Center
1522,4 Electric Co-op
1523,3 Court House
1524,Cordova 4
1525,Cordova 5
1526,Memphis 89-1
1527,Forest Hills 1
1528,Forest Hills 3
1529,Ross Store 14
1530,Ross Store 16
1531,Memphis 26
1532,Memphis 34-2
1533,Memphis 49
1534,Catons Chapel 2
1535,Pittman Center 1
1536,Jones Cove 1
1537,Caton's Chapel 1
1538,Harrisburg 2
1539,New Center 1
1540,Gatlinburg 2
1541,Pigeon Forge 2
1542,Wearwood 2
1543,Waldens Creek 2
1544,DuPont 2
1545,Whites 2
1546,Memphis 69-2
1547,Memphis 70-2
1548,Memphis 94-8
1549,Ross Store 05
1550,Ross Store 15
1551,Memphis 50-2
1552,Memphis 13
1553,Memphis 12
1554,Memphis 50-1
1555,Senior Citizens 2
1556,Middle School 2
1557,Voting Machine Whse. 2
1558,Seymour Primary Sch. 2
1559,Catlettsburg 2
1560,Boyd's Creek 2
1561,Seymour Intm.Sch. 2
1562,Kodak 1
1563,Memphis 72-7
1564,Memphis 42-1
1565,Memphis 81-5
1566,Germantown 06
1567,Memphis 31-2
1568,Memphis 31-4
1569,Memphis 60-9
1570,Memphis 60-6
1571,Underwood 1
1572,Jones Cove 2
1573,Kodak 2
1574,Catlettsburg 1
1575,Memphis 87-2
1576,Lucy 3
1577,Lucy 1
1578,McConnells
1579,Memphis 20-3
1580,Memphis 01
1581,Memphis 02
1582,Collierville 8
1583,Collierville 9
1584,Collierville 1
1585,Collierville 3
1586,Memphis 78-3
1587,Memphis 79-7
1588,Memphis 79-3
1589,Memphis 79-2
1590,Memphis 75-1
1591,Bartlett 11
1592,Bartlett 04
1593,Bartlett 03
1594,Memphis 11
1595,Memphis 21
1596,Memphis 41-3
1597,Collierville 5
1598,Collierville 7
1599,Collierville 2
1600,Memphis 75-7
1601,Memphis 75-6
1602,Memphis 75-11
1603,Memphis 82-2
1604,Bartlett 08
1605,Bartlett 13
1606,Memphis 36-2
1607,Memphis 88-3
1608,Memphis 88-2
1609,Memphis 88-4
1610,Memphis 62-0
1611,Memphis 94-7
1612,Memphis 94-3
1613,Ross Store 13
1614,Memphis 94-6
1615,5-1 Visitors Center
1616,3-1 Bumpus Mills
1617,2-1 Big Rock
1618,4-1 Family Life Center
1619,6-1 County Library
1620,7-1 Cumberland City
1621,1-1 Indian Mound
1622,06 Carthage
1623,02 Tanglewood
1624,01 Defeated
1625,04 Rock City
1626,03 New Middleton
1627,07 South Carthage
1628,08 Elmwood
1629,05 Gordonsville
1630,6A
1631,6B
1632,10A
1633,4A
1634,3A
1635,1A
1636,28 South Side
1637,24 Henry Johnson
1638,26 North Side
1639,6-2 Brentwood Safety Center
1640,4-1 Prairie Life Fitness Center
1641,4-2 Millview Church of Christ
1642,27 Keystone
1643,18 Fairmont
1644,11 Indian Trail
1645,13 Stratton
1646,12 Princeton
1647,20  Visitor's Center
1648,21 Asbury
1649,16 Marvin's Chapel
1650,4-3 Franklin Christian Church
1651,5-2 Nolensville Methodist Church
1652,17 Towne Acres
1653,9 Boones Creek City
1654,3 Gray East
1655,8 Boones Creek West
1656,4 Gray City
1657,7 Gray West
1658,6 Sulphur Springs
1659,2 Harmony
1660,34 New Victory Church
1661,32 Cherokee Outside
1662,39 New Salem
1663,38 South Central
1664,35 Limestone
1665,36 West View
1666,33 Telford
1667,37 Lamar
1668,14 Bowmantown
1669,15 Courthouse
1670,3-1
1671,13-1
1672,14-1
1673,12-1
1674,22-1
1675,25-1
1676,4-1
1677,9-2
1678,7-1
1679,21-2
1680,15-1
1681,40 Embreeville
1682,19 Leesburg
1683,1 Fall Branch
1684,23 Woodland
1685,22 Fairhaven Outside
1686,29 Fairhaven Inside
1687,25 Millennium Centre
1688,5 Boones Creek East
1689,20-1
1690,23-1
1691,17-1
1692,24-1
1693,30 Grace Fellowship Church
1694,10 Lakeridge
1695,31 Cherokee City
1696,5 Lutts
1697,3 Eagle Creek Fire Hall
1698,4 Shawnatee
1699,6 Southgate Fire Hall
1700,19-1
1701,6-1
1702,21-1
1703,5-1
1704,18-1
1705,7 Buffalo River Fire Dept.
1706,7 Ovilla Fire Hall
1707,1 Waynesboro City
1708,5 Wayne Co. High School
1709,3 Crazy Horse
1710,5 Big Cypress
1711,2 Clifton
1712,3 Beech Creek Fire Hall
1713,4 Collinwood City
1714,6 Holly Creek Fire Hall
1715,08 Martin First United Methodist Church
1716,05  Martin Church of Christ
1717,01B Latham Vol. Fire Dept.
1718,01A Palmersville Fire Station
1719,02 Gleason Community Building
1720,04 Sharon First Baptist Church
1721,8-1
1722,1-1
1723,2-1
1724,06 Martin Trinity Presbyterian Church
1725,03 Greenfield First Baptist Church
1726,09 Dresden First United Methodist Church
1727,07 Martin Shepardsfield Church
1728,"4-1 Woodland Park School, County"
1729,"1-1 Sparta Civic Center, City"
1730,10-1
1731,16-1
1732,11-1
1733,303 Creekside Fellowship
1734,502 Guild Elementary
1735,103 Corinth Church of Christ
1736,03 S.E. Covington
1737,01 N. E. Covington
1738,19 Austin Peay
1739,21 W. Wilkinsville
1740,22 Brighton
1741,14 Southwest Tipton
1742,12 Munford
1743,06 Tipton West
1744,11 Atoka
1745,2 Cato
1746,"5-1 Doyle Civic Center Hall, County"
1747,"6-2 Cassville School, County"
1748,"6-1 Central View School, County"
1749,"2-2 Woodland Park School, County"
1750,"2-1 Ag Fair Complex, City"
1751,"4-2 Bondecroft School, County"
1752,"3-1 Ag Fair Complex, County"
1753,"7-1 Northfield School, County"
1754,"1-2 Sparta Civic Center, County"
1755,6-3 Holy Family Catholic Church
1756,11-3 Winstead Elementary School
1757,11-1 Franklin Elementary School
1758,9-3 Westhaven Clubhouse
1759,1-1 Westwood Elementary School
1760,1-2 Fairview Recreation Center
1761,9-2 Benton Hall School
1762,5-4 Nolensville Baptist Church
1763,9-5 Independence High School
1764,25-2
1765,9-1
1766,7-2
1767,12-2
1768,4-2
1769,4 Halltown
1770,3 Beech Grove
1771,1 Senior Center
1772,10 Providence
1773,6 Walnut Grove
1774,6-1 Brentwood Library
1775,7-3 New Hope Community Church
1776,5 Templow
1777,7 High School
1778,8 Willard
1779,9 City
1780,Fishery
1781,Flag Pond
1782,Temple Hill
1783,High School
1784,Love Chapel
1785,Rock Creek
1786,Limestone Cove
1787,Unicoi
1788,7-2 Baptist Children's Home
1789,7-1 Brenthaven Church
1790,3-3 Brock Community Center
1791,2-2 Luttrell Elementary School
1792,1-1 Union County High School
1793,3-2 Cedar Grove Community Cen.
1794,4-7 Big Ridge Elementary Sch.
1795,6-6 Paulette Elementary School
1796,7-1 Plainview Community Center
1797,10-1 Franklin Recreation Complex
1798,10-2 Liberty Elementary School
1799,11-2 Robert Ring Indoor Soccer Complex
1800,5-13 Braden Chapel Church
1801,5-10 Sharps Chapel Elementary
1802,Spencer 5
1803,Fall Creek Falls Comm. Center
1804,Cedar Grove Community Cntr.
1805,Piney Fire Hall
1806,Cummingsville Community Cntr
1807,White Hill Community Cntr.
1808,Spencer 1
1809,08-3 Bonner Church of Christ
1810,11-1 Midway Community Center
1811,07-1 Friendship The Baptist Church
1812,04-1 TSU Nursery Res. Center
1813,11-2 Hwy 56 N Church of Christ
1814,12-2 Lucky Community Center
1815,10-1 Centertown United Methodist Church
1816,8-3 Episcopal Church
1817,9-1 Walnut Grove Elementary School
1818,05-2 Beersheba Towers
1819,02-1 Courthouse
1820,10-3 Hunter's Bend Elementary School
1821,5-1 Sunset Elementary School
1822,8-2 First Presbyterian Church
1823,8-1 Grassland Middle School
1824,1-5 The Church of Spring Hill
1825,02-2 Warren County Airport
1826,12-2 The Church of the City-Franklin
1827,2-3 Oakview Elementary School
1828,2-1 Bethesda Recreation Center
1829,03-1 Westwood Church of Christ
1830,08-1 Fairview Community Center
1831,05-1 Three Star Mall
1832,06-1 Caney Fork Electric Auditorium
1833,10-2 Centertown Comm. Ctr.
1834,09-2 Viola Valley Comm. Center
1835,09-1 Morrison Ruritan Club
1836,03-2 Smartt First Baptist Church
1837,2-5 Conduit Church
1838,5-3 Triune Baptist Church
1839,9-4 Grace Chapel Church
1840,1-4 Burwood Community Center
1841,3-1 Heritage Elementary School
1842,2-4 College Grove Community Center
1843,3-2 Longview Recreation Center
1844,1-3 Old Pinewood School
1845,12-1 Northside Baptist Church
1846,01-1 Civic Center
1847,12-1 Franklin Community of Faith Church
1848,2-2 Thompson Station Baptist Church
1849,3-3 Chapman's Retreat Elementary School
1850,12-3 The Gate Community Church
1851,603 Jack Anderson Elementary
1852,901 Hendersonville High School
1853,East Chattanooga 1
1854,Murray Hills 1
1855,Lake Hills
1856,Kingspoint 3
1857,Concord 2
1858,Concord 7
1859,East Ridge 2
1860,Mowbray
1861,Dalewood
1862,Tyner 1
1863,North Chattanooga 1
1864,East Brainerd 2
1865,Eastgate 1
1866,East Ridge 3
1867,East Ridge 1
1868,Concord 1
1869,Brainerd Hills
1870,Courthouse 2
1871,Downtown 2
1872,Sale Creek
1873,Woodmore 2
1874,Dallas 2
1875,Birchwood
1876,Courthouse 1
1877,Valdeau
1878,Eastgate 2
1879,Lookout Valley 1
1880,East Ridge 4
1881,Soddy Daisy 1
1882,Bakewell 2
1883,Concord 5
1884,Northwoods 2
1885,Eastside 2
1886,Soddy Daisy 3
1887,Soddy Daisy 2
1888,DuPont
1889,Missionary Ridge
1890,Harrison 5
1891,Lakesite
1892,Dallas 1
1893,Tyner 2
1894,Harrison 2
1895,Concord 4
1896,Bakewell 1
1897,Collegedale 4
1898,Collegedale 5
1899,Collegedale 1
1900,Apison 1
1901,Riverview
1902,Collegedale 2
1903,Mountain Creek 1
1904,Red Bank 3
1905,Ganns
1906,Pleasant Grove 1
1907,Hixson 3
1908,Hixson 2
1909,Murray Hills 2
1910,Harrison 1
1911,Ooltewah 3
1912,Snowhill 2
1913,Ooltewah 5
1914,Ooltewah 1
1915,Snowhill 1
1916,Ooltewah 4
1917,Lookout Valley 2
1918,Signal Mountain 1
1919,Kingspoint 2
1920,St Elmo 2
1921,Alton Park 2
1922,Lookout Mountain
1923,Walden
1924,Fairmount
1925,Amnicola
1926,Bushtown
1927,Summit 1
1928,Apison 3
1929,Stuart Heights
1930,Ridgedale 1
1931,Eastside 1
1932,Collegedale 3
1933,Lupton City
1934,Harrison 3
1935,Summit 4
1936,Summit 2
1937,East Brainerd 1
1938,Westview 3
1939,Westview 2
1940,Westview 1
1941,Summit 3
1942,Airport
1943,Brainerd
1944,Woodmore 1
1945,Mountain Creek 2
1946,Apison 2
1947,Avondale
1948,East Lake
1949,Kingspoint 1
1950,Red Bank 1
1951,Ooltewah 2
1952,Northwoods 1
1953,Collegedale 6
1954,Pleasant Grove 2
1955,Signal Mountain 2
1956,Downtown 1
1957,Harrison 4
1958,North Chattanooga 2
1959,Mountain Creek 3
1960,St Elmo 1
1961,Northgate 1
1962,Ridgeside
1963,Eastdale
1964,Glenwood
1965,Soddy Daisy 4
1966,Northgate 2
1967,Red Bank 2
1968,Moccasin Bend
1969,Flat Top Mountain
1970,Middle Valley 2
1971,Hixson 1
1972,Alton Park 1
1973,Ridgedale 2
1974,East Chattanooga 2
1975,Bonny Oaks
1976,Falling Water
1977,Ooltewah 6
1978,Concord 6
1979,Meadowview
1980,Concord 3
1981,Harrison 6
1982,Middle Valley 1
