,Precinct
1383,1B Chilhowee
1384,2 Greasy Creek
1385,2A Springtown
1386,2C South Polk
1387,2D Shiloh Baptist
1388,3 Ducktown
1389,3A Copper Basin
1390,3B Turtletown
1391,1A Capshaw
1392,2A Northeast
1393,3A University
1394,4A Burks
1395,4B Monterey City
1396,4C Poplar Grove
1397,5A Cookeville CC
1398,5C Prescott South
1399,5F Dry Valley
1400,6A Cane Creek
1401,7A Burgess Falls
1402,7D Twin Oak
1403,8D Boma
1404,8E Buffalo Valley
1405,8F Cornerstone
1406,8G Upperman
1407,9B Double Springs
1408,10A Pavilion
1409,10B Sycamore
1410,11A Bangham
1411,11B Cookeville High
1412,12A Algood Inside
1413,12B Algood Outside
1414,12C Brotherton
1415,Early Voting - Write-Ins
1416,1-1 Spring City North
1417,1-2 Grandview
1418,2-1 Spring City South
1419,3-1 Wolf Creek
1420,3-2 Evensville North
1421,4-1 Evensville South
1422,5-1 Dayton North
1423,6-1 Dayton West
1424,7-1 Frazier
1425,8-1 Garrison
1426,9-1 Graysville
1427,9-2 Waldens Ridge
1428,Cave Creek
1429,Cherokee
1430,Emory Heights
1431,Emory
1432,Fairview
1433,Glen Alice
1434,Midtown
1435,Midway
1436,Oak Hills
1437,Oliver Springs
1438,Orchard View
1439,Paw Paw
1440,Paint Rock
1441,South Harriman
1442,Dyllis
1443,Eureka
1444,Harriman Ward 1
1445,Johnson Sch House
1446,Kingston Ward 1
1447,Kingston Ward 2
1448,Lawnville
1449,Renfro
1450,Rockwood Ward 1
1451,Rockwood Ward 2
1452,01-1 East Robertson
1453,02-1 Woodall
1454,03-1 Ebenezer
1455,03-2 Heritage
1456,04-1 Watauga
1457,05-1 Greenbrier
1458,06-1 Coopertown
1459,06-2 Mt. Sharon
1460,07-1 Jo Byrns
1461,07-2 Stroudsville
1462,08-1 Krisle
1463,08-2 HATS
1464,08-3 Owens Chapel
1465,09-1 Fair Assoc.
1466,10-1 South Haven
1467,11-1 Westside
1468,11-2 Heads
1469,12-1 Bransford
1470,Paper Ballots
1471,Early Voting - Write-Ins
1472,1-1
1473,2-1
1474,2-2
1475,2-3
1476,3-1
1477,3-2
1478,4-1
1479,4-2
1480,4-3
1481,4-4
1482,5-1
1483,5-2
1484,6-1
1485,6-2
1486,7-1
1487,7-2
1488,8-1
1489,8-2
1490,8-3
1491,8-4
1492,9-1
1493,9-2
1494,10-1
1495,10-2
1496,11-1
1497,11-2
1498,12-1
1499,12-2
1500,12-3
1501,13-1
1502,13-2
1503,14-1
1504,14-2
1505,15-1
1506,15-2
1507,16-1
1508,16-2
1509,16-3
1510,17-1
1511,17-2
1512,17-3
1513,18-1
1514,18-2
1515,19-1
1516,19-2
1517,20-1
1518,20-2
1519,21-1
1520,21-2
1521,Early Voting - Write-Ins
1522,1-1 Fairview
1523,2-1 Elgin
1524,2-2 Robbins
1525,3-1 Huntsville
1526,3-2 Paint Rock
1527,4-1 Helenwood
1528,5-1 City Park
1529,5-2 Winfield
1530,6-1 Oneida
1531,7-1 West Oneida
1532,1 Lewis Chapel
1533,2 Cagle
1534,3 Courthouse
1535,4 Electric Co-op
1536,5 Chapel Hill
1537,6 Daus
1538,7 Justice Center
1539,8 Lone Oak
1540,9 Fredonia
1541,Early Voting - Write-Ins
1542,1-1 Caton's Chapel
1543,1-2 Caton's Chapel
1544,1-3 Jones Cove
1545,1-4 Jones Cove
1546,2-1 Wearwood
1547,2-2 Waldens Creek
1548,3-1 New Center
1549,3-2 Harrisburg
1550,4-1 Pigeon Forge
1551,5-1 Sevierville
1552,5-2 Senior Center
1553,6-1 Seymour
1554,7-1 Catlettsburg
1555,7-2 Catlettsburg
1556,7-3 Walnut Grove
1557,8-1 Kodak
1558,8-2 Kodak
1559,8-3 Underwood
1560,9-1 Seymour Primary
1561,10-1 Boyds Creek
1562,10-2 Whites
1563,10-3 DuPont
1564,11-1 Gatlinburg
1565,11-2 Pittman Center
1566,Memphis 01
1567,Memphis 02
1568,Memphis 11
1569,Memphis 12
1570,Memphis 13
1571,Memphis 16-1
1572,Memphis 16-3
1573,Memphis 17
1574,Memphis 20-1
1575,Memphis 20-3
1576,Memphis 21
1577,Memphis 26
1578,Memphis 28
1579,Memphis 31-2
1580,Memphis 31-4
1581,Memphis 33
1582,Memphis 34-2
1583,Memphis 36-1
1584,Memphis 36-2
1585,Memphis 37
1586,Memphis 41-3
1587,Memphis 42-1
1588,Memphis 44-1
1589,Memphis 44-5
1590,Memphis 45-2
1591,Memphis 45-4
1592,Memphis 46-2
1593,Memphis 47
1594,Memphis 49
1595,Memphis 50-1
1596,Memphis 50-2
1597,Memphis 52-1
1598,Memphis 53-1
1599,Memphis 54
1600,Memphis 55-2
1601,Memphis 57
1602,Memphis 58-1
1603,Memphis 58-4
1604,Memphis 59-5
1605,Memphis 60-3
1606,Memphis 60-5
1607,Memphis 60-6
1608,Memphis 60-7
1609,Memphis 60-9
1610,Memphis 61
1611,Memphis 62
1612,Memphis 64
1613,Memphis 66
1614,Memphis 67-1
1615,Memphis 67-3
1616,Memphis 68-1
1617,Memphis 68-3
1618,Memphis 69-2
1619,Memphis 70-1
1620,Memphis 70-2
1621,Memphis 71-4
1622,Memphis 72-3
1623,Memphis 72-7
1624,Memphis 73-1
1625,Memphis 73-3
1626,Memphis 74-1
1627,Memphis 74-2
1628,Memphis 74-5
1629,Memphis 74-9
1630,Memphis 75-1
1631,Memphis 75-6
1632,Memphis 75-7
1633,Memphis 75-11
1634,Memphis 76-4
1635,Memphis 76-5
1636,Memphis 76-6
1637,Memphis 77-1
1638,Memphis 77-3
1639,Memphis 78-3
1640,Memphis 79-1
1641,Memphis 79-2
1642,Memphis 79-3
1643,Memphis 79-7
1644,Memphis 80-2
1645,Memphis 81-1
1646,Memphis 81-3
1647,Memphis 81-5
1648,Memphis 81-7
1649,Memphis 82-2
1650,Memphis 83
1651,Memphis 84-2
1652,Memphis 86
1653,Memphis 87-2
1654,Memphis 87-3
1655,Memphis 87-4
1656,Memphis 88-2
1657,Memphis 88-3
1658,Memphis 88-4
1659,Memphis 89-1
1660,Memphis 89-2
1661,Memphis 90-2
1662,Memphis 90-3
1663,Memphis 91-1
1664,Memphis 91-2
1665,Memphis 91-4
1666,Memphis 92-1
1667,Memphis 93-1
1668,Memphis 93-3
1669,Memphis 94-3
1670,Memphis 94-6
1671,Memphis 94-7
1672,Memphis 94-8
1673,Memphis 95-1
1674,Memphis 95-5
1675,Memphis 95-6
1676,Memphis 95-7
1677,Memphis 95-8
1678,Memphis 96-1
1679,Memphis 96-2
1680,Arlington 01
1681,Arlington 02
1682,Bartlett 03
1683,Bartlett 04
1684,Bartlett 05
1685,Bartlett 06
1686,Bartlett 08
1687,Bartlett 09
1688,Bartlett 11
1689,Bartlett 13
1690,Brunswick 01
1691,Brunswick 02
1692,Collierville 01
1693,Collierville 02
1694,Collierville 03
1695,Collierville 04
1696,Collierville 05
1697,Collierville 06
1698,Collierville 07
1699,Collierville 08
1700,Collierville 09
1701,Cordova 03
1702,Cordova 04
1703,Cordova 05
1704,Eads
1705,Forest Hills 01
1706,Forest Hills 02
1707,Forest Hills 03
1708,Germantown 02
1709,Germantown 03
1710,Germantown 04
1711,Germantown 05
1712,Germantown 06
1713,Germantown 08
1714,Germantown 10
1715,Germantown 11
1716,Germantown 12
1717,Lakeland 01
1718,Lakeland 02
1719,Lucy 01
1720,Lucy 03
1721,McConnell's
1722,Millington 01
1723,Millington 02
1724,Morning Sun 01
1725,Morning Sun 02
1726,Ross 05
1727,Ross 13
1728,Ross 14
1729,Ross 15
1730,Ross 16
1731,Stewartville
1732,01 Defeated
1733,02 Tanglewood
1734,03 New Middleton
1735,04 Rock City
1736,05 Gordonsville
1737,06 Carthage
1738,07 South Carthage
1739,08 Elmwood
1740,Early Voting - Write-Ins
1741,1-1 Indian Mound
1742,2-1 Big Rock
1743,3-1 Bumpus Mills
1744,4-1 Church Street
1745,5-1 Visitors Center
1746,6-1 Public Library
1747,7-1 Cumberland City
1748,Paper Ballots
1749,1A
1750,2A
1751,2B
1752,2C
1753,3A
1754,4A
1755,4B
1756,4C
1757,5A
1758,5B
1759,5C
1760,6A
1761,6B
1762,6C
1763,7A
1764,7B
1765,7C
1766,8A
1767,8B
1768,9A
1769,9B
1770,10A
1771,10B
1772,11A
1773,11B
1774,1-1 Westmoreland
1775,1-3 Corinth
1776,2-1 Portland
1777,2-2 Wiseman
1778,3-1 Civic Center
1779,3-3 Creekside
1780,4-1 Howard
1781,4-3 Cottontown
1782,4-4 Union
1783,5-1 FB Gallatin
1784,5-2 Guild
1785,6-1 Vol State
1786,6-2 Gallatin HS
1787,6-3 Jack Anderson
1788,7-1 Whitten
1789,7-3 Long Hollow
1790,8-1 Brown
1791,8-2 Hawkins
1792,9-1 Hendersonville
1793,9-2 Indian Lake
1794,10-1 Walton Ferry
1795,10-2 Merrol Hyde
1796,11-1 Beech
1797,11-2 Goodlettsville
1798,11-3 Millersville
1799,12-1 Oakmont
1800,12-3 White House
1801,1-1 NE Covington
1802,2-3 SE Covington
1803,3-6 Tipton West
1804,4-11 Atoka
1805,5-12 Munford
1806,6-14 SW Tipton
1807,7-19 Austin Peay
1808,8-21 Wilkinsville
1809,9-22 Brighton
1810,Early Voting - Write-Ins
1811,01 Senior Center
1812,02 Cato
1813,03 Beech Grove
1814,04 Halltown
1815,05 Templow
1816,06 Walnut Grove
1817,07 High School
1818,08 Willard
1819,09 City
1820,10 Providence
1821,Early Voting - Write-Ins
1822,Flag Pond
1823,Temple Hill
1824,Love Chapel
1825,High School
1826,Rock Creek
1827,Fishery
1828,Limestone Cove
1829,Unicoi
1830,1-1 UCHS
1831,2-1 Luttrell
1832,3-1 Cedar Grove
1833,3-2 Brock
1834,4-1 Big Ridge
1835,5-1 Sharp Chapel
1836,5-2 Braden Chapel
1837,6-1 Paulette
1838,7-1 Plainview
1839,Paper Ballots
1840,Spencer 1
1841,Cummingsville
1842,Cedar Grove
1843,Fall Creek Falls
1844,Piney
1845,White Hill
1846,Spencer 5
1847,Early Voting - Write-Ins
1848,1-1 Civic Center
1849,2-1 Courthouse
1850,2-2 Airport
1851,3-1 Westwood
1852,3-2 Smartt
1853,4-1 TSU
1854,5-1 Mall
1855,5-2 Towers
1856,6-1 Caney Fork
1857,7-1 Friendship
1858,8-1 Fairview
1859,8-3 Bonner
1860,9-1 Morrison
1861,9-2 Viola
1862,10-1 Centertown UMC
1863,10-2 Centertown CIC
1864,11-1 Midway
1865,11-2 Hwy 56 North
1866,12-1 Northside
1867,12-2 Lucky
1868,Early Voting - Write-Ins
1869,01 Fall Branch
1870,02 Harmony
1871,03 Gray East
1872,04 Gray City
1873,05 B.C. East
1874,06 Sulphur Springs
1875,07 Gray West
1876,08 B.C. West
1877,09 B.C. City
1878,10 Lakeridge
1879,11 Indian Trail
1880,12 Princeton
1881,13 Stratton
1882,14 Bowmantown
1883,15 Courthouse
1884,16 Marvin's Chapel
1885,17 Town Acres
1886,18 Fairmont
1887,19 Leesburg
1888,20 Visitor's Center
1889,21 Asbury
1890,22 Fairhaven Outside
1891,23 Woodland
1892,24 Henry Johnson
1893,25 Millennium
1894,26 North Side
1895,27 Keystone
1896,28 South Side
1897,29 Fairhaven Inside
1898,30 Grace
1899,31 Cherokee City
1900,32 Cherokee Out
1901,33 Telford
1902,34 New Victory
1903,35 Limestone
1904,36 West View
1905,37 Lamar
1906,38 South Central
1907,39 New Salem
1908,40 Embreeville
1909,Early Voting - Write-Ins
1910,1 Waynesboro
1911,2 Clifton
1912,3-1 Beech Creek
1913,3-2 Crazy Horse
1914,3-3 Eagle Creek
1915,4-1 Collinwood
1916,4-2 Shawnettee
1917,5-1 Big Cypress
1918,5-2 Lutts
1919,5-3 Wayne Co High
1920,6-1 Holly Creek
1921,6-2 South Gate
1922,7-1 Buffalo River
1923,7-2 Ovilla
1924,Early Voting - Write-Ins
1925,1A Palmersville
1926,1B Latham
1927,2A Gleason
1928,3A Greenfield
1929,4A Sharon
1930,5A Martin CoC
1931,6A Trinity
1932,7A Martin Shepherd's
1933,8A Martin FUMC
1934,9A Dresden
1935,1-1 Sparta Civic
1936,1-2 Sparta Civic
1937,2-1 Ag Fair Complex
1938,2-2 Woodland Park
1939,3-1 Ag Fair Complex
1940,4-1 Woodland Park
1941,4-2 Bondecroft
1942,5-1 Doyle Civic
1943,6-1 Central View
1944,6-2 Cassville
1945,7-1 Northfield
1946,1-1
1947,1-2
1948,1-3
1949,1-4
1950,1-5
1951,2-1
1952,2-2
1953,2-3
1954,2-4
1955,2-5
1956,3-1
1957,3-2
1958,3-3
1959,4-1
1960,4-2
1961,4-3
1962,5-1
1963,5-2
1964,5-3
1965,5-4
1966,6-1
1967,6-2
1968,6-3
1969,7-1
1970,7-2
1971,7-3
1972,8-1
1973,8-2
1974,8-3
1975,9-1
1976,9-2
1977,9-3
1978,9-4
1979,9-5
1980,10-1
1981,10-2
1982,10-3
1983,11-1
1984,11-2
1985,11-3
1986,12-1
1987,12-2
1988,12-3
1989,1-1
1990,2-1
1991,3-1
1992,4-1
1993,4-2
1994,5-1
1995,6-1
1996,7-1
1997,7-2
1998,8-1
1999,9-1
2000,9-2
2001,10-1
2002,11-1
2003,12-1
2004,12-2
2005,13-1
2006,14-1
2007,15-1
2008,16-1
2009,17-1
2010,18-1
2011,19-1
2012,20-1
2013,21-1
2014,21-2
2015,22-1
2016,23-1
2017,24-1
2018,25-1
2019,25-2
2020,Provisional
2021,Absentee
