,Precinct
326,05-2
327,05-3
328,05-4
329,05-5
330,06-1
331,06-2
332,06-3
333,06-4
334,06-5
335,07-1
336,07-2
337,07-3
338,07-4
339,07-5
340,07-6
341,08-1
342,08-2
343,08-3
344,08-4
345,09-1
346,09-2
347,09-3
348,10-1
349,10-2
350,10-3
351,10-4
352,10-5
353,10-6
354,11-1
355,11-2
356,11-3
357,11-4
358,12-1
359,12-2
360,12-3
361,12-4
362,12-5
363,13-1
364,13-2
365,13-3
366,13-4
367,14-1
368,14-2
369,14-3
370,14-4
371,14-5
372,15-1
373,15-2
374,15-3
375,15-4
376,15-5
377,16-1
378,16-2
379,16-3
380,16-4
381,16-5
382,17-1
383,17-2
384,17-3
385,17-4
386,17-5
387,17-6
388,17-7
389,18-1
390,18-2
391,18-3
392,18-4
393,18-5
394,19-1
395,19-2
396,19-3
397,19-4
398,19-5
399,19-6
400,20-1
401,20-2
402,20-3
403,21-1
404,21-2
405,21-3
406,21-4
407,22-1
408,22-2
409,22-3
410,22-4
411,23-1
412,23-2
413,23-3
414,23-4
415,23-5
416,24-1
417,24-2
418,24-3
419,24-4
420,24-5
421,24-6
422,25-1
423,25-2
424,25-3
425,25-4
426,26-1
427,26-2
428,26-3
429,26-4
430,27-1
431,27-2
432,27-3
433,28-1
434,28-2
435,28-3
436,29-1
437,29-2
438,29-3
439,29-4
440,30-1
441,30-2
442,30-3
443,30-4
444,31-1
445,31-2
446,31-3
447,31-4
448,32-1
449,32-2
450,32-3
451,32-4
452,33-1
453,33-2
454,33-3
455,33-4
456,34-1
457,34-2
458,34-3
459,34-4
460,34-5
461,35-1
462,35-2
463,35-3
464,35-4
465,Absentee
466,Early Voting - Write-Ins
467,Provisional - Write-Ins
468,1-1 Dunbar
469,2-1 Liberty
470,2-2 Scotts Hill
471,3-1 Beacon
472,3-2 Decaturville
473,4-1 Decaturville
474,5-1 Parsons
475,6-1 Parsons
476,7-1 Jeanette
477,7-2 Perryville
478,8-1 Parsons
479,9-1 Beacon
480,9-2 Hydro
481,1-1 Alexandria
482,1-2 Temperence Hall
483,1-3 Edgar Evins Park
484,2-1 Liberty
485,2-2 Dowelltown
486,2-3 Snows Hill
487,3-1 Church of God
488,4-2 Rock Castle
489,4-3 Courthouse
490,5-1 Johnson Chapel
491,5-2 County Complex
492,6-1 Belk
493,6-2 Keltonburg
494,6-3 Blue Springs
495,7-1 Church of Christ
496,Early Voting - Write-Ins
497,1-1
498,1-2
499,2-1
500,2-2
501,3-1
502,3-2
503,4-1
504,5-1
505,6-1
506,6-2
507,7-1
508,8-1
509,9-1
510,10-1
511,11-1
512,12-1
513,12-2
514,A1- Bonicord
515,A2- Fowlkes
516,B- Newbern
517,C1- Tatumville
518,C2- Trimble
519,C3- Roellen
520,D1- Millsfield
521,D2- Bogota
522,E1- Finley
523,E2- Lenox
524,F- Dyer Co Central
525,G- Courthouse
526,H- E. Dyersburg
527,I1- Community Center
528,I2- Hurricane Hill
529,J- North Dyersburg
530,Early voting
531,Somerville City
532,Fayette Corner
533,Garnett
534,Braden
535,Gallaway
536,Oakland
537,Hickory Withe
538,Elba
539,Piperton
540,Rossville
541,Macon
542,Williston
543,Moscow
544,Parks
545,LaGrange
546,Early Voting - Write-Ins
547,Allardt
548,Armathwaite
549,Banner Springs
550,Community Center
551,Courthouse
552,Clarkrange
553,Crossroads
554,East Jamestown
555,Grimsley
556,Pine Haven
557,Pall Mall
558,Tinchtown
559,West Fentress
560,Early Voting - Write-Ins
561,1-1 Annex
562,2-1 Clark Memorial
563,3-1 Broadview
564,3-2 Huntland
565,3-3 Walnut Grove
566,4-1 Belvidere
567,4-2 Cowan
568,4-3 Liberty
569,5-1 Keith Springs
570,5-2 Sewanee
571,5-3 Sherwood
572,6-1 Alto/Oak Grove
573,6-2 Capitol Hill
574,6-3 UTSI
575,7-1 North Lake
576,7-2 CG/Winchester Springs
577,8-1 Decherd
578,8-2 Estill Springs
579,Early Voting - Write-Ins
580,1-1 Medina
581,1-2 Sitka
582,2 Humboldt Church
583,3 Bailey Park
584,4 St James Baptist
585,5 Lane Chapel Church
586,6 Humboldt HS
587,6-4 Gibson
588,7-2 Fruitland
589,8-1 Edison
590,8-2 Brazil
591,9 Courthouse
592,10 Agri-Plex
593,11-2 Moore's Chapel
594,11-4 Union Central
595,11-5 Skullbone
596,12 Milan CPC
597,13 Milan Polk Clark
598,14 Milan 1stAssembly
599,15 Milan Municipal
600,16 Rutherford
601,16-1 Yorkville
602,16-2 Kenton
603,17-1 Bradford
604,18-1 Laneview
605,18-2 Good Luck
606,19-1 Dyer
607,19-2 Currie
608,1A Ardmore
609,1B Prospect
610,2A Minor Hill
611,2B Airport
612,3A Richland Trace
613,3B Campbellsville
614,4A Lynnville
615,4B Odd Fellows Hall
616,5A TCAT
617,5B Agri Park
618,6A Martin
619,6B Bridgeforth
620,7A GCHS
621,7B Rec Center
622,1-1
623,1-2
624,2-1
625,2-2
626,3-1
627,3-2
628,4-1
